Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
fatal-attraction-vhs-rental-documentary,Fatal Attraction,,VHS,,,"Documentary, Rental",true,Genre,Documentary,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,13598202,,,,false,,,,,,,,,,lb,,,active
hercules-in-new-york-vhs-floor-sale-action,Hercules in New York,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,30.00,,true,true,,,,,98688762,,,,false,,,,,,,,,,lb,,,active
ernest-saves-christmas-vhs-floor-sale-holiday,Ernest Saves Christmas,,VHS,,,"Floor Sale, Holiday",true,Genre,Holiday,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,98459386,,,,false,,,,,,,,,,lb,,,active
the-4th-man-vhs-floor-sale-foreign,The 4th Man,,VHS,,,"Floor Sale, Foreign",true,Genre,Foreign,,,,,,,,,0.0,shopify,1,deny,manual,9.00,,true,true,,,,,98393850,,,,false,,,,,,,,,,lb,,,active
star-wars-special-edition-vhs-floor-sale-sci-fi,Star Wars Special Edition,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,9.00,,true,true,,,,,98361082,,,,false,,,,,,,,,,lb,,,active
nick-of-time-vhs-floor-sale-thriller,Nick of Time,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,98328314,,,,false,,,,,,,,,,lb,,,active
three-amigos-vhs-floor-sale-comedy,Three Amigos,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,98295546,,,,false,,,,,,,,,,lb,,,active
jurassic-park-vhs-floor-sale-action,Jurassic Park,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,9.00,,true,true,,,,,98230010,,,,false,,,,,,,,,,lb,,,active
mission-impossible-2-vhs-floor-sale-action,Mission: Impossible 2,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,98131706,,,,false,,,,,,,,,,lb,,,active
romeo-must-die-vhs-floor-sale-action,Romeo Must Die,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,98098938,,,,false,,,,,,,,,,lb,,,active
kingpin-vhs-floor-sale-comedy,Kingpin,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,98000634,,,,false,,,,,,,,,,lb,,,active
mission-to-mars-vhs-floor-sale-sci-fi,Mission to Mars,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,97967866,,,,false,,,,,,,,,,lb,,,active
kindergarten-cop-vhs-floor-sale-kids-family,Kindergarten Cop,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,97935098,,,,false,,,,,,,,,,lb,,,active
jerry-maguire-vhs-floor-sale-drama,Jerry Maguire,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,97902330,,,,false,,,,,,,,,,lb,,,active
millers-crossing-vhs-floor-sale-thriller,Miller's Crossing,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,97869562,,,,false,,,,,,,,,,lb,,,active
empire-records-vhs-floor-sale-comedy,Empire Records,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,97738490,,,,false,,,,,,,,,,lb,,,active
empire-of-the-sun-vhs-floor-sale-drama,Empire of the Sun,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,97705722,,,,false,,,,,,,,,,lb,,,active
dude-wheres-my-car-vhs-floor-sale-comedy,"Dude, Where's My Car?",,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,97672954,,,,false,,,,,,,,,,lb,,,active
i-am-sam-vhs-floor-sale-drama,i am sam,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,97640186,,,,false,,,,,,,,,,lb,,,active
men-in-black-vhs-floor-sale-sci-fi,Men In Black,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,97607418,,,,false,,,,,,,,,,lb,,,active
the-lord-of-the-rings-the-two-towers-vhs-floor-sale-fantasy,The Lord of the Rings The Two Towers,,VHS,,,"Fantasy, Floor Sale",true,Genre,Fantasy,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,true,true,,,,,97476346,,,,false,,,,,,,,,,lb,,,active
liar-liar-vhs-floor-sale-comedy,Liar Liar,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,97443578,,,,false,,,,,,,,,,lb,,,active
the-last-temptation-of-christ-vhs-floor-sale-drama,The Last Temptation of Christ,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,97378042,,,,false,,,,,,,,,,lb,,,active
tomb-raider-vhs-floor-sale-action,Tomb Raider,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,97345274,,,,false,,,,,,,,,,lb,,,active
the-league-of-extraordinary-gentlemen-vhs-floor-sale-action,The League of Extraordinary Gentlemen,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,97214202,,,,false,,,,,,,,,,lb,,,active
the-lost-world-jurassic-park-vhs-floor-sale-action,The Lost World Jurassic Park,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,97181434,,,,false,,,,,,,,,,lb,,,active
loser-vhs-floor-sale-comedy,Loser,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,97115898,,,,false,,,,,,,,,,lb,,,active
fear-vhs-floor-sale-thriller,Fear,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,97083130,,,,false,,,,,,,,,,lb,,,active
enemy-mine-vhs-floor-sale-sci-fi,Enemy Mine,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,96657146,,,,false,,,,,,,,,,lb,,,active
entrapment-vhs-floor-sale-action,Entrapment,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,96624378,,,,false,,,,,,,,,,lb,,,active
eraser-vhs-floor-sale-action,Eraser,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,96591610,,,,false,,,,,,,,,,lb,,,active
the-english-patient-vhs-floor-sale-drama,The English Patient,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,96558842,,,,false,,,,,,,,,,lb,,,active
erin-brockovich-vhs-floor-sale-drama,Erin Brockovich,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,96493306,,,,false,,,,,,,,,,lb,,,active
the-apostle-vhs-rental-drama,The Apostle,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79462906,,,,false,,,,,,,,,,lb,,,active
play-misty-for-me-vhs-rental-thriller,Play Misty For Me,,VHS,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79430138,,,,false,,,,,,,,,,lb,,,active
little-big-man-vhs-rental-drama,Little Big Man,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79299066,,,,false,,,,,,,,,,lb,,,active
sudden-impact-vhs-rental-action,Sudden Impact,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79233530,,,,false,,,,,,,,,,lb,,,active
tango-cash-vhs-rental-action,Tango & Cash,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79135226,,,,false,,,,,,,,,,lb,,,active
tender-mercies-vhs-rental-drama,Tender Mercies,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79102458,,,,false,,,,,,,,,,lb,,,active
thunderbolt-and-lightfoot-vhs-rental-action,Thunderbolt and Lightfoot,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79004154,,,,false,,,,,,,,,,lb,,,active
the-dead-pool-vhs-rental-action,The Dead Pool,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78971386,,,,false,,,,,,,,,,lb,,,active
mississippi-burning-vhs-rental-drama,Mississippi Burning,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78643706,,,,false,,,,,,,,,,lb,,,active
thelma-louise-vhs-rental-drama,Thelma & Louise,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78545402,,,,false,,,,,,,,,,lb,,,active
the-devils-own-vhs-rental-thriller,The Devil's Own,,VHS,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78512634,,,,false,,,,,,,,,,lb,,,active
junior-vhs-rental-comedy,Junior,,VHS,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78414330,,,,false,,,,,,,,,,lb,,,active
somethings-gotta-give-vhs-rental-romantic-comedy,Something's Gotta Give,,VHS,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78381562,,,,false,,,,,,,,,,lb,,,active
