Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-great-escape-rental-action,The Great Escape,"<p>The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocate them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.</p>",VHS,Media > Videos,,"Action, Formatted, Issue, No Format, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92192506,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/gBH4H8UMFxl139HaLz6lRuvsel8.jpg?v=1788200506,1,The Great Escape poster,false,,,,,,,action,,,,,,,,,,,,lb,,,active
the-animal-rental-comedy,The Animal,"<p>When loser Marvin Mange is involved in a horrible car accident, he's brought back to life by a deranged scientist as half man and half animal. His newfound powers are awesome -- but their adverse side effects could take over his life. Now, Marvin must fight to control his crazy primal urges around his new squeeze, Rianna, and his rival, Sgt. Sisk, who both think he's one cool cat.</p>",VHS,Media > Videos,,"Comedy, Formatted, Issue, No Format, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91930362,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/oNxEXmKTZtECHs0bQbI6dQoXYMV.jpg?v=1788200505,1,The Animal poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
some-like-it-hot-rental-romantic-comedy,Some Like it Hot,"<p>In Prohibition-era Chicago, musicians Joe and Jerry witness a mob hit, and flee the state in an all-female band disguised as Josephine and Daphne, but further complications set in.</p>",VHS,Media > Videos,,"Formatted, Issue, No Format, Rental, Romantic Comedy, VHS",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92258042,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg?v=1788200504,1,Some Like it Hot poster,false,,,,,,,romantic-comedy,,,,,,,,,,,,lb,,,active
overboard-rental-romantic-comedy,Overboard,"<p>Heiress Joanna Stayton hires carpenter Dean Proffitt to build a closet on her yacht—and refuses to pay him for the project when it's done. But after Joanna accidentally falls overboard and loses her memory, Dean sees an opportunity to get even.</p>",VHS,Media > Videos,,"Formatted, Issue, No Format, Rental, Romantic Comedy, VHS",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91897594,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/v9MVFgUTvNRXmm2WWOzST6UXb5x.jpg?v=1788200503,1,Overboard poster,false,,,,,,,romantic-comedy,,,,,,,,,,,,lb,,,active
outlaw-justice-rental-action,Outlaw Justice,"<p>In the tradition of THE WILD BUNCH and THE MAGNIFICENT SEVEN comes this fast paced, action filled western with unforgettable performances by an all star cast: Kris Kristofferson, Willie Nelson, Travis Tritt and Waylon Jennings. All hell breaks loose in this riveting story when a group of former outlaws with bad attitudes teams up to catch a killer with murder and revenge on his mind. After Tobey(Jennings), a retired member of the group, is brutally gunned down by a former member and killer, Clinton Reese, our band of reformed gunslingers, Lee (Nelson, Tarence (Kristofferson), and Dalton (Tritt), sets out on Clinton's Trail. They are joined by Tobeys reluctatant young son Bryce (Willett).</p>",VHS,Media > Videos,,"Action, Formatted, Issue, No Format, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92585722,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/su0Nwn1zL2jm7EfLUmUPn0jvgqM.jpg?v=1788200501,1,Outlaw Justice poster,false,,,,,,,action,,,,,,,,,,,,lb,,,active
new-blood-rental-action,New Blood,"<p>Alan White is a desperate man; his daughter must have a heart transplant to live. He gets an unexpected visit from his adult son, Danny, a criminal who hasn't spoken to his family in years. Danny lost track of a man marked for death and is afraid to face his merciless crime boss. In Danny's plight, Alan sees a way to save both of his children, already prepared to die in order to donate his heart to his daughter, he will stand in for Danny's escaped hostage.</p>",VHS,Media > Videos,,"Action, Formatted, Issue, No Format, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92520186,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/yCpUp4TM0RBEUcD0Jj6DXV4GpcV.jpg?v=1788200499,1,New Blood poster,false,,,,,,,action,,,,,,,,,,,,lb,,,active
fire-down-below-rental-action,Fire Down Below,"<p>When an EPA representative is murdered in a small Appalachian community, EPA undercover agent Jack Taggart is sent in—posing as a handyman working with a Christian relief agency—to determine what happened.</p>",VHS,Media > Videos,,"Action, Formatted, Issue, No Format, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92618490,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/nflONy2WMEui7uCGCAtkD1r9vnl.jpg?v=1788200498,1,Fire Down Below poster,false,,,,,,,action,,,,,,,,,,,,lb,,,active
dragnet-rental-comedy,Dragnet,"<p>LAPD Sgt. Joe Friday -- the equally straight-laced nephew of the famous police sergeant of the same name -- is paired up with a young, freewheeling detective named Pep Streebeck. After investigating some strange robberies at the local zoo and the theft of a stockpile of pornographic magazines, they uncover cult activity in the heart of the city and are hot on the case to figure out who's behind it all.</p>",VHS,Media > Videos,,"Comedy, Formatted, Issue, No Format, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91864826,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/77H17YDeHoJCHebpfGF1rY3Dfof.jpg?v=1788200497,1,Dragnet poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
doomsday-rental-action,Doomsday,"<p>The lethal Reaper virus spreads throughout Britain—infecting millions and killing hundreds of thousands. Authorities brutally and successfully quarantine the country but, three decades later, the virus resurfaces in a major city. An elite group of specialists is urgently dispatched into the still-quarantined country to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare.</p>",VHS,Media > Videos,,"Action, Formatted, Issue, No Format, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92126970,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/cKUmTyXgmhv8cMRCY9RYTKcAeTn.jpg?v=1788200496,1,Doomsday poster,false,,,,,,,action,,,,,,,,,,,,lb,,,active
john-cnady-is-delirious-rental-comedy,Delirious,"<p>Delirious is a 1991 American romantic fantasy comedy film directed by Tom Mankiewicz, written by Lawrence J. Cohen and Fred Freeman, and starring John Candy, Mariel Hemingway, Emma Samms, Raymond Burr (in his last feature film role), David Rasche, Dylan Baker, and Charles Rocket. It tells the story of the lead soap opera writer who hits his head, finds himself in the setting of the soap opera he works on, and anything he types on his typewriter happens. The film used Prince's 1982 song as its title theme.</p>",VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92651258,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/Delirious__281991_film_29.jpg?v=1788200493,1,Delirious (1991) poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
