Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
8-mile-dvd,8 Mile,"<p>For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance.</p>",DVD,Media > Videos,,"Drama, DVD, Floor Sale, Formatted",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,false,false,,,,,22945274,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/7BmQj8qE1FLuLTf7Xjf9sdIHzoa.jpg?v=1788195651,1,8 Mile (2002) poster,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
a-serious-man-dvd,A Serious Man (DVD),"<p>Larry Gopnik (Michael Stuhlbarg) is a physics professor at a 1960s university, but his life is coming apart at the seams. His wife (Sari Lennick) is leaving him, his jobless brother (Richard Kind) has moved in, and someone is trying to sabotage his chances for tenure. Larry seeks advice from three different rabbis, but whether anyone can help him overcome his many afflictions remains to be seen.</p>",DVD,Media > Videos,,"Comedy, DVD, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,52438522,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/images_f3e1824f-5d2a-47aa-aba0-c234cfe9f868.jpg?v=1787925846,1,A Serious Man (DVD) poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
acts-of-betrayal,Acts of Betrayal,"<p>FBI agents attempt to protect a woman who is testifying against her gangster boy friend. However, an army of assassins are after her in an endless series of shootouts.</p>",VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSCTS-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782257689813.jpg?v=1787925883,1,191-VHSCTS-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
airport-1975,Airport 1975,"<p>When an in-flight collision incapacitates the pilots of an airplane bound for Los Angeles, stewardess Nancy Pryor is forced to take over the controls. From the ground, her boyfriend Alan Murdock, a retired test pilot, tries to talk her through piloting and landing the 747 aircraft. Worse yet, the anxious passengers — among which are a noisy nun and a cranky man — are aggravating the already tense atmosphere.</p>",VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSAIR-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782257735318.jpg?v=1787925883,1,191-VHSAIR-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
all-creatures-great-and-small,All Creatures Great and Small,"<p>James Herriot is a vet in Yorkshire, England, during the 1930s. He is assigned to the practice of Siegfried Farnon, who—together with his mischievous brother Tristan—already have a successful business. James undergoes a variety of adventures during his work, which are just as often caused by the characters of the county, including the Farnon brothers, as the animals in his care.</p>",VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38044666,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/68m869xfOgxCaEBb9grIf0ndaec.jpg?v=1787925889,1,All Creatures Great and Small poster,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
almost-pregnant-a-bedtime-story,Almost Pregnant: A Bedtime Story,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSALM-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258059176.jpg?v=1787925874,1,191-VHSALM-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
an-affair-to-remember,An Affair to Remember,<p>A couple falls in love and agrees to meet in six months at the Empire State Building - but will it happen?</p>,VHS,Media > Videos,,"Drama, Formatted, Rental, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSNFF-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782257341723.jpg?v=1787925887,1,191-VHSNFF-001A,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
animal-house,Animal House,"<p>When they arrive at college, socially inept freshmen Larry (Thomas Hulce) and Kent (Stephen Furst) attempt to pledge the snooty Omega Theta Pi House, but are summarily rejected. Lowering their standards, they try at the notoriously rowdy Delta Tau Chi House, and get in. The trouble is, the college dean (John Vernon) has it in for the Deltas. He has put them on ""Double Secret Probation"" and secretly assigned Omega's president (James Daughton) the task of having their charter revoked.</p>",DVD,Media > Videos,,"Comedy, DVD, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,27371002,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/shopping.webp?v=1787925854,1,Animal House poster,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
antwone-fisher,Antwone Fisher,"<p>The touching story of a sailor (Derek Luke) who, prone to violent outbursts, is sent to a naval psychiatrist (Denzel Washington) for help. Refusing at first to open up, the young man eventually breaks down and reveals a horrific childhood. Through the guidance of his new doctor, he confronts his painful past and begins a quest to find the family he never knew.</p>",DVD,Media > Videos,,"Drama, DVD, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,00140794,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/images.jpg?v=1787925864,1,Antwone Fisher poster,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
apocalypse-now-bluray,Apocalypse Now,"<p>In Vietnam in 1970, Captain Willard (Martin Sheen) takes a perilous and increasingly hallucinatory journey upriver to find and terminate Colonel Kurtz (Marlon Brando), a once-promising officer who has reportedly gone completely mad. In the company of a Navy patrol boat filled with street-smart kids, a surfing-obsessed Air Cavalry officer (Robert Duvall), and a crazed freelance photographer (Dennis Hopper), Willard travels further and further into the heart of darkness.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Drama, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,94404346,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/images_f295768a-8b1a-41b7-badd-96a20458c911.jpg?v=1788195661,1,Apocalypse Now poster,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
