Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Rental Availability (product.metafields.scf.avf),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
fist-fighter-laserdisc-floor-sale-action,Fist Fighter,,Laserdisc,Uncategorized,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,16.00,,true,true,,,,,63612922,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
how-to-make-an-american-quilt-laserdisc-floor-sale-drama,How to Make an American Quilt,,Laserdisc,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,true,true,,,,,63547386,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
the-emerald-forest-laserdisc-floor-sale-drama,The Emerald Forest,,Laserdisc,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,true,true,,,,,63481850,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
memphis-belle-laserdisc-floor-sale-drama,Memphis Belle,,Laserdisc,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,63449082,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
kindergarten-cop-laserdisc-floor-sale-kids-family,Kindergarten Cop,,Laserdisc,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,63416314,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
patriot-games-laserdisc-floor-sale-thriller,Patriot Games,,Laserdisc,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,14.00,,true,true,,,,,63383546,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
under-siege-laserdisc-floor-sale-action,Under Siege,,Laserdisc,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,true,true,,,,,60073978,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
beyond-the-valley-of-the-dolls-laserdisc-floor-sale-drama,Beyond the Valley of the Dolls,,Laserdisc,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,18.00,,true,true,,,,,59811834,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
casper-laserdisc-floor-sale-kids-family,Casper,,Laserdisc,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,true,true,,,,,59582458,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
airplane-laserdisc-floor-sale-comedy,Airplane,,Laserdisc,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,14.00,,true,true,,,,,58566650,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
raiders-of-the-lost-ark-laserdisc-floor-sale-action,Raiders of the Lost Ark,,Laserdisc,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,14.00,,true,true,,,,,54405114,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
reservoir-dogs-laserdisc-floor-sale-thriller,Reservoir Dogs,,Laserdisc,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,30.00,,true,true,,,,,53815290,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
leon-the-professional-laserdisc-floor-sale-action,Leon The Professional,,Laserdisc,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,22.00,,true,true,,,,,53684218,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
alien-ressurrection-laserdisc-floor-sale-sci-fi,Alien Ressurrection,,Laserdisc,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,15.00,,true,true,,,,,53618682,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
star-trek-first-contact-laserdisc-floor-sale-sci-fi,Star Trek First Contact,,Laserdisc,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,13.00,,true,true,,,,,53585914,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
amongst-friends-laserdisc-floor-sale-thriller,Amongst Friends,,Laserdisc,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,14.00,,true,true,,,,,53520378,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
lethal-weapon-4-laserdisc-floor-sale-action,Lethal Weapon 4,,Laserdisc,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,14.00,,true,true,,,,,53487610,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
firefox-laserdisc-floor-sale-action,Firefox,,Laserdisc,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,true,true,,,,,53454842,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
where-eagles-dare-laserdisc-floor-sale-drama,Where Eagles Dare,,Laserdisc,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,15.00,,true,true,,,,,48736250,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
dumb-and-dumber-laserdisc-floor-sale-comedy,Dumb and Dumber,,Laserdisc,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,true,true,,,,,47818746,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
cutting-edge-laserdisc-floor-sale-romantic-comedy,Cutting Edge,,Laserdisc,,,"Floor Sale, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,true,true,,,,,47785978,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
untamed-heart-laserdisc-floor-sale-romantic-comedy,Untamed Heart,,Laserdisc,,,"Floor Sale, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,47753210,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
the-adventures-of-rocky-and-bullwinkle-laserdisc-floor-sale-kids-family,The Adventures of Rocky and Bullwinkle,,Laserdisc,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,47720442,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
romancing-the-stone-laserdisc-floor-sale-romantic-comedy,Romancing the Stone,,Laserdisc,,,"Floor Sale, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,true,true,,,,,47687674,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
force-10-from-navarone-laserdisc-floor-sale-action,Force 10 From Navarone,,Laserdisc,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,13.00,,true,true,,,,,47654906,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
sliding-doors-laserdisc-floor-sale-drama,Sliding Doors,,Laserdisc,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,47622138,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
indio-laserdisc-floor-sale-action,Indio,,Laserdisc,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,18.00,,true,true,,,,,47589370,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,lb,,,active
