Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
fist-fighter-laserdisc-floor-sale-action,Fist Fighter,"<p>C.J. Thunderbird, a down-on-his-luck professional fighter is informed that his old friend has been killed in an illegal fight. He finds out that the killer is a goon named Rhino and, with vengeance on his mind, tracks him down in Bolivia. The trouble is that the guy works for a local drug lord and the only way for C.J. to get to Rhino is to prove himself with his fists. However, the druglord doesn't want his best goon hurt, so he arranges for the corrupt local authorities to bust C.J. and send him to prison. The only way out is fighting the prison's monstrous colossal cage-fighting champ known as the Beast, who's never left an opponent breathing. Druglord's hot blond Caucasian girlfriend, Ellen, tired of being at the criminal's mercy, decides to help C.J. anyway she can. Even with all the odds against him, C.J. is no pushover and Rhino slowly becomes worried.</p>",Laserdisc,Media > Videos,"Floor Sale, Laserdisc, Action, Formatted",Genre,Action,shopify,1,deny,manual,16.00,63612922,https://image.tmdb.org/t/p/w1280/qCcoztDgDIeKvbEBh88xyOrt7Pr.jpg,,Fist Fighter (1989) poster,action
how-to-make-an-american-quilt-laserdisc-floor-sale-drama,How to Make an American Quilt,"<p>Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.</p>",Laserdisc,Media > Videos,"Floor Sale, Laserdisc, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,11.00,63547386,https://image.tmdb.org/t/p/w1280/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg,,How to Make an American Quilt (1995) poster,drama
the-emerald-forest-laserdisc-floor-sale-drama,The Emerald Forest,"<p>For ten years, engineer Bill Markham has searched tirelessly for his son Tommy who disappeared from the edge of the Brazilian rainforest. Miraculously, he finds the boy living among the reclusive Amazon tribe who adopted him. And that's when Bill's adventure truly begins. For his son is now a grown tribesman who moves skillfully through this beautiful-but-dangerous terrain, fearful only of those who would exploit it. And as Bill attempts to ""rescue"" him from the savagery of the untamed jungle, Tommy challenges Bill's idea of true civilization and his notions about who needs rescuing.</p>",Laserdisc,Media > Videos,"Floor Sale, Laserdisc, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,11.00,63481850,https://image.tmdb.org/t/p/w1280/fdRlqPnPFaPyQqS3KiBLJwWQPBe.jpg,,The Emerald Forest (1985) poster,drama
memphis-belle-laserdisc-floor-sale-drama,Memphis Belle,"<p>The ""Memphis Belle"" is a World War II bomber, piloted by a young crew on dangerous bombing raids into Europe. The crew only have to make one more bombing raid before they have finished their duty and can go home. In the briefing before their last flight, the crew discover that the target for the day is Bremen.</p>",Laserdisc,Media > Videos,"Floor Sale, Laserdisc, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,63449082,https://image.tmdb.org/t/p/w1280/epsraI4swsSu9Fyefj7vPPhsOHK.jpg,,Memphis Belle (1990) poster,drama
kindergarten-cop-laserdisc-floor-sale-kids-family,Kindergarten Cop,"<p>Hard-edged cop John Kimble gets more than he bargained for when he goes undercover as a kindergarten teacher to get the goods on a brutal drug lord while at the same time protecting the man's young son. Pitted against a class of boisterous moppets whose antics try his patience and test his mettle, Kimble may have met his match … in more ways than one.</p>",Laserdisc,Media > Videos,"Floor Sale, Laserdisc, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,8.00,63416314,https://image.tmdb.org/t/p/w1280/nKnHWwkXyvhzCYWm3FyRAv3qBrl.jpg,,Kindergarten Cop (1990) poster,kids-family
patriot-games-laserdisc-floor-sale-thriller,Patriot Games,"<p>When CIA Analyst Jack Ryan interferes with an IRA assassination, a renegade faction targets Jack and his family as revenge.</p>",Laserdisc,Media > Videos,"Floor Sale, Laserdisc, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,14.00,63383546,https://image.tmdb.org/t/p/w1280/9IT7gnszrRthduYxCLqaIkM55Un.jpg,,Patriot Games (1992) poster,thriller
beyond-the-valley-of-the-dolls-laserdisc-floor-sale-drama,Beyond the Valley of the Dolls,"<p>An all-girl rock band moves to Hollywood in the hope of achieving success, only to fall into a whirlpool of wickedness and decadence.</p>",Laserdisc,Media > Videos,"Floor Sale, Laserdisc, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,18.00,59811834,https://image.tmdb.org/t/p/w1280/eslylQSssnNIV4f06fHtfxPTH3I.jpg,,Beyond the Valley of the Dolls (1970) poster,drama
casper-laserdisc-floor-sale-kids-family,Casper,"<p>Casper is a kind young ghost who peacefully haunts a mansion in Maine. When specialist James Harvey arrives to communicate with Casper and his fellow spirits, he brings along his teenage daughter, Kat. Casper quickly falls in love with Kat, but their budding relationship is complicated not only by his transparent state, but also by his troublemaking apparition uncles and their mischievous antics.</p>",Laserdisc,Media > Videos,"Floor Sale, Laserdisc, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,11.00,59582458,https://image.tmdb.org/t/p/w1280/2ah8fNJFZVU3vcXhU5xfAYi2eym.jpg,,Casper (1995) poster,kids-family
airplane-laserdisc-floor-sale-comedy,Airplane,<p>An ex-fighter pilot forced to take over the controls of an airliner when the flight crew succumbs to food poisoning.</p>,Laserdisc,Media > Videos,"Floor Sale, Laserdisc, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,14.00,58566650,https://image.tmdb.org/t/p/w1280/7Q3efxd3AF1vQjlSxnlerSA7RzN.jpg,,Airplane (1980) poster,comedy
raiders-of-the-lost-ark-laserdisc-floor-sale-action,Raiders of the Lost Ark,"<p>When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime.</p>",Laserdisc,Media > Videos,"Floor Sale, Laserdisc, Action, Formatted",Genre,Action,shopify,1,deny,manual,14.00,54405114,https://image.tmdb.org/t/p/w1280/ceG9VzoRAVGwivFU403Wc3AHRys.jpg,,Raiders of the Lost Ark (1981) poster,action
