Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
wall-e-4k-uhd-blu-ray-floor-sale-kids-family,WALL•E,,4K,Media > Videos,"Floor Sale, 4K, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,49.95,28261626,,,,kids-family
after-hours-4k-uhd-blu-ray-floor-sale-drama,After Hours,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,28163322,,,,drama
akira-kurosawa-s-dreams-4k-uhd-blu-ray-floor-sale-drama,Akira Kurosawa’s Dreams,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,28130554,,,,drama
others-the-4k-uhd-blu-ray-floor-sale-horror,"Others, The",,4K,Media > Videos,"Floor Sale, 4K, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,49.95,28065018,,,,horror
trainspotting-4k-uhd-blu-ray-floor-sale-drama,Trainspotting,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,27966714,,,,drama
godzilla-4k-uhd-blu-ray-floor-sale-sci-fi,Godzilla,,4K,Media > Videos,"Floor Sale, 4K, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,49.95,27933946,,,,sci-fi
mulholland-dr-4k-uhd-blu-ray-floor-sale-drama,Mulholland Dr.,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,27737338,,,,drama
uncut-gems-4k-uhd-blu-ray-floor-sale-drama,Uncut Gems,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,27671802,,,,drama
menace-ii-society-4k-uhd-blu-ray-floor-sale-drama,Menace II Society,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,27606266,,,,drama
malcolm-x-4k-uhd-blu-ray-floor-sale-drama,Malcolm X,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,27540730,,,,drama
guillermo-del-toro-s-pinocchio-4k-uhd-blu-ray-floor-sale-drama,Guillermo del Toro’s Pinocchio,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,27016442,,,,drama
blood-simple-4k-uhd-blu-ray-floor-sale-drama,Blood Simple,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,26983674,,,,drama
no-country-for-old-men-4k-uhd-blu-ray-floor-sale-drama,No Country for Old Men,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,26852602,,,,drama
punch-drunk-love-4k-uhd-blu-ray-floor-sale-drama,Punch-Drunk Love,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,26754298,,,,drama
altered-states-4k-uhd-blu-ray-floor-sale-drama,Altered States,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,26590458,,,,drama
breakfast-club-the-4k-uhd-blu-ray-floor-sale-comedy,"Breakfast Club, The",,4K,Media > Videos,"Floor Sale, 4K, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,49.95,26557690,,,,comedy
pee-wees-big-adventure-4k-uhd-blu-ray-floor-sale-comedy,Pee-wee's Big Adventure,,4K,Media > Videos,"Floor Sale, 4K, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,49.95,26492154,,,,comedy
killers-of-the-flower-moon-4k-uhd-blu-ray-floor-sale-drama,Killers of the Flower Moon,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,26426618,,,,drama
sentimental-value-4k-uhd-blu-ray-floor-sale-drama,Sentimental Value,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,26361082,,,,drama
elephant-man-the-4k-uhd-blu-ray-floor-sale-drama,"Elephant Man, The",,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,26295546,,,,drama
secret-agent-the-4k-uhd-blu-ray-floor-sale-drama,"Secret Agent, The",,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,26262778,,,,drama
complete-kubrick-the-4k-uhd-blu-ray-floor-sale-action,"Complete Kubrick, The",,4K,Media > Videos,"Floor Sale, 4K, Action, Formatted",Genre,Action,shopify,1,deny,manual,599.95,26230010,,,,action
frankenstein-4k-uhd-blu-ray-floor-sale-fantasy,Frankenstein,,4K,Media > Videos,"Floor Sale, 4K, Fantasy, Formatted",Genre,Fantasy,shopify,1,deny,manual,59.95,26164474,,,,fantasy
wild-at-heart-4k-uhd-floor-sale-drama,Wild at Heart,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,26066170,,,,drama
harold-and-maude-4k-uhd-blu-ray-floor-sale-romantic-comedy,Harold and Maude,,4K,Media > Videos,"Floor Sale, 4K, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,49.95,26000634,,,,romantic-comedy
marie-antoinette-4k-uhd-blu-ray-floor-sale-drama,Marie Antoinette,,4K,Media > Videos,"Floor Sale, 4K, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,49.95,25935098,,,,drama
kpop-demon-hunters-4k-uhd-blu-ray-floor-sale-kids-family,KPop Demon Hunters,,4K,Media > Videos,"Floor Sale, 4K, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,49.95,25836794,,,,kids-family
the-fly-vhs-floor-sale,The Fly,,VHS,Media > Videos,"Floor Sale, VHS, Issue_Genre_Needed, Formatted",Genre,,shopify,1,deny,manual,10.00,67888634,,,,
celebrity-vhs-floor-sale,Celebrity,,VHS,Media > Videos,"Floor Sale, VHS, Issue_Genre_Needed, Formatted",Genre,,shopify,1,deny,manual,7.00,67790330,,,,
speed-vhs-floor-sale,Speed,,VHS,Media > Videos,"Floor Sale, VHS, Issue_Genre_Needed, Formatted",Genre,,shopify,1,deny,manual,8.00,67560954,,,,
for-the-boys-dvd-rental-musical,For the Boys,"<p>For the Boys is a 1991 American musical comedy-drama film that traces the life of Dixie Leonard, a 1940s actress/singer who teams up with Eddie Sparks, a famous performer, to entertain American troops.</p>",DVD,Media > Videos,"DVD, Musical, Comedy, Issue_Rental_Or_Sale, Formatted",Genre,Musical,shopify,1,deny,manual,0.00,86698490,,,,musical; comedy
a-knights-tale-bluray-action,A Knights Tale,"<p>William Thatcher, a knight's peasant apprentice, gets a chance at glory when the knight dies suddenly mid-tournament. Posing as a knight himself, William won't stop until he's crowned tournament champion—assuming matters of the heart don't get in the way.</p>",Blu-Ray,Media > Videos,"Blu-Ray, Action, Issue_Rental_Or_Sale, Formatted",Genre,Action,shopify,1,deny,manual,0.00,19653114,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/srb1XnrlDZHcdpjBKqUu4qAzxKU_ea54b964-b762-4374-827b-28072c75bce9.jpg?v=1788380429,1,A Knights Tale (2001) poster,action
paradise-now-bluray-drama,Paradise Now,<p>Two childhood friends are recruited for a suicide bombing in Tel Aviv.</p>,Blu-Ray,Media > Videos,"Blu-Ray, Thriller, Drama, Issue_Rental_Or_Sale, Formatted",Genre,Thriller,shopify,1,deny,manual,0.00,19620346,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg?v=1788380428,1,Paradise Now poster,thriller; drama
