Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
malcom-x-4k-rental-criterion-collection-drama,Malcom X,,4K,Media > Videos,"Rental, 4K, Drama, Criterion Collection, Supercycle product, Formatted",Genre,Drama,shopify,1,deny,manual,0,16492026,,,,drama
y-tu-mama-tabien-dvd-floor-sale-foreign,Y Tu Mamá Tabien,,DVD,Media > Videos,"Floor Sale, DVD, Foreign, Formatted",Genre,Foreign,shopify,1,deny,manual,8.00,22714362,,,,foreign
mother-of-tears-dvd-floor-sale-horror,Mother of Tears,,DVD,Media > Videos,"Floor Sale, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,18.00,19863546,https://image.tmdb.org/t/p/w1280/ewefBv6T08Kie7fv7sUBETwdCCC.jpg,,Mother of Tears (2024) poster,horror
mortal-kombat-legacy-dvd-floor-sale-action,Mortal Kombat Legacy,,DVD,Media > Videos,"Floor Sale, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,6.00,19535866,,,,action
fass-black-vhs-floor-sale-drama,Fass Black,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,20.00,42077434,,,,drama
new-york-yankees-the-movie-vhs-floor-sale-documentary,New York Yankees The Movie,"<p>The history of baseball's most famous franchise, from the beginning in 1903 through the 1986 season. Documentary uses newsreel, game footage, and interviews with players, coaches, and team personnel.</p>",VHS,Media > Videos,"Floor Sale, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,6.00,15322874,,,,documentary
the-chidlren-of-times-square-vhs-floor-sale-drama,The Chidlren of Times Square,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,14.00,63693562,,,,drama
tall-tales-legends-annie-oakley-vhs-rental-drama,Tall Tales & Legends: Annie Oakley,,VHS,Media > Videos,"Rental, VHS, Drama, Supercycle product, Formatted",Genre,Drama,shopify,1,deny,manual,0,20144890,,,,drama
the-kitchen-soto-vhs-rental-drama,The Kitchen Soto,,VHS,Media > Videos,"Rental, VHS, Drama, Supercycle product, Formatted",Genre,Drama,shopify,1,deny,manual,0,20013818,,,,drama
the-incredibly-true-adventures-of-2-girls-in-love-vhs-rental-comedy,The Incredibly True Adventures of 2 Girls in Love,,VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,19456762,,,,comedy
mussolini-and-i-vhs-rental-drama,Mussolini and I,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,95601658,,,,drama
soap-dish-vhs-rental-comedy,Soap Dish,,VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,95273978,,,,comedy
the-bridges-of-medison-county-vhs-rental-drama,The Bridges of Medison County,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,95110138,,,,drama
