Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Supercycle Methods (product.metafields.supercycle.methods),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,_reason
mary-poppins-bluray-rental-kids-family,Mary Poppins,"<p>In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48255226,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/o4Wsby4ydIXhWmtmfvb451D5Np1.jpg?v=1788880687,1,Mary Poppins (1964) poster,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
2012-bluray-rental-action,2012,"<p>Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.</p>",Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48222458,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/zaqam2RNscH5ooYFWInV6hjx6y5_9e440d2a-f2ef-4021-addc-b6562c41edd4.jpg?v=1788880687,1,2012 (2009) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
i-robot-bluray-rental-sci-fi,"I, Robot","<p>In 2035, where robots are commonplace and abide by the three laws of robotics, a technophobic cop investigates an apparent suicide. Suspecting that a robot may be responsible for the death, his investigation leads him to believe that humanity may be in danger.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48189690,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/efwv6F2lGaghjPpBRSINHtoEiZB_c28430bf-f976-4f45-8d91-f9f3c1f7fe53.jpg?v=1788880688,1,"I, Robot (2004) poster",false,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
the-losers-bluray-rental-action,The Losers,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48156922,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
happy-feet-bluray-rental-kids-family,Happy Feet,"<p>Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48124154,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/zP4CK9O70P8GDilfTkPm4lrmaks_ab1bb094-4752-40c4-bcc5-f57d2748788c.jpg?v=1788880690,1,Happy Feet (2006) poster,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
sing-bluray-rental-kids-family,Sing,<p>A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.</p>,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48091386,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/rwopfpHqPCYBSgBuZwkaXXqHp14.jpg?v=1788880691,1,Sing (2016) poster,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
marketa-lazarova-bluray-rental-foreign,Marketa Lazarova,"<p>Mikolás and his brother Adam end up with a young German hostage of noble blood during a robbery. While their clan prepares for the wrath of the German king, Mikolás is sent to pressure his neighbor Lazar into a defense pact. Persuasion fails and he abducts Lazar's daughter Marketa on the eve of her initiation as a nun in an act of vengeance.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Foreign, Formatted, Rental",true,Genre,Foreign,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48058618,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/bBf0N1kNQGr6btlO9F66VAV1moz.jpg?v=1788880692,1,Marketa Lazarova (1967) poster,false,,,,,,,,,,,,,foreign,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
the-way-back-bluray-rental-comedy,The Way Back,,Blu-Ray,Media > Videos,,"Blu-Ray, Comedy, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,47993082,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
taken-2-bluray-rental-thriller,Taken 2,"<p>In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,47927546,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/yzAlcuJhpnxRPjaj7AHBRbNPQCJ_5ff8287b-0fa6-410f-a79b-252e1eab36d7.jpg?v=1788880693,1,Taken 2 (2012) poster,false,,,,,,,,,,,,,thriller,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
hang-em-high-vhs-rental-action,Hang 'Em High,"<p>Marshall Jed Cooper survives a hanging, vowing revenge on the lynch mob that left him dangling. To carry out his oath for vengeance, he returns to his former job as a lawman. Before long, he's caught up with the nine men on his hit list and starts dispensing his own brand of Wild West justice.</p>",VHS,Media > Videos,,"Action, Formatted, Rental, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,00341754,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/gFvRKgCAa1MKlcAKZfoDNdR2dgy.jpg?v=1788880757,1,Hang 'Em High (1968) poster,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active,barcode shared by another distinct product
