call_number,status,message
03299322,updated,ok
02578426,updated,ok
00448506,updated,ok
00382970,updated,ok
99629306,updated,ok
97335546,updated,ok
95926522,updated,ok
95893754,updated,ok
94451962,updated,ok
93796602,updated,ok
46791418,updated,ok
46136058,updated,ok
46103290,updated,ok
44038906,updated,ok
43186938,updated,ok
41024250,updated,ok
07257082,updated,ok
07191546,updated,ok
07093242,updated,ok
06896634,updated,ok
06732794,updated,ok
06700026,updated,ok
05716986,updated,ok
05651450,updated,ok
05618682,updated,ok
05553146,updated,ok
80012538,updated,ok
05487610,updated,ok
05389306,updated,ok
97658106,updated,ok
97592570,updated,ok
97527034,updated,ok
97461498,updated,ok
97330426,updated,ok
97297658,updated,ok
97264890,updated,ok
97199354,updated,ok
97166586,updated,ok
96707834,updated,ok
96675066,updated,ok
96609530,updated,ok
96576762,updated,ok
96281850,updated,ok
96118010,updated,ok
96052474,updated,ok
96019706,skipped,barcode already matches call_number
