title,call_number
Last Vegas,03299322
Bruce Almighty,02578426
Instant Family,00448506
The Fugitive Kind,00382970
The Graduate,99629306
Hero Dog: The Journey Home,97335546
Guess Who,95926522
Christmas with the Kranks,95893754
Wish for Christmas,94451962
Elf,93796602
U-571,46791418
Hacksaw Ridge,46136058
The Sons of Katie Elder,46103290
Sniper 2,44038906
The Man Who Killed Hitler and Then the Bigfoot,43186938
10.0 Earthquake,41024250
Remember the Titans,07257082
"10,000 BC",07191546
The Book Thief,07093242
Sully,06896634
The Wedding Date,06732794
Fury,06700026
The Texas Chainsaw Massacre,05716986
First Knight,05651450
Think Like a Man,05618682
Paranormal Activity: The Marked Ones,05553146
GoodFellas,80012538
Catch and Release,05487610
The Wedding Planner,05389306
Ray,97658106
Grease,97592570
Beyond White Space,97527034
Minority Report,97461498
The Bourne Supremacy,97330426
The Bourne Ultimatum,97297658
The Holiday,97264890
How to Train Your Dragon 2,97199354
Ice Age,97166586
Two Brothers,96707834
How to Train Your Dragon: The Hidden World,96675066
The Smurfs,96609530
Alvin and the Chipmunks the Squeakquel,96576762
Penguins of Madagascar,96281850
The Polar Express,96118010
"It's The Great Pumpkin, Charlie Brown.",96052474
Doogal,96019706
