id,item_type,title,creators,first_name,last_name,collection,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,lexile,call_number,ddc,lcc,lccn,oclc,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
obayiyx0an,movie,Eddington,"Ari Aster",Ari,Aster,"Rental Library",0810180991698,810180991698,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico.","Distribution Solutions",2025-10-07,,"blu-ray, drama",,,148,,92127482,,,,,1,,,"Deirdre O’Connell, Joaquin Phoenix, Luke Grimes, Pedro Pascal",,,,,,,,,2026-09-16,1
ri15854xoz,movie,Spawn,"Mark A.Z. Dippé",Mark,Dippé,"Rental Library",0760137185536,,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons makes a pact with the devil to be resurrected to see his beloved wife Wanda. In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.","Arrow Video",2025-10-07,,"4k, action",,,98,,91963642,,,,,,,,"D.B. Sweeney, Frank Welker, John Cothran, John Leguizamo",,,,,,,,,2026-09-16,1
v8u3yay26q,movie,Rope,"Alfred Hitchcock",Alfred,Hitchcock,"Rental Library",0191329241080,191329241080,"Two young men attempt to prove they committed the perfect murder by hosting a dinner party for the family of a classmate they just strangled to death.","Universal Pictures Home Entertainment",2023-10-31,,"4k, thriller",,,81,,91898106,,,,,2,,,"James Stewart, Farley Granger, Sir Cedric Hardwicke, Constance Collier, Joan Chandler",,,,,,,,,2026-09-16,1
gakq1wsbt4,movie,"The Super Mario Bros Movie","Aaron Horvath",Aaron,Horvath,"Rental Library",0191329241516,191329241516,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","Studio Distribution Services",2023-06-13,,"4k, kids-family",,,,,91832570,,,,,,,,"Chris Pratt, Anna Taylor-Joy, Charlie Day",,,,,,,,,2026-09-16,1
dmnx7jsu84,movie,"One Battle After Another","Paul Thomas Anderson",Paul,Anderson,"Rental Library",0883929838813,883929838813,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.","Warner Home Video",2026-01-20,,"4k, drama",,,162,,91767034,,,,,1,,,"Benicio del Toro, Leonardo DiCaprio, Regina Hall, Sean Penn, Teyana Taylor",,,,,,,,,2026-09-16,1
qhftd9awe4,movie,Oppenheimer,"Christopher Nolan",Christopher,Nolan,"Rental Library",0191329253120,191329253120,"The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.","Universal Pictures Home Entertainment",2023-11-21,,"4k, drama",,,181,,91701498,,,,,3,,,"Cillian Murphy, Emily Blunt, Matt Damon, Rami Malek, Kenneth Branagh",,,,,,,,,2026-09-16,1
6um4qkf8dt,movie,Jaws,,,,"Rental Library",0191329134795,191329134795,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled shark hunter embark on a desperate quest to kill the beast before it strikes again.",,,,"4k, horror",,,,,91504890,,,,,,,,,,,,,,,,,2026-09-16,1
56dmk3zv9x,movie,"Lawrence of Arabia","David Lean",David,Lean,"Rental Library",0043396646827,043396646827,"During World War I, English officer Thomas Edward 'T.E.' Lawrence sets out to unite and lead the diverse, often warring, Arab tribes to fight the Turks.","Sony Pictures Home Entertainment",2026-02-10,,"4k, drama",,,227,,91439354,,,,,4,,,"Alec Guinness, Anthony Quinn, Jack Hawkins, Omar Sharif, Peter O'Toole",2.20:1,,,,,,,,2026-09-16,1
m4xlf7m31h,movie,1917,"Sam Mendes",Sam,Mendes,"Rental Library",0191329125670,191329125670,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.","Universal Pictures Home Entertainment",2020-03-24,,"4k, action",,,119,,91373818,,,,,2,,,"George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden",2.39:1,,,,,,,,2026-09-16,1
obayixu0an,movie,"The Big Lebowski","Joel Coen",Joel,Coen,"Rental Library",0191329072837,191329072837,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.","Universal Pictures Home Entertainment",2018-10-16,,"4k, comedy",,,119,,91242746,,,,,2,,,"Jeff Bridges, John Goodman, Julianne Moore, Steve Buscemi, David Huddleston",1.85:1,,,,,,,,2026-09-16,1
kq7f95wysl,movie,Heat,"Michael Mann",Michael,Mann,"Rental Library",0786936889246,786936889246,"Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","20TH CENTURY STUDIOS",2022-08-09,,"4k, action",,,170,,91111674,,,,,3,,,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Ashley Judd",2.40:1,,,,,,,,2026-09-16,1
