Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcodes,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target audience (product.metafields.shopify.target-audience),Top length type (product.metafields.shopify.top-length-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Supercycle Methods (product.metafields.supercycle.methods),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,_reason
the-butterfly-effect-collection-dvd-rental-sci-fi,The Butterfly Effect Collection,,DVD,Media > Videos,,"DVD, Formatted, Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,41764090,,,,false,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,,lb,,,active,looks like a multi-title bundle (no single IMDb match)
the-line-staten-island-bluray-rental-action,The Line / Staten Island,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,65278714,,,,false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active,looks like a multi-title bundle (no single IMDb match)
christmas-double-feature-christmas-child-a-time-to-remember-dvd-rental-holiday,Christmas Double Feature: Christmas Child / A Time to Remember,"<p>This DVD pairs two holiday television movies: Christmas Child, starring William Moses, and A Time to Remember.</p>",DVD,Media > Videos,,"DVD, Formatted, Holiday, Rental",true,Genre,Holiday,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,17820666,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/91_4K3jcBjL._SY500.jpg?v=1788284713,1,Christmas Double Feature: Christmas Child / A Time to Remember poster,false,,,,,,,,,,,,,holiday,,,,,,,,,,,,,,,lb,,,active,looks like a multi-title bundle (no single IMDb match)
tcm-sci-fi-collection-dvd-rental-sci-fi,TCM Sci-Fi Collection,,DVD,Media > Videos,,"DVD, Formatted, Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,50754042,,,,false,,,,,,,,,,,,,sci-fi,,,,,,,,,,,,,,,lb,,,active,looks like a multi-title bundle (no single IMDb match)
victor-victoria-vhs-rental-musical,Victor / Victoria,"<p>A struggling female soprano finds work playing a male female impersonator, but it complicates her personal life.</p>",VHS,Media > Videos,,"Formatted, Musical, Rental, VHS",true,Genre,Musical,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,51356410,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/mCjXcPRM3Rc7gOCGeVrBdPvF2bk.jpg?v=1788381423,1,Victor / Victoria poster,false,,,,,,,,,,,,,musical,,,,,,,,,,,,,,,lb,,,active,looks like a multi-title bundle (no single IMDb match)
beauty-shop-leagally-blonde-dvd-rental-comedy,Beauty Shop / Leagally Blonde,"<p>Beauty Shop (2005) starring Queen Latifah and Legally Blonde (2001) starring Reese Witherspoon, packaged together as a two-movie DVD.</p>",DVD,Media > Videos,,"Comedy, DVD, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,03782906,,,,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active,looks like a multi-title bundle (no single IMDb match)
3-movie-collection-just-go-with-it-thats-my-boy-jack-jill-dvd-rental-comedy,3 Movie Collection: Just Go With It / That's My Boy / Jack & Jill,"<p>The Laugh Out Loud 3-Movie Collection combining three Adam Sandler comedies -- Just Go with It (2011), That's My Boy (2012), and Jack and Jill (2011).</p>",DVD,Media > Videos,,"Comedy, DVD, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,03619066,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/The-Laugh-Out-Loud-3-Movie-Collection-Just-Go-With-It-That-s-My-Boy-Jack-And-Jill-DVD-Sony-Pictures_c0f0aeac-abff-447c-b546-8477e597700e.76ca1379442dd5fe166d88d48cfe4ea3.jpg?v=1788380859,1,3 Movie Collection: Just Go With It / That's My Boy / Jack & Jill poster,false,,,,,,,,,,,,,comedy,,,,,,,,,,,,,,,lb,,,active,looks like a multi-title bundle (no single IMDb match)
deep-blue-sea-deep-blue-sea-2-dvd-rental-horror,Deep Blue Sea / Deep Blue Sea 2,"<p>When shark conservationist Dr. Misty Calhoun is invited to consult on a top-secret project run by pharmaceutical billionaire Carl Durant, she is shocked to learn that the company is using unpredictable and highly aggressive bull sharks as its test subjects, which soon break loose and cause havoc.</p>",DVD,Media > Videos,,"DVD, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,03520762,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/xqjAHXMJLORx9vVsCTJ6ZPJcr3D_a1418ea6-cd31-4ff4-b5f8-67dc0fb14f51.jpg?v=1788444192,1,Deep Blue Sea / Deep Blue Sea 2 poster,false,,,,,,,,,,,,,horror,,,,,,,,,,,,,,,lb,,,active,looks like a multi-title bundle (no single IMDb match)
andre-arctic-tale-dvd-rental-kids-family,Andre / Arctic Tale,"<p>Andre (1994), about a family's bond with an orphaned seal pup, paired with Arctic Tale (2007), a nature documentary following polar bear and walrus cubs.</p>",DVD,Media > Videos,,"DVD, Formatted, Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,02996474,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/s-l400.jpg?v=1788380848,1,Andre / Arctic Tale poster,false,,,,,,,,,,,,,kids-family,,,,,,,,,,,,,,,lb,,,active,looks like a multi-title bundle (no single IMDb match)
triple-feature-lone-survivor-jardhead-green-zone-dvd-rental-action,"Triple Feature: Lone Survivor, Jardhead, Green Zone","<p>A triple-feature DVD collecting three war and military action films: Lone Survivor (2013), Jarhead (2005), and Green Zone (2010).</p>",DVD,Media > Videos,,"Action, DVD, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,false,false,,,,,95976186,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/71Wi0qdvzTL._SL1500.jpg?v=1788380798,1,"Triple Feature: Lone Survivor, Jardhead, Green Zone poster",false,,,,,,,,,,,,,action,,,,,,,,,,,,,,,lb,,,active,looks like a multi-title bundle (no single IMDb match)
