Reason,Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no media format (Vendor 'The Franchise Collection' is not VHS/DVD/Blu-Ray/4K),best-of-abbott-and-costello-volume-4,Best of Abbott and Costello Volume 4,"This classic DVD compilation features a hilarious selection of digitally remastered films from one of Hollywood's most legendary comedy duos. Fans can enjoy hours of timeless slapstick, witty banter, and iconic sketches that have entertained audiences for generations. It is a must-have addition for any cinema enthusiast looking to complete their vintage media library.",The Franchise Collection,,"Comedy, Rental",Condition,Standard,shopify,1,deny,manual,0.00,191-THFBES-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250421185.jpg?v=1782253727,1,191-THFBES-001A,,,true,,Serial Number,001A,,,,,191-THFBES-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250421185.jpg?v=1782253727,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),blind-trust-pouvoir-intime,"Blind Trust, Pouvoir Intime",,Little Movie Store,Media > Music & Sound Recordings > Vinyl,"Floor Sale, Foreign",Title,Default Title,shopify,1,deny,manual,10.00,35998458,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),tie-me-up-tie-me-down,Tie Me Up Tie Me Down,,Little Movie Store,Uncategorized,"Comedy, Floor Sale",Title,Default Title,shopify,1,deny,manual,6.00,18991866,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),blind-side,Blind Side,,Little Movie Store,Uncategorized,"Floor Sale, Thriller",Title,Default Title,shopify,1,deny,manual,7.00,15616762,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),antz,Antz,,Little Movie Store,Uncategorized,"Floor Sale, Kids & Family",Title,Default Title,shopify,0,deny,manual,6.00,13060858,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),star-80,Star 80,,Little Movie Store,Uncategorized,"Drama, Floor Sale",Title,Default Title,shopify,1,deny,manual,13.00,07719674,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),meteor,Meteor,,Little Movie Store,Uncategorized,"Floor Sale, Sci-Fi",Title,Default Title,shopify,1,deny,manual,15.00,02312954,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
no media format (Vendor 'Unknown Brand' is not VHS/DVD/Blu-Ray/4K),scavengers-vhs-academy-1988-stunts-kenneth-david-gilman-brenda-bakke,Scavengers Vhs Academy 1988 Stunts Kenneth David Gilman Brenda Bakke,"This 1988 cult classic captures the high-energy era of practical stunts and retro action cinema on original home video format. Housed in its authentic slipcase, this release is a must-have for nostalgic film enthusiasts and collectors of vintage physical media. Experience the gritty aesthetic and unique charm of late eighties cinematography through this well-preserved analog copy.",Unknown Brand,,"Comedy, Floor Sale",Condition,50%,shopify,1,deny,manual,6.00,191-NKNSCA-50-001A,,,,,,false,,Serial Number,001A,,,,,191-NKNSCA-50-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
no media format (Vendor 'Unknown Brand' is not VHS/DVD/Blu-Ray/4K),dead-poets-society-vhs-1989-robin-williams-buy-2-get-1-free,Dead Poet's Society VHS 1989 Robin Williams **Buy 2 Get 1 Free**,"Experience this acclaimed classic drama in its original analog format, perfect for collectors of vintage cinema. This 1989 home video release captures the inspiring story and powerful performances with the nostalgic warmth of magnetic tape. It is an essential addition for fans of heartfelt storytelling and physical media memorabilia.",Unknown Brand,,"Drama, Floor Sale",Condition,50%,shopify,1,deny,manual,5.00,191-NKNDEA-50-001A,,,,,,false,,Serial Number,001A,,,,,191-NKNDEA-50-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
no media format (Vendor 'Disney' is not VHS/DVD/Blu-Ray/4K),sleeping-beauty-50th-anniversary,Sleeping Beauty 50th Anniversary,"This limited release celebrates a landmark cinematic masterpiece with digitally restored visuals and enhanced surround sound for a modern viewing experience. The comprehensive two-disc set includes hours of immersive bonus features, such as behind-the-scenes documentaries, deleted scenes, and interactive games that appeal to both nostalgic adults and new generations. Its premium packaging and high-definition quality make it a cornerstone addition for any serious film enthusiast or animation collector.",Disney,,"Floor Sale, Kids & Family",Condition,50%,shopify,1,deny,manual,8.00,191-DISSLE-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781753609465.jpg?v=1781754185,1,191-DISSLE-50-001A,,,true,,Serial Number,001A,,,,,191-DISSLE-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781753609465.jpg?v=1781754185,lb,,,active
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),love-and-monsters,Love and Monsters,This captivating science fiction adventure follows a young man navigating a post-apocalyptic landscape overrun by overgrown creatures to reunite with his high school sweetheart. It masterfully blends heartfelt coming-of-age storytelling with impressive visual effects and thrilling monster encounters for a unique cinematic experience. The film is a must-watch for fans of imaginative world-building and charming survival stories.,Unknown,,"Action, Rental",Condition,50%,shopify,1,deny,manual,0.00,191-UNKLOV-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781404684172.jpg?v=1781405030,1,191-UNKLOV-50-001A,,,true,,Serial Number,001A,,,,,191-UNKLOV-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781404684172.jpg?v=1781405030,lb,,,active
no media format (Vendor 'Arrow Video' is not VHS/DVD/Blu-Ray/4K),the-red-queen-kills-seven-times-arrow,The Red Queen Kills Seven Times (Arrow),"This high-definition restoration brings a stylish Italian gothic thriller to life with vibrant visual clarity and lossless audio. The collectible set features extensive special features including interviews, scholarly commentary, and an illustrated booklet that explores the film's macabre mystery. It is a definitive edition for genre enthusiasts looking to add a masterfully crafted slasher classic to their physical media library.",Arrow Video,,"Rental, Thriller",Condition,50%,shopify,1,deny,manual,0.00,191-RRWTHE-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781403975129.jpg?v=1781403995,1,191-RRWTHE-50-001A,,,true,,Serial Number,001A,,,,,191-RRWTHE-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781403975129.jpg?v=1781403995,lb,,,active
