Reason,Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
"no usable genre (Option1 Value 'Dcoumentary', tags Dcoumentary, Rental)",fahrenheit-9-11-dvd-rental-dcoumentary,Fahrenheit 9/11,,DVD,,"Dcoumentary, Rental",Genre,Dcoumentary,shopify,1,deny,manual,0.00,26648570,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Music', tags Music, Rental)",good-charlotte-dvd-rental-music,Good Charlotte,,DVD,,"Music, Rental",Genre,Music,shopify,1,deny,manual,0.00,72118010,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Special Interest', tags Rental, Special Interest)",gaumont-treasures-vol-2-dvd-rental-special-interest,Gaumont Treasures | Vol. 2,,DVD,,"Rental, Special Interest",Genre,Special Interest,shopify,1,deny,manual,0.00,20165370,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Special Interest', tags Floor Sale, Special Interest)",easyriders-video-magazine-15-vhs-floor-sale-special-interest,Easyriders Video Magazine #15,,VHS,,"Floor Sale, Special Interest",Genre,Special Interest,shopify,1,deny,manual,21.00,71059450,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",the-rose-vhs-floor-sale,The Rose,,VHS,,Floor Sale,Genre,Default Title,shopify,2,deny,manual,8.00,51259642,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",havana-vhs-floor-sale,Havana,,VHS,,Floor Sale,Genre,Default Title,shopify,1,deny,manual,8.00,51226874,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Special Interest', tags Floor Sale, Special Interest)",michael-jordans-playground-vhs-floor-sale-special-interest,Michael Jordan's Playground,,VHS,,"Floor Sale, Special Interest",Genre,Special Interest,shopify,1,deny,manual,8.00,06662394,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Special Interest', tags Floor Sale, Special Interest)",easyriders-video-magazine-12-vhs-floor-sale-special-interest,Easyriders Video Magazine #12,,VHS,,"Floor Sale, Special Interest",Genre,Special Interest,shopify,1,deny,manual,21.00,39717370,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Chicago', tags Chicago, Floor Sale)",chicago-vhs-floor-sale-chicago,Chicago,,VHS,Uncategorized,"Chicago, Floor Sale",Genre,Chicago,shopify,2,deny,manual,6.00,27577594,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Ivory Hunters', tags Floor Sale, Ivory Hunters)",ivory-hunters-vhs-floor-sale-ivory-hunters,Ivory Hunters,,VHS,,"Floor Sale, Ivory Hunters",Genre,Ivory Hunters,shopify,1,deny,manual,5.00,28437498,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Special Interest', tags Floor Sale, Special Interest)",the-short-films-of-david-lynch-dvd-floor-sale-special-interest,The Short Films of David Lynch,,DVD,,"Floor Sale, Special Interest",Genre,Special Interest,shopify,1,deny,manual,42.00,14654714,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Special Interest', tags Floor Sale, Special Interest)",tie-died-vhs,Tie-Died,,VHS,,"Floor Sale, Special Interest",Genre,Special Interest,shopify,1,deny,manual,8.00,80447738,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Special Interest', tags Floor Sale, Special Interest)",behind-the-scenes-point-break-hot-shots-vhs,Behind the Scenes: Point Break / Hot Shots,,VHS,,"Floor Sale, Special Interest",Genre,Special Interest,shopify,1,deny,manual,10.00,80414970,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Special Interest', tags Floor Sale, Special Interest)",stevie-vhs,Stevie,,VHS,,"Floor Sale, Special Interest",Genre,Special Interest,shopify,1,deny,manual,7.00,80316666,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value '#VALUE!', tags Floor Sale)",shacked-up-vhs,Shacked Up,,VHS,,Floor Sale,Genre,#VALUE!,shopify,1,deny,manual,17.00,01048314,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Special Interest', tags Floor Sale, Special Interest)",philadelphia-sports-follies-vhs,Philadelphia Sports Follies,,VHS,,"Floor Sale, Special Interest",Genre,Special Interest,shopify,1,deny,manual,19.00,87029498,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
