Reason,Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
Rental with a nonzero price (5.00),primary-colors-vhs,Primary Colors,,VHS,Uncategorized,"Drama, Rental",Genre,Drama,shopify,3,deny,manual,5.00,15071738,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (4.00),our-town-vhs,Our Town,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,4.00,15038970,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (6.00),final-analysis-vhs,Final Analysis,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,6.00,15006202,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),somewhere-in-time-vhs,Somewhere in Time,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,5.00,14907898,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (6.00),the-bodyguard-vhs,The Bodyguard,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,6.00,14875130,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),hoop-dreams-vhs,Hoop Dreams,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,5.00,14842362,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),leaving-las-vegas-vhs,Leaving Las Vegas,,VHS,,"Drama, Rental",Genre,Drama,shopify,2,deny,manual,5.00,14023162,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),september-vhs,September,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,5.00,13990394,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),easyriders-vhs,Easyriders,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,5.00,13793786,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (6.00),the-finest-hours-vhs,The Finest Hours,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,6.00,13695482,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (10.00),murder-in-texas-vhs,Murder in Texas,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,10.00,13629946,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),twice-in-a-lifetime-vhs,Twice in a Lifetime,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,5.00,13597178,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),retribution-vhs,Retribution,,VHS,,"Drama, Rental",Genre,Drama,shopify,1,deny,manual,5.00,12909050,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
