Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
camoulage-vhs-floor-sale-comedy,Camoulage,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,84919802,,,,comedy
standing-in-the-sahows-of-motown-vhs-floor-sale-documentary,Standing in the Sahows of Motown,,VHS,Media > Videos,"Floor Sale, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,7.00,48055802,,,,documentary
sukiyaki-western-django-steelbook-dvd-floor-sale-action,Sukiyaki Western Django Steelbook,,DVD,Media > Videos,"Floor Sale, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,7.00,45760250,,,,action
little-buddah-dvd-rental-drama,Little Buddah,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,96272634,,,,drama
bangkock-dangerous-dvd-rental-action,Bangkock Dangerous,,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,52486650,,,,action
la-vi-en-ros-dvd-rental-foreign,La Vi En Ros,,DVD,Media > Videos,"Rental, DVD, Foreign, Formatted",Genre,Foreign,shopify,1,deny,manual,0,51896826,,,,foreign
the-moment-cultcave-vhs-floor-sale-musical,The Moment (Cult Cave),,VHS,Media > Videos,"Floor Sale, VHS, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,36.00,50545402,,,,musical
tropic-thunder-cultcave-vhs-floor-sale-comedy,Tropic Thunder (Cult Cave),,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,36.00,50479866,,,,comedy
backrooms-cultcave-vhs-floor-sale-horror,Backrooms (Cult Cave),,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,36.00,50414330,,,,horror
weapons-cultcave-vhs-floor-sale-horror,Weapons (Cult Cave),,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,36.00,50316026,,,,horror
28-years-later-cultcave-vhs-floor-sale-horror,28 Years Later (Cult Cave),,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,36.00,50250490,,,,horror
jennifers-body-cultcave-vhs-floor-sale-horror,Jennifer's Body (Cult Cave),,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,36.00,50184954,,,,horror
