Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
10-things-i-hate-about-you-vhs-floor-sale-romantic-comedy,10 Things I Hate About You,,VHS,,,"Floor Sale, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,47703802,,,,false,,,,,,,,,,lb,,,active
1900-vhs-floor-sale-drama,1900,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,14.00,,true,true,,,,,17550586,,,,false,,,,,,,,,,lb,,,active
2-days-in-the-valley-vhs-rental-thriller,2 Days in the Valley,,VHS,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78447098,,,,false,,,,,,,,,,lb,,,active
8mm-vhs-floor-sale-thriller,8MM,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,32715002,,,,false,,,,,,,,,,lb,,,active
a-beautiful-mind-vhs-floor-sale-drama,A Beautiful Mind,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,97279738,,,,false,,,,,,,,,,lb,,,active
a-fish-called-wanda-vhs-floor-sale-comedy,A Fish Called Wanda,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,68226554,,,,false,,,,,,,,,,lb,,,active
a-fistful-of-dollars-vhs-rental-action,A Fistful of Dollars,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78283258,,,,false,,,,,,,,,,lb,,,active
a-fistfull-of-dollars-vhs-floor-sale-action,A Fistfull of Dollars,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,04503034,,,,false,,,,,,,,,,lb,,,active
a-home-of-our-own-vhs-floor-sale-kdis-family,A Home of Our Own,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kdis & Family,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,82225914,,,,false,,,,,,,,,,lb,,,active
a-mighty-wind-vhs-floor-sale-comedy,A Mighty Wind,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,9.00,,true,true,,,,,97574650,,,,false,,,,,,,,,,lb,,,active
a-paradine-case-vhs-rental-drama,A Paradine Case,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78938618,,,,false,,,,,,,,,,lb,,,active
a-prayer-for-the-dying-rental-thriller,A Prayer for the Dying,,Little Movie Store,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92552954,,,,false,,,,,,,,,,lb,,,active
a-river-runs-through-it-vhs-floor-sale-drama,A River Runs Through It,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,33566970,,,,false,,,,,,,,,,lb,,,active
above-the-law-vhs-floor-sale-action,Above The Law,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,17648890,,,,false,,,,,,,,,,lb,,,active
ace-ventura-vhs-floor-sale-comedy,Ace Ventura,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,68619770,,,,false,,,,,,,,,,lb,,,active
ace-ventura-when-nature-calls-vhs-floor-sale-comedy,Ace Ventura When Nature Calls,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,17680378,,,,false,,,,,,,,,,lb,,,active
against-the-wall-vhs-rental-drama,Against the Wall,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,81116922,,,,false,,,,,,,,,,lb,,,active
air-force-one-vhs-floor-sale-action,Air Force One,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,68587002,,,,false,,,,,,,,,,lb,,,active
along-came-a-spider-vhs-floor-sale-thriller,Along Came A Spider,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,68641530,,,,false,,,,,,,,,,lb,,,active
american-pie-2-vhs-floor-sale-comedy,American Pie 2,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,97246970,,,,false,,,,,,,,,,lb,,,active
an-american-tail-the-mystery-of-the-night-monster-vhs-floor-sale-kdis-family,An American Tail: The Mystery of the Night Monster,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kdis & Family,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,81898234,,,,false,,,,,,,,,,lb,,,active
anaconda-vhs-floor-sale-action,Anaconda,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,97541882,,,,false,,,,,,,,,,lb,,,active
animal-factory-vhs-rental-drama,Animal Factory,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78840314,,,,false,,,,,,,,,,lb,,,active
another-woman-vhs-rental-drama,Another Woman,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78742010,,,,false,,,,,,,,,,lb,,,active
apocolypse-now-vhs-floor-sale-drama,Apocolypse Now,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,true,true,,,,,42116346,,,,false,,,,,,,,,,lb,,,active
apollo-13-vhs-floor-sale-drama,Apollo 13,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,94791418,,,,false,,,,,,,,,,lb,,,active
as-good-as-it-gets-vhs-floor-sale-romantic-comedy,As Good As It Gets,,VHS,,,"Floor Sale, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,80701178,,,,false,,,,,,,,,,lb,,,active
assassins-vhs-rental-action,Assassins,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,81510138,,,,false,,,,,,,,,,lb,,,active
audution-limited-edition-4k-ultra-hd-4k-floor-sale-horror,AudItion [Limited Edition] [4K Ultra HD],,4K,Uncategorized,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,2,deny,manual,45.00,,true,true,,,,,40578554,,,,false,,,,,,,,,,lb,,27.47,active
baby-boy-vhs-floor-sale-drama,Baby Boy,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,9.00,,true,true,,,,,98033402,,,,false,,,,,,,,,,lb,,,active
baby-secret-of-the-lost-legend-vhs-floor-sale-kids-family,Baby Secret of the Lost Legend,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,68685306,,,,false,,,,,,,,,,lb,,,active
back-to-the-future-vhs-floor-sale-action,Back to the Future,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,68718074,,,,false,,,,,,,,,,lb,,,active
bad-santa-bluray-rental-holiday,Bad Santa,,BLU-RAY,,,"Holiday, Rental",true,Genre,Holiday,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,17853434,,,,false,,,,,,,,,,lb,,,active
basic-instinct-vhs-floor-sale-thriller,Basic Instinct,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,36890362,,,,false,,,,,,,,,,lb,,,active
batman-forever-vhs-floor-sale-action,Batman Forever,,VHS,Uncategorized,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,2,deny,manual,5.00,,true,true,,,,,56708346,,,,false,,,,,,,,,,lb,,,active
batman-mask-of-the-phantasm-vhs-floor-sale-kdis-family,Batman: Mask of the Phantasm,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kdis & Family,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,82193146,,,,false,,,,,,,,,,lb,,,active
batman-returns-vhs-floor-sale-action,Batman Returns,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,96395002,,,,false,,,,,,,,,,lb,,,active
batman-vhs-floor-sale-action,Batman,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,97050362,,,,false,,,,,,,,,,lb,,,active
batteries-not-included-vhs-rental-kids-family,Batteries not Included,,VHS,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78807546,,,,false,,,,,,,,,,lb,,,active
battlefield-earth-vhs-floor-sale-sci-fi,Battlefield Earth,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,98066170,,,,false,,,,,,,,,,lb,,,active
beauty-and-the-beast-vhs-rental-fantasy,Beauty and the Beast,,VHS,,,"Fantasy, Rental",true,Genre,Fantasy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79036922,,,,false,,,,,,,,,,lb,,,active
beethoven-vhs-floor-sale-kdis-family,Beethoven,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kdis & Family,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,81931002,,,,false,,,,,,,,,,lb,,,active
being-john-malkovich-vhs-floor-sale-drama,Being John Malkovich,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,96689914,,,,false,,,,,,,,,,lb,,,active
being-there-vhs-rental-comedy,Being There,,VHS,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79200762,,,,false,,,,,,,,,,lb,,,active
benny-joon-vhs-floor-sale-comedy,Benny & Joon,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,33272058,,,,false,,,,,,,,,,lb,,,active
best-in-show-vhs-floor-sale-comedy,Best in Show,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,67767802,,,,false,,,,,,,,,,lb,,,active
beverly-hills-cop-2-vhs-floor-sale-comedy,Beverly Hills Cop 2,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,56544506,,,,false,,,,,,,,,,lb,,,active
big-vhs-floor-sale-comedy,Big,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,98164474,,,,false,,,,,,,,,,lb,,,active
black-rain-vhs-floor-sale-action,Black Rain,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,96722682,,,,false,,,,,,,,,,lb,,,active
blazing-saddles-vhs-floor-sale-comedy,Blazing Saddles,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,97509114,,,,false,,,,,,,,,,lb,,,active
blood-alley-vhs-rental-action,Blood Alley,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78774778,,,,false,,,,,,,,,,lb,,,active
blood-work-vhs-rental-thriller,Blood Work,,VHS,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,80592634,,,,false,,,,,,,,,,lb,,,active
blow-out-vhs-floor-sale-action,Blow Out,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,9.00,,true,true,,,,,33829114,,,,false,,,,,,,,,,lb,,,active
blue-steel-vhs-floor-sale-action,Blue Steel,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,04208122,,,,false,,,,,,,,,,lb,,,active
bowfinger-vhs-floor-sale-comedy,Bowfinger,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,68652538,,,,false,,,,,,,,,,lb,,,active
bowfinger-vhs-rental-comedy,Bowfinger,,VHS,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,78610938,,,,false,,,,,,,,,,lb,,,active
bubblegum-crisis-hurricane-live-2033-vhs-floor-sale-anime-sci-fi,Bubblegum Crisis - Hurricane Live 2033,,VHS,,,"Anime, Floor Sale, Sci-Fi",true,Genre,"Anime, Sci-Fi",,,,,,,,,0.0,shopify,1,deny,manual,24.00,,true,true,,,,,04044282,,,,false,,,,,,,,,,lb,,,active
bull-durham-rental-romantic-comedy,Bull Durham,,Little Movie Store,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,92290810,,,,false,,,,,,,,,,lb,,,active
bulletproof-vhs-floor-sale-comedy,Bulletproof,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,32616698,,,,false,,,,,,,,,,lb,,,active
butch-cassidy-and-the-sundance-kid-vhs-floor-sale-action,Butch Cassidy and the Sundance Kid,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,68095482,,,,false,,,,,,,,,,lb,,,active
cabin-fever-vhs-floor-sale-horror,Cabin Fever,,VHS,Uncategorized,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,9.00,,true,true,,,,,67964410,,,,false,,,,,,,,,,lb,,,active
caddyshack-vhs-floor-sale-comedy,Caddyshack,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,68849146,,,,false,,,,,,,,,,lb,,,active
captain-ron-vhs-floor-sale-comedy,Captain Ron,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,18008058,,,,false,,,,,,,,,,lb,,,active
cartel-vhs-floor-sale-action,Cartel,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,16.00,,true,true,,,,,17976570,,,,false,,,,,,,,,,lb,,,active
celtic-pride-vhs-floor-sale-comedy,Celtic Pride,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,67538426,,,,false,,,,,,,,,,lb,,,active
charlies-angels-2000-vhs-floor-sale-action,Charlie's Angels (2000),,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,69045754,,,,false,,,,,,,,,,lb,,,active
chitty-chitty-bang-bang-vhs-rental-kids-family,Chitty Chitty Bang Bang,,VHS,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26856698,,,,false,,,,,,,,,,lb,,,active
christmas-double-feature-christmas-child-a-time-to-remember-dvd-rental-holiday,Christmas Double Feature: Christmas Child / A Time to Remember,,DVD,,,"Holiday, Rental",true,Genre,Holiday,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,17820666,,,,false,,,,,,,,,,lb,,,active
city-slickers-vhs-floor-sale-comedy,City Slickers,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,68193786,,,,false,,,,,,,,,,lb,,,active
class-action-vhs-floor-sale-drama,Class Action,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,68816378,,,,false,,,,,,,,,,lb,,,active
clear-and-present-danger-vhs-floor-sale-action,Clear and Present Danger,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,68029946,,,,false,,,,,,,,,,lb,,,active
cocktail-vhs-floor-sale-comedy,Cocktail,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,33304826,,,,false,,,,,,,,,,lb,,,active
