Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
reindeer-games-vhs,Reindeer Games,"<p>Just released from prison, all Rudy Duncan (Ben Affleck) wants is to start a new life with Ashley (Charlize Theron), the girl of his dreams, whom he met through pen pal letters in prison. But between them and happiness stands her crazy brother, Gabriel (Gary Sinise), and his motley crew of deadly criminals who think Rudy has some inside information about a casino where he once had a job -- a casino Gabriel and his short-fused posse plan to take down.</p>",VHS,,,"Action, Issue, rental or sale?",true,Genre,#VALUE!,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,89943290,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/images_b95df578-48c8-4f0b-a3ce-c63fb85f6bb7.jpg?v=1787783294,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
cheaters,Cheaters,"<p>These lightweight reading glasses feature a durable rectangular frame designed for long-lasting comfort and everyday clarity. The classic aesthetic and versatile magnification make them an essential accessory for reading or close-up work. They provide a sleek, professional look that easily transitions from the office to the home.</p>",DVD,,,"Comedy, Issue, rental or sale?",true,Condition,Standard,,Serial Number,001A,,,,,191-DVDCHE-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDCHE-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249884999.jpg?v=1787785122,1,191-DVDCHE-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249884999.jpg?v=1787785122,lb,,,active
deja-vu,Deja Vu,<p></p>,VHS,Media > Videos > VHS Tapes,,"Thriller, Floor Sale",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,true,true,,,,,17288954,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
look-who-s-talking,Look Who’s Talking,<p>This classic home video release features the original vintage sleeve art and brings the nostalgic charm of analog media to your collection. It is a perfect choice for fans of eighties cinema and collectors looking to experience the iconic voice-over comedy in its native format. Enjoy a piece of physical media history with this well-maintained cassette that delivers a genuine retro viewing experience.</p>,VHS,,,"Comedy, Floor Sale",false,Condition,Standard,,Serial Number,001A,,,,,191-VHSLKW-001A,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,191-VHSLKW-001A,,,,false,,,,,,,,,,,,,,,,,,,lb,,,draft
american-graffiti-vhs-floor-sale,American Graffiti,<p></p>,VHS,,,"Floor Sale, Drama",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,67429882,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
celebrity-vhs-floor-sale,Celebrity,<p></p>,VHS,,,"Floor Sale, Comedy",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,67790330,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
cherish-vhs-floor-sale,Cherish,<p></p>,VHS,,,"Floor Sale, Comedy",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,67724794,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
dark-city-standard-edition-blu-ray-bluray-floor-sale-dark-city,Dark City (Standard Edition) [Blu-ray],,Blu-ray,,,"Dark City, Floor Sale, Sci-Fi",true,Genre,Dark City,,,,,,,,,0.0,shopify,2,deny,manual,38.00,,true,true,,,,,93091066,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
even-cowgirls-get-the-blues-vhs-floor-sale,Even Cowgirls Get the Blues,<p></p>,VHS,,,"Floor Sale, Drama",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,67921402,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
next-friday-vhs-floor-sale,Next Friday,<p></p>,VHS,,,"Floor Sale, Comedy",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,67855866,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
real-genius-vhs-floor-sale,Real Genius,<p></p>,VHS,,,"Floor Sale, Comedy",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,67659258,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
speed-vhs-floor-sale,Speed,<p></p>,VHS,,,"Floor Sale, Action",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,67560954,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
the-check-is-in-the-mail-vhs-floor-sale,The Check is in the Mail,<p></p>,VHS,,,"Floor Sale, Comedy",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,67495418,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
the-fly-vhs-floor-sale,The Fly,<p></p>,VHS,,,"Floor Sale, Horror",true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,67888634,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
pontiac-moon,Pontiac Moon,<p></p>,VHS,Uncategorized,,"Drama, Floor Sale, Issue, No Price",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,74868218,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
sugar-spice-vhs-floor-sale-comedy,Sugar & Spice,<p></p>,VHS,,,"Comedy, Floor Sale, Issue, No Price",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,69310458,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
