Source Batch,Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
out-no-media-format,scavengers-vhs-academy-1988-stunts-kenneth-david-gilman-brenda-bakke,Scavengers Vhs Academy 1988 Stunts Kenneth David Gilman Brenda Bakke,"This 1988 cult classic captures the high-energy era of practical stunts and retro action cinema on original home video format. Housed in its authentic slipcase, this release is a must-have for nostalgic film enthusiasts and collectors of vintage physical media. Experience the gritty aesthetic and unique charm of late eighties cinematography through this well-preserved analog copy.",Unknown Brand,Media > Videos,"Floor Sale, Comedy, Formatted, Issue, Needs-Format",Genre,Comedy,shopify,1,deny,manual,6.00,191-NKNSCA-50-001A,,,,comedy
out-no-media-format,dead-poets-society-vhs-1989-robin-williams-buy-2-get-1-free,Dead Poet's Society VHS 1989 Robin Williams **Buy 2 Get 1 Free**,"Experience this acclaimed classic drama in its original analog format, perfect for collectors of vintage cinema. This 1989 home video release captures the inspiring story and powerful performances with the nostalgic warmth of magnetic tape. It is an essential addition for fans of heartfelt storytelling and physical media memorabilia.",Unknown Brand,Media > Videos,"Floor Sale, Drama, Formatted, Issue, Needs-Format",Genre,Drama,shopify,1,deny,manual,5.00,191-NKNDEA-50-001A,,,,drama
out-no-media-format,the-talented-mr-ripley-vhs-2000,"The Talented Mr. Ripley (vhs, 2000)","The Talented Mr. Ripley follows Tom Ripley, a young man whose chance meeting with a wealthy shipbuilder leads to a journey to Italy to retrieve his playboy son. Immersed in a world of luxury, Tom becomes enthralled by the lifestyle and dangerously entangled in lies to keep it. With stunning 1950s settings, nuanced performances, and tense psychological drama, this is a stylish, unsettling thriller worth watching for fans of character-driven suspense.",Unknown Brand,Media > Videos,"Rental, Thriller, Formatted, Issue, Needs-Format",Genre,Thriller,shopify,1,deny,manual,0,191-NKNTHT-50-001A,,,,thriller
out-no-rental-or-floor-sale-tag,chrome-soldiers-the-secret-passion-of-robert-clayton,Chrome Soldiers The Secret Passion of Robert Clayton,"This vintage collection offers a nostalgic look at classic military figurines through high-quality photography and detailed historical context. The glossy pages showcase a dedicated collector's journey, making it an essential reference for toy soldier enthusiasts and hobbyists alike. It serves as both an aesthetic coffee table centerpiece and a comprehensive guide to mid-century craftsmanship.",VHS,Media > Videos,"VHS, Action, Formatted, Issue, Rental-or-Sale",Genre,Action,shopify,1,deny,manual,10.00,191-VHSCHR-50-001A,,,,action
out-no-usable-genre,gaumont-treasures-vol-2-dvd-rental-special-interest,Gaumont Treasures | Vol. 2,,DVD,Media > Videos,"Rental, DVD, Special Interest, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,0,20165370,,,,
out-no-usable-genre,easyriders-video-magazine-15-vhs-floor-sale-special-interest,Easyriders Video Magazine #15,,VHS,Media > Videos,"Floor Sale, VHS, Special Interest, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,21.00,71059450,,,,
out-no-usable-genre,easyriders-video-magazine-12-vhs-floor-sale-special-interest,Easyriders Video Magazine #12,,VHS,Media > Videos,"Floor Sale, VHS, Special Interest, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,21.00,39717370,,,,
out-no-usable-genre,behind-the-scenes-point-break-hot-shots-vhs,Behind the Scenes: Point Break / Hot Shots,,VHS,Media > Videos,"Floor Sale, VHS, Special Interest, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,10.00,80414970,,,,
out-no-usable-genre,philadelphia-sports-follies-vhs,Philadelphia Sports Follies,,VHS,Media > Videos,"Floor Sale, VHS, Special Interest, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,19.00,87029498,,,,
out-product_export_10,the-funnniest-men-of-comedy-vhs,The Funnniest Men of Comedy,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,4.00,85788922,,,,comedy
