Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
day-of-the-assassin-vhs-floor-sale-action,Day of the Assassin,"<p>Treasure hunters from around the world race to Mexico after a Middle Eastern luxury yacht explodes, sending a Shah's fortune and mysterious document to the bottom of the ocean.</p>",VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,5.00,53437690,https://image.tmdb.org/t/p/w1280/i9MHAXOlEOu6eBh3joDkNBwEpzY.jpg,,Day of the Assassin (1979) poster,action
mute-witness-vhs-floor-sale-horror,Mute Witness,"<p>When a mute makeup/special effects artist working on a low-budget slasher film gets locked in a dilapidated Moscow movie studio late one night, she thinks she witnesses the making of a snuff film. Thus begins a night of terror.</p>",VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,10.00,53339386,https://image.tmdb.org/t/p/w1280/kfCIZNpb2bWspnQNkIQftQlksCU.jpg,,Mute Witness (1995) poster,horror
the-wedding-singer-vhs-floor-sale-comedy,The Wedding Singer,"<p>Robbie, a local rock star turned wedding singer, is dumped on the day of his wedding. Meanwhile, waitress Julia finally sets a wedding date with her fiancée Glenn. When Julia and Robbie meet and hit it off, they find that things are more complicated than anybody thought.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,7.00,53273850,https://image.tmdb.org/t/p/w1280/zVvyTrcZQb7kC2DPDzyo25WcxXp.jpg,,The Wedding Singer (1998) poster,comedy
clerks-vhs-floor-sale-comedy,Clerks,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,8.00,53241082,,,,comedy
devils-advocate-vhs-floor-sale-thriller,Devil's Advocate,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,7.00,53208314,,,,thriller
better-than-chocolate-vhs-floor-sale-drama,Better Than Chocolate,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,53175546,,,,drama
raiders-of-the-lost-ark-vhs-floor-sale-action,Raiders of the Lost Ark,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,8.00,53142778,,,,action
public-access-vhs-floor-sale-thriller,Public Access,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,6.00,53110010,,,,thriller
lord-of-the-rings-the-fellowship-of-the-ring-vhs-floor-sale-fantasy,Lord of the Rings The Fellowship of the Ring,"<p>Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.</p>",VHS,Media > Videos,"Floor Sale, VHS, Fantasy, Formatted",Genre,Fantasy,shopify,1,deny,manual,7.00,53077242,https://image.tmdb.org/t/p/w1280/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,,Lord of the Rings The Fellowship of the Ring (2001) poster,fantasy
the-game-vhs-floor-sale-thriller,The Game,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,8.00,52061434,,,,thriller
independance-day-vhs-floor-sale-sci-fi,Independance Day,"<p>Strange phenomena surface around the globe. The skies ignite. Terror races through the world's major cities. As these extraordinary events unfold, it becomes increasingly clear that a force of incredible magnitude has arrived. Its mission: total annihilation over the Fourth of July weekend. The last hope to stop the destruction is an unlikely group of people united by fate and unimaginable circumstances.</p>",VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,8.00,49931514,https://image.tmdb.org/t/p/w1280/p0BPQGSPoSa8Ml0DAf2mB2kCU0R.jpg,,Independance Day (1996) poster,sci-fi
the-vanishing-vhs-floor-sale-thriller,The Vanishing,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,10.00,85706234,,,,thriller
the-hand-vhs-floor-sale-horror,The Hand,,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,20.00,85673466,,,,horror
heart-vhs-floor-sale-drama,Heart,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,85640698,,,,drama
dead-space-vhs-floor-sale-sci-fi,Dead Space,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,8.00,85607930,,,,sci-fi
road-scholar-vhs-floor-sale-documentary,Road Scholar,"<p>Andrei Cordescu, NPR journalist, Romanian immigrant, naturalized American citizen, and newly-licensed driver, sets out on a cross- country road trip. He travels from-sea-to-shining-sea in a red 1968 Cadillac ragtop, exploring the meaning of freedom to a variety of Americans in this gently comic, yet poignant, documentary. Highlights include stops in New York, Camden, Detroit, Chicago, Taos, Arizona, Las Vegas, and San Francisco.</p>",VHS,Media > Videos,"Floor Sale, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,7.00,85509626,https://image.tmdb.org/t/p/w1280/gxNy4PS80XsG3CcJChJTJ5a1oUz.jpg,,Road Scholar (1993) poster,documentary
captain-corellis-vhs-floor-sale-drama,Captain Corelli's,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,85476858,,,,drama
dangerous-minds-vhs-floor-sale-drama,Dangerous Minds,"<p>Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,85149178,https://image.tmdb.org/t/p/w1280/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,,Dangerous Minds (1995) poster,drama
daylight-vhs-floor-sale-action,Daylight,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,7.00,85116410,,,,action
