Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
juno-dvd-rental-comedy,Juno,"<p>Faced with an unplanned pregnancy, sixteen year old high-schooler, Juno MacGuff, makes an unusual decision regarding her unborn child.</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,31715322,https://image.tmdb.org/t/p/w1280/jNIn2tVhpvFD6P9IojldI3mNYcn.jpg,,Juno poster,comedy
wild-things-dvd-rental-drama,Wild Things,"<p>When teen-socialite Kelly Van Ryan and troubled bad girl Suzie Toller accuse guidance counselor Sam Lombardo of rape, he's suspended by the school, rejected by the town, and fighting to get his life back. One cop suspects conspiracy, but nothing is what it seems...</p>",DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,31682554,https://image.tmdb.org/t/p/w1280/wrcTDD9T7Ga5c9MW7kaOo2qwIvW.jpg,,Wild Things poster,drama
jeepers-creepers-2-dvd-rental-horror,Jeepers Creepers 2,"<p>When their bus is crippled on the side of a deserted road, a team of high school athletes discover an opponent they cannot defeat – and may not survive.</p>",DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,31649786,https://image.tmdb.org/t/p/w1280/u2ghDfjcs3y5c8ata3COc4pWiAN.jpg,,Jeepers Creepers 2 (2003) poster,horror
honey-dvd-rental-drama,honey,"<p>Honey Daniels dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life.</p>",DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,31617018,https://image.tmdb.org/t/p/w1280/gnY6d7BoddAAQ8s42fxCJK8lL1A.jpg,,honey poster,drama
big-fat-liar-dvd-rental-kids-family,Big Fat Liar,"<p>After one of his class papers is stolen and turned into a movie, a young student and his best friend exact a hilarious, slapstick revenge on the Hollywood hot shot who has taken credit!</p>",DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,31584250,https://image.tmdb.org/t/p/w1280/3EjpQeyOpH8VIaWqIq6SpCQrCks.jpg,,Big Fat Liar (2002) poster,kids-family
billy-madison-dvd-rental-comedy,Billy Madison,"<p>Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire, but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,31551482,https://image.tmdb.org/t/p/w1280/sOdgtJdFalL9kRKaeJItARLTAEq.jpg,,Billy Madison (1995) poster,comedy
where-the-wild-things-are-dvd-rental-kids-family,Where The Wild Things Are,"<p>Max imagines running away from his mom and sailing to a far-off land where large talking beasts—Ira, Carol, Douglas, the Bull, Judith and Alexander—crown him as their king, play rumpus, build forts and discover secret hideaways.</p>",DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,31518714,https://image.tmdb.org/t/p/w1280/pzVqDpSzOg32IpXghHGSGAAArl6.jpg,,Where The Wild Things Are poster,kids-family
cloverfield-dvd-rental-sci-fi,Cloverfield,"<p>Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.</p>",DVD,Media > Videos,"Rental, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,31453178,https://image.tmdb.org/t/p/w1280/qIegUGJqyMMCRjkKV1s7A9MqdJ8.jpg,,Cloverfield (2008) poster,sci-fi
dummy-dvd-rental-comedy,dummy,"<p>Archibald the Amazing, a ventriloquist nearing the end of his career, gives one final performance with his dummy, Chucklehead. After the show, he tragically takes his own life in his hotel room-but his negative energy inhabits Chucklehead, transforming the dummy into a murderous force of terror. From a class reunion to hotel staff to unsuspecting bystanders, Chucklehead embarks on a blood-soaked rampage, vowing to make it a night to remember.</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,31387642,https://image.tmdb.org/t/p/w1280/duQXwvYuifFnFaiYVAlUxD2GZXy.jpg,,dummy poster,comedy
the-simpsons-christmas-dvd-rental-comedy,The Simpsons Christmas,"<p>A collection of five different Simpson holiday specials; Simpsons Roasting on an Open Fire, Mr. Plow, Miracle on Evergreen Terrace, Grift of the Magi, and She of Little Faith</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,31322106,https://image.tmdb.org/t/p/w1280/5SOkCMREvaUPRI0Jj4Oh1xEGvZF.jpg,,The Simpsons Christmas poster,comedy
