Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
paradise-alley-vhs-rental-drama,Paradise Alley,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,17361402,,,,false,,,,,,,,,,lb,,,active
young-sherlock-holmes-vhs-rental-drama,Young Sherlock Holmes,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,17263098,,,,false,,,,,,,,,,lb,,,active
jagged-edge-vhs-rental-thriller,Jagged Edge,,VHS,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,17230330,,,,false,,,,,,,,,,lb,,,active
great-balls-of-fire-vhs-rental-drama,Great Balls of Fire!,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,17132026,,,,false,,,,,,,,,,lb,,,active
lovely-and-amazing-vhs-rental-drama,Lovely and Amazing,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,17033722,,,,false,,,,,,,,,,lb,,,active
heroes-of-the-heart-vhs-floor-sale-drama,Heroes of the Heart,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,02681338,,,,false,,,,,,,,,,lb,,,active
the-girl-in-blue-vhs-floor-sale-drama,The Girl in Blue,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,02648570,,,,false,,,,,,,,,,lb,,,active
the-hi-line-vhs-floor-sale-drama,The Hi-Line,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,02615802,,,,false,,,,,,,,,,lb,,,active
its-the-rage-vhs-floor-sale-drama,It's the Rage,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,02583034,,,,false,,,,,,,,,,lb,,,active
communion-vhs-floor-sale-drama,Communion,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,02550266,,,,false,,,,,,,,,,lb,,,active
angelas-ashes-vhs-floor-sale-drama,Angela's Ashes,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,02386426,,,,false,,,,,,,,,,lb,,,active
last-orders-vhs-floor-sale-drama,Last Orders,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,02353658,,,,false,,,,,,,,,,lb,,,active
orson-welles-gost-story-vhs-floor-sale-documentary,Orson Welles' Gost Story,,VHS,,,"Documentary, Floor Sale",true,Genre,Documentary,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,02320890,,,,false,,,,,,,,,,lb,,,active
around-the-fire-vhs-floor-sale-drama,Around the Fire,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,02288122,,,,false,,,,,,,,,,lb,,,active
stacking-vhs-floor-sale-drama,Stacking,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,02255354,,,,false,,,,,,,,,,lb,,,active
mandela-vhs-floor-sale-drama,Mandela,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,02222586,,,,false,,,,,,,,,,lb,,,active
sweet-dreams-vhs-floor-sale-drama,Sweet Dreams,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,02189818,,,,false,,,,,,,,,,lb,,,active
smooth-talk-vhs-floor-sale-drama,Smooth Talk,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,true,true,,,,,02157050,,,,false,,,,,,,,,,lb,,,active
glory-vhs-floor-sale-drama,Glory,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,02124282,,,,false,,,,,,,,,,lb,,,active
sunset-strip-vhs-floor-sale-drama,Sunset Strip,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,02091514,,,,false,,,,,,,,,,lb,,,active
roger-dodger-vhs-floor-sale-comedy,Roger Dodger,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,02058746,,,,false,,,,,,,,,,lb,,,active
