Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
escape-clause,Escape Clause,"<p>A man finds out  that his wife has paid $10,000 to have him killed.  Then both the would-be killer and the wife turn up dead ...</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSSCP-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258616063.jpg?v=1787925865,1,191-VHSSCP-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
deadly-little-secrets,Deadly Little Secrets,<p>A federal agent and ex-detective attempt to bring a physician with murderous tendencies to justice.</p>,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSDES-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258923180.jpg?v=1787925865,1,191-VHSDES-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
deadlocked,Deadlocked,,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSDDL-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258843836.jpg?v=1787925866,1,191-VHSDDL-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
trial,Trial,,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSTRL-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258773566.jpg?v=1787925867,1,191-VHSTRL-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
born-innocent,Born Innocent,,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSBOR-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258735537.jpg?v=1787925866,1,191-VHSBOR-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
diary-of-a-hitman,Diary of a Hitman,"<p>A veteran hitman, Dekker is ready to call it quits and leave the profession. His final job, however, proves to be trickier than expected when a sadistic man recruits the assassin to kill his wife, Jain, and their baby, but he can’t bring himself to do the job, complicating all of their lives.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSDIA-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258688308.jpg?v=1787925867,1,191-VHSDIA-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
mexico-city,Mexico City,"<p>When her brother disappears during a brief travel layover in Mexico, Mitch begins a desperate search that will eventually lead the young divorcee into the capital city's most notorious neighborhood. But even with the aid of the American Ambassador, her plight is only met with indifference and inaction from the authorities. As the story unfolds, Mitch is forced to look for help in the least likely places as she races against time in a dangerous quest to find answers and locate her brother.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSMEX-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258638288.jpg?v=1787925868,1,191-VHSMEX-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
bone-collector,Bone Collector,"<p>Lincoln Rhyme was the department's top homicide detective and leading expert in criminal forensics until an injury left him paralyzed, depressed, and incapable of working. But when a gruesome murder in Manhattan leaves detectives baffled, they call on Rhyme to help solve the mystery. Amelia Donaghy, a rookie cop whose quick thinking preserved a gruesome murder scene, is enlisted by Rhyme to be his on-the-scene forensics expert. With Amelia reluctantly acting as Rhyme's able-bodied go-between, the pair piece together cryptic clues the killer leaves behind at the scene of the crime, hoping to catch the grisly serial killer.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSBON-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258505199.jpg?v=1787925868,1,191-VHSBON-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
strangers,Strangers,,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSST3-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258598610.jpg?v=1787925869,1,191-VHSST3-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
shipwrecked,Shipwrecked,,VHS,Media > Videos,,"Formatted, Kids & Family, Rental, VHS",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSSHI-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258487433.jpg?v=1787925869,1,191-VHSSHI-001A,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
