Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
almost-pregnant-a-bedtime-story,Almost Pregnant: A Bedtime Story,,VHS,Media > Videos,,"Comedy, Formatted, Rental, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSALM-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258059176.jpg?v=1787925874,1,191-VHSALM-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
tom-hanks-comedy-collection-the-money-pit-the-burbs-dragnet,"Tom Hanks Comedy Collection (The Money Pit, The 'Burbs, Dragnet)",,DVD,Media > Videos,,"Comedy, DVD, Formatted, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDTOM-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782252667777.jpg?v=1787925911,1,191-DVDTOM-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
a-time-to-kill-the-pelican-brief-the-client,A Time to Kill / The Pelican Brief / The Client,,Blu-Ray,Media > Videos,,"Blu-Ray, Drama, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRATI-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782251446520.jpg?v=1787925927,1,191-BLRATI-001A,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
body-of-lies-edge-of-darkness-pride-and-glory,Body of Lies / Edge of Darkness / Pride and Glory,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRBOD-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782250756123.jpg?v=1787925933,1,191-BLRBOD-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
puss-in-boots-faerie-tale-theatre,Puss in Boots (Faerie Tale Theatre),,VHS,Media > Videos,,"Floor Sale, Formatted, Kids & Family, VHS",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,true,true,,,,,38914810,,,,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
the-odyssey-hallmark,The Odyssey (Hallmark),,VHS,Media > Videos,,"Action, Floor Sale, Formatted, VHS",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,59731450,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
earth-girls-are-easy-sale,Earth Girls Are Easy (Sale),,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,191-UNKRTH-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781906857648.jpg?v=1787925962,1,191-UNKRTH-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
alegria-an-enchanting-fable,Alegria: An Enchanting Fable,,VHS,Media > Videos,,"Floor Sale, Formatted, Musical, VHS",true,Genre,Musical,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,191-VHSALE-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781963845847.jpg?v=1787925974,1,191-VHSALE-001A,false,,,,,,,musical,,,,,,,,,,,,lb,,,active
area-51-secrets-of-dreamland,Area 51 Secrets of Dreamland,,VHS,Media > Videos,,"Documentary, Floor Sale, Formatted, VHS",false,Genre,Documentary,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,191-VHSARE-001A,,,,false,,,,,,,documentary,,,,,,,,,,,,lb,,,draft
long-walk-home,Long Walk Home,"<p>A dark romantic comedy about a young couple from London. A decision to walk home one night, rather than taking a taxi, brings out the very different secrets that they have been keeping from one another.</p>",VHS,Media > Videos,,"Drama, Floor Sale, Formatted, VHS",false,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,191-VHSLON-001A,,,,false,,,,,,,drama,,,,,,,,,,,,lb,,,draft
birdcage,Birdcage Promotional Copy,,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",false,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,191-VHSBIR-001A,,,,false,,,,,,,comedy,,,,,,,,,,,,lb,,,draft
broken-english-1997,Broken English 1997,,VHS,Media > Videos,,"Floor Sale, Foreign, Formatted, VHS",false,Genre,Foreign,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,191-VHSBRK-001A,,,,false,,,,,,,foreign,,,,,,,,,,,,lb,,,draft
wide-awake-demo-tape,Wide Awake (Demo Tape),,VHS,Media > Videos,,"Comedy, Floor Sale, Formatted, VHS",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,191-VHSWID-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781839446713.jpg?v=1787926021,1,191-VHSWID-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
peter-pan-dir-p-j-hogan,Peter Pan (Dir. P.J. Hogan),,DVD,Media > Videos,,"DVD, Floor Sale, Formatted, Kids & Family",false,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,191-DVDPET-50-001A,,,,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,draft
munsters-a-rob-zombie-film,Munsters (A Rob Zombie Film),,DVD,Media > Videos,,"Drama, DVD, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDMUN-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781752712823.jpg?v=1787926064,1,191-DVDMUN-50-001A,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
species-4k-collectors-edition,Species 4K Collector's Edition,,4K,Media > Videos,,"4K, Formatted, Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRSPC-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781752520853.jpg?v=1787926065,1,191-BLRSPC-50-001A,false,,,,,,,sci-fi,,,,,,,,,,,,lb,,,active
the-wraith-collectors-series,The Wraith (Collector's Series),,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Rental, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-UNKTHE-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781752428069.jpg?v=1787926065,1,191-UNKTHE-50-001A,false,,,,,,,sci-fi,,,,,,,,,,,,lb,,,active
top-gun-2-movie-collection,Top Gun 2-Movie Collection,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRTOP-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781750738612.jpg?v=1787926077,1,191-BLRTOP-50-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
hansel-gretel-witch-hunters-unrated-cut,Hansel & Gretel: Witch Hunters (Unrated Cut),,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRHAN-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781748342315.jpg?v=1787926080,1,191-BLRHAN-50-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
doom-the-scorpion-king-the-rundown-triple-feature,Doom / The Scorpion King / The Rundown Triple Feature,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRDMT-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781747944628.jpg?v=1787926084,1,191-BLRDMT-50-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
never-back-down-extended-beat-down-edition,Never Back Down: Extended Beat Down Edition,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRNEV-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781747317894.jpg?v=1787926088,1,191-BLRNEV-50-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
warlock-collection-3-film-set,Warlock Collection 3-Film Set,,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRWRL-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781746127203_d53176b6-9dbd-4f0a-b5d1-76d4d3f2b527.jpg?v=1787926094,1,191-BLRWRL-50-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
double-salvation-2-pack-priest-legion,Double Salvation 2-Pack (Priest / Legion),,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRDOU-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781736643720.jpg?v=1787926098,1,191-BLRDOU-50-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
transporter-3-2-disc-fully-loaded-edition,Transporter 3 (2-Disc Fully Loaded Edition),,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRTRN-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781729096420_a00ea0ec-62c9-4ef2-83c6-2d9141f6c7e2.jpg?v=1787926101,1,191-BLRTRN-50-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
lovers-lane-arrow,Lovers Lane (Arrow),,Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRLOV-70-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781404229765.jpg?v=1787925663,1,191-BLRLOV-70-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
