Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
deja-vu,Deja Vu,<p></p>,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,11.00,17288954,,,,thriller
look-who-s-talking,Look Who’s Talking,<p>This classic home video release features the original vintage sleeve art and brings the nostalgic charm of analog media to your collection. It is a perfect choice for fans of eighties cinema and collectors looking to experience the iconic voice-over comedy in its native format. Enjoy a piece of physical media history with this well-maintained cassette that delivers a genuine retro viewing experience.</p>,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,5.00,191-VHSLKW-001A,,,,comedy
american-graffiti-vhs-floor-sale,American Graffiti,<p>A couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.</p>,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,67429882,https://image.tmdb.org/t/p/w1280/1tjLivPad2PX8FAzWko7FPIb8d2.jpg,,American Graffiti (1973) poster,drama
celebrity-vhs-floor-sale,Celebrity,<p></p>,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,7.00,67790330,,,,comedy
cherish-vhs-floor-sale,Cherish,<p></p>,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,10.00,67724794,,,,comedy
dark-city-standard-edition-blu-ray-bluray-floor-sale-dark-city,Dark City (Standard Edition) [Blu-ray],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Sci-Fi, Dark City, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,38.00,93091066,,,,sci-fi
even-cowgirls-get-the-blues-vhs-floor-sale,Even Cowgirls Get the Blues,<p>A girl born with enormous thumbs in the repressive era of the 1950s learns to turn her quirks into assets.</p>,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,7.00,67921402,https://image.tmdb.org/t/p/w1280/20x8nm0nPXkYv04COAHFA2AHyAl.jpg,,Even Cowgirls Get the Blues (1994) poster,drama
next-friday-vhs-floor-sale,Next Friday,<p>A streetwise man flees South Central Los Angeles heading to the suburbs and his lottery-winner uncle and cousin to avoid a neighborhood thug with a grudge who has just escaped from prison. But trouble soon follows and the suburbs will never be the same.</p>,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,8.00,67855866,https://image.tmdb.org/t/p/w1280/dP4fYCGQZzg17ta7FvLwJVCwwt9.jpg,,Next Friday (2000) poster,comedy
real-genius-vhs-floor-sale,Real Genius,"<p>When teenage geniuses Mitch Taylor and Chris Knight, working on an advanced laser project, learn that the military wants to use it as a weapon, they decide to thwart the plan.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,8.00,67659258,https://image.tmdb.org/t/p/w1280/8az0Tr8hEGDmrUH9WlFz1QIKsMy.jpg,,Real Genius (1985) poster,comedy
speed-vhs-floor-sale,Speed,<p></p>,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,8.00,67560954,,,,action
the-check-is-in-the-mail-vhs-floor-sale,The Check is in the Mail,"<p>Meet Richard Jackson - a man fed up with the insanity of ""plastic"" suburban living. Rallying his befuddled family around him, Richard mounts an outrageously comic assault on credit card craziness, ""Yuppie"" status symbols and ""the system"" in general!</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,8.00,67495418,https://image.tmdb.org/t/p/w1280/aQXvY2wNIqqQE0j0LUUpbiEBgmQ.jpg,,The Check is in the Mail (1986) poster,comedy
the-fly-vhs-floor-sale,The Fly,<p></p>,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,10.00,67888634,,,,horror
get-shorty-002a,Get Shorty,"<p>Relive this classic nineties crime comedy featuring a star-studded cast in its original physical format. This vintage tape comes in its authentic clamshell case, making it a perfect addition for collectors of cinematic memorabilia. Experience the nostalgic charm of analog playback with this well-maintained genre-bending favorite.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,4.00,191-VHSGET-002A,https://image.tmdb.org/t/p/w1280/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,,Get Shorty (1995) poster,comedy
a-million-to-juan-002a,A Million to Juan,"<p>This factory sealed vintage home video captures a heartwarming and comedic journey centered around the challenges of obtaining a green card. Featuring a standout lead performance, this 1994 release offers a nostalgic viewing experience for collectors of physical media and fans of classic family cinema. It remains preserved in its original studio packaging, making it an ideal addition for anyone looking to own a pristine piece of nineties entertainment history.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,4.00,191-VHSAMI-002A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781905893980.jpg?v=1787785223,1,191-VHSAMI-001A,comedy
night-and-day,Night and Day,"<p>This versatile fragrance features a distinct dual profile that transitions seamlessly from light, floral daytime notes to deep, woody evening undertones. Its unique composition is designed for the modern individual who values a sophisticated scent capable of adapting to any occasion. The elegant bottle makes it a timeless addition to any collection, offering a balanced olfactory experience that lingers beautifully on the skin.</p>",DVD,Media > Videos,"Rental, DVD, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,0,191-DVDNGH-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781402751742.jpg?v=1787785470,1,191-DVDNGH-50-001A,musical
arachnophobia-vhs-rentla-horror,Arachnophobia,<p></p>,VHS,Media > Videos,"Rental, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,69417978,,,,horror
