Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
best-of-abbott-and-costello-volume-4,Best of Abbott and Costello Volume 4,"This classic DVD compilation features a hilarious selection of digitally remastered films from one of Hollywood's most legendary comedy duos. Fans can enjoy hours of timeless slapstick, witty banter, and iconic sketches that have entertained audiences for generations. It is a must-have addition for any cinema enthusiast looking to complete their vintage media library.",The Franchise Collection,Media > Videos,"Rental, Comedy, Formatted, Issue, Needs-Format",Genre,Comedy,shopify,1,deny,manual,0,191-THFBES-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250421185.jpg?v=1782253727,1,191-THFBES-001A,comedy
blind-trust-pouvoir-intime,"Blind Trust, Pouvoir Intime",,Little Movie Store,Media > Videos,"Floor Sale, Foreign, Formatted, Issue, Needs-Format",Genre,Foreign,shopify,1,deny,manual,10.00,35998458,,,,foreign
tie-me-up-tie-me-down,Tie Me Up Tie Me Down,"<p>After being released from a mental hospital, a troubled young man tracks down an actress he once had sex with and forces her into captivity, determined to make her part of his life.</p>",Little Movie Store,Media > Videos,"Floor Sale, Comedy, Formatted, Issue, Needs-Format",Genre,Comedy,shopify,1,deny,manual,6.00,18991866,https://image.tmdb.org/t/p/w1280/4eNyqA543ixNCME8pcADgP9wb1i.jpg,,Tie Me Up Tie Me Down (1990) poster,comedy
blind-side,Blind Side,,Little Movie Store,Media > Videos,"Floor Sale, Thriller, Formatted, Issue, Needs-Format",Genre,Thriller,shopify,1,deny,manual,7.00,15616762,,,,thriller
antz,Antz,"<p>A neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.</p>",Little Movie Store,Media > Videos,"Floor Sale, Kids & Family, Formatted, Issue, Needs-Format",Genre,Kids & Family,shopify,1,deny,manual,6.00,13060858,https://image.tmdb.org/t/p/w1280/lWPjxbUMpAHFkJpZHHNWhQaRsax.jpg,,Antz (1998) poster,kids-family
star-80,Star 80,"<p>Paul Snider is a narcissistic, small time hustler who fancies himself a ladies man. His life changes when he meets Dorothy Stratten working behind the counter of a Dairy Queen. Under his guidance Dorothy grows to fame as a Playboy Playmate. But when Dorothy begins pursuing an acting career, the jealous Paul finds himself elbowed out of the picture by more famous men.</p>",Little Movie Store,Media > Videos,"Floor Sale, Drama, Formatted, Issue, Needs-Format",Genre,Drama,shopify,1,deny,manual,13.00,07719674,https://image.tmdb.org/t/p/w1280/b2SkA02fXbZYnV1qjOIQprjXloF.jpg,,Star 80 (1983) poster,drama
meteor,Meteor,,Little Movie Store,Media > Videos,"Floor Sale, Sci-Fi, Formatted, Issue, Needs-Format",Genre,Sci-Fi,shopify,1,deny,manual,15.00,02312954,,,,sci-fi
scavengers-vhs-academy-1988-stunts-kenneth-david-gilman-brenda-bakke,Scavengers Vhs Academy 1988 Stunts Kenneth David Gilman Brenda Bakke,"This 1988 cult classic captures the high-energy era of practical stunts and retro action cinema on original home video format. Housed in its authentic slipcase, this release is a must-have for nostalgic film enthusiasts and collectors of vintage physical media. Experience the gritty aesthetic and unique charm of late eighties cinematography through this well-preserved analog copy.",Unknown Brand,Media > Videos,"Floor Sale, Comedy, Formatted, Issue, Needs-Format",Genre,Comedy,shopify,1,deny,manual,6.00,191-NKNSCA-50-001A,,,,comedy
dead-poets-society-vhs-1989-robin-williams-buy-2-get-1-free,Dead Poet's Society VHS 1989 Robin Williams **Buy 2 Get 1 Free**,"Experience this acclaimed classic drama in its original analog format, perfect for collectors of vintage cinema. This 1989 home video release captures the inspiring story and powerful performances with the nostalgic warmth of magnetic tape. It is an essential addition for fans of heartfelt storytelling and physical media memorabilia.",Unknown Brand,Media > Videos,"Floor Sale, Drama, Formatted, Issue, Needs-Format",Genre,Drama,shopify,1,deny,manual,5.00,191-NKNDEA-50-001A,,,,drama
sleeping-beauty-50th-anniversary,Sleeping Beauty 50th Anniversary,"This limited release celebrates a landmark cinematic masterpiece with digitally restored visuals and enhanced surround sound for a modern viewing experience. The comprehensive two-disc set includes hours of immersive bonus features, such as behind-the-scenes documentaries, deleted scenes, and interactive games that appeal to both nostalgic adults and new generations. Its premium packaging and high-definition quality make it a cornerstone addition for any serious film enthusiast or animation collector.",Disney,Media > Videos,"Floor Sale, Kids & Family, Formatted, Issue, Needs-Format",Genre,Kids & Family,shopify,1,deny,manual,8.00,191-DISSLE-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781753609465.jpg?v=1781754185,1,191-DISSLE-50-001A,kids-family
love-and-monsters,Love and Monsters,This captivating science fiction adventure follows a young man navigating a post-apocalyptic landscape overrun by overgrown creatures to reunite with his high school sweetheart. It masterfully blends heartfelt coming-of-age storytelling with impressive visual effects and thrilling monster encounters for a unique cinematic experience. The film is a must-watch for fans of imaginative world-building and charming survival stories.,Unknown,Media > Videos,"Rental, Action, Formatted, Issue, Needs-Format",Genre,Action,shopify,1,deny,manual,0,191-UNKLOV-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781404684172.jpg?v=1781405030,1,191-UNKLOV-50-001A,action
the-red-queen-kills-seven-times-arrow,The Red Queen Kills Seven Times (Arrow),"This high-definition restoration brings a stylish Italian gothic thriller to life with vibrant visual clarity and lossless audio. The collectible set features extensive special features including interviews, scholarly commentary, and an illustrated booklet that explores the film's macabre mystery. It is a definitive edition for genre enthusiasts looking to add a masterfully crafted slasher classic to their physical media library.",Arrow Video,Media > Videos,"Rental, Thriller, Formatted, Issue, Needs-Format",Genre,Thriller,shopify,1,deny,manual,0,191-RRWTHE-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781403975129.jpg?v=1781403995,1,191-RRWTHE-50-001A,thriller
vertigo,Vertigo,Experience this psychological thriller in stunning high definition with a restoration that captures every haunting detail of the suspenseful narrative. This cinematic masterpiece features legendary performances and groundbreaking cinematography that make it an essential addition to any classic film collection. The disc includes immersive bonus content and behind-the-scenes insights into one of the most celebrated titles in movie history.,Alfred Hitchcock,Media > Videos,"Rental, Thriller, Formatted, Issue, Needs-Format",Genre,Thriller,shopify,1,deny,manual,0,191-ALFVER-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781402999401.jpg?v=1781403166,1,191-ALFVER-50-001A,thriller
psycho-goreman,Psycho Goreman,"This highly detailed action figure captures the grotesque yet charming aesthetic of the intergalactic warlord with intricate sculpting and vibrant paint applications. It comes equipped with signature weapon accessories and multiple points of articulation, making it a standout addition for any collector of indie sci-fi horror memorabilia. Whether displayed on a shelf or used for creative photography, this piece perfectly embodies the film's unique blend of retro practical effects and dark comedy.",Unknown,Media > Videos,"Rental, Horror, Formatted, Issue, Needs-Format",Genre,Horror,shopify,1,deny,manual,0,191-UNKPSY-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781397611914.jpg?v=1781397836,1,191-UNKPSY-50-001A,horror
poltergeist-extended-cut-blu-ray,Poltergeist Extended Cut (Blu-ray),This extended edition offers a terrifying cinematic experience with additional footage that deepens the supernatural tension of the supernatural classic. High-definition visuals and immersive audio quality make it an essential centerpiece for any horror fan's home media collection. The physical disc includes exclusive bonus content and behind-the-scenes features that explore the production of this iconic haunting tale.,Unknown,Media > Videos,"Rental, Horror, Formatted, Issue, Needs-Format",Genre,Horror,shopify,1,deny,manual,0,191-UNKPOL-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781397326796.jpg?v=1781397832,1,191-UNKPOL-50-001A,horror
castle-freak,Castle Freak,"This cult classic horror film is presented on high-definition physical media, featuring a stunning restoration that brings every unsettling detail of the gothic atmosphere to life. The release includes a variety of special features and behind-the-scenes insights that make it a perfect addition for collectors of surreal genre cinema. Its blend of practical effects and haunting storytelling ensures a memorable viewing experience for any fan of vintage macabre tales.",Unknown,Media > Videos,"Rental, Horror, Formatted, Issue, Needs-Format",Genre,Horror,shopify,1,deny,manual,0,191-UNKCAS-70-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781396030620.jpg?v=1781397122,1,191-UNKCAS-70-001A,horror
a-million-ways-to-die-in-the-west,A Million Ways to Die in the West,This comedy western follows a cowardly farmer who seeks help from a mysterious sharpshooter to win back his girlfriend while outrunning a notorious outlaw. The film features an all-star cast and signature irreverent humor that parodies the harsh realities of life on the frontier. This physical disc is a great choice for fans of satirical cinema and those looking to complete their home movie collection.,Universal Pictures,Media > Videos,"Rental, Comedy, Formatted, Issue, Needs-Format",Genre,Comedy,shopify,1,deny,manual,0,191-UNIAMI-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781378298176.jpg?v=1781382028,1,191-UNIAMI-50-001A,comedy
22-jump-street,22 Jump Street,"Relive the action and humor of this high-energy buddy cop sequel in high definition. This physical media release features the complete film along with exclusive bonus content, including deleted scenes and a hilarious gag reel. It is a must-have addition for fans of modern comedy and crime-fighting duos looking to complete their home cinema collection.",Unknown,Media > Videos,"Rental, Comedy, Formatted, Issue, Needs-Format",Genre,Comedy,shopify,1,deny,manual,0,191-UNK22J-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781378141047.jpg?v=1781382027,1,191-UNK22J-50-001A,comedy
on-the-road,On the Road,This fresh and spicy fragrance captures the essence of a spirited adventure with its unique blend of citrus and woody notes. It offers a sophisticated yet rugged aroma that is perfect for daily wear or special travels. The long-lasting scent profile ensures a memorable impression that feels both modern and timeless.,Unknown,Media > Videos,"Rental, Drama, Formatted, Issue, Needs-Format",Genre,Drama,shopify,1,deny,manual,0,191-UNKONT-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781287380649.jpg?v=1781289528,1,191-UNKONT-50-001A,drama
the-talented-mr-ripley-vhs-2000,"The Talented Mr. Ripley (vhs, 2000)","The Talented Mr. Ripley follows Tom Ripley, a young man whose chance meeting with a wealthy shipbuilder leads to a journey to Italy to retrieve his playboy son. Immersed in a world of luxury, Tom becomes enthralled by the lifestyle and dangerously entangled in lies to keep it. With stunning 1950s settings, nuanced performances, and tense psychological drama, this is a stylish, unsettling thriller worth watching for fans of character-driven suspense.",Unknown Brand,Media > Videos,"Rental, Thriller, Formatted, Issue, Needs-Format",Genre,Thriller,shopify,1,deny,manual,0,191-NKNTHT-50-001A,,,,thriller
chuck-buck,Chuck & Buck,"Chuck &amp; Buck follows two childhood friends whose adult lives have diverged sharply—Chuck has moved on to a polished career, while Buck remains stuck in adolescence and develops an unsettling fixation on rekindling their past bond. This darkly comic psychological drama blends discomfort, poignancy, and offbeat humor, earning critical praise for its originality, layered performances, and unsettling exploration of boundaries.",Unknown,Media > Videos,"Rental, Comedy, Formatted, Issue, Needs-Format",Genre,Comedy,shopify,1,deny,manual,0,191-UNKCHU-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1780437450597.jpg?v=1780598826,1,191-UNKCHU-50-001A,comedy
angel-baby,Angel Baby,"Angel Baby follows a grieving couple who retreat to a secluded cabin after the loss of their stillborn twins, only for the wife to sense an unsettling presence as dark secrets emerge. Blending psychological horror and thriller elements, it aims for a tense, atmospheric experience.",Unknown,Media > Videos,"Rental, Thriller, Formatted, Issue, Needs-Format",Genre,Thriller,shopify,1,deny,manual,0,191-UNKANG-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1780436842769.jpg?v=1780598821,1,191-UNKANG-50-001A,thriller
ufos-it-has-begun-vhs-1989-vci-burgess-meredith-rod-serling-documentary-mlnc,Ufos: It Has Begun,This vintage 1989 documentary offers a deep dive into the unexplained through compelling witness accounts and historical footage narrated by two legendary icons of the screen. It is an essential addition for fans of classic paranormal investigative media and collectors of rare eighties era home video releases. The atmospheric production and nostalgic presentation capture a unique moment in high stakes ufology and speculative storytelling.,Unknown Brand,Media > Videos,"Floor Sale, Sci-Fi, Formatted, Issue, Needs-Format",Genre,Sci-Fi,shopify,1,deny,manual,22.00,191-VHSUFO-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1780423780129.jpg?v=1780598808,1,191-VHSUFO-50-001A,sci-fi
at-first-sight,At First Sight,"Explore a romantic and suspenseful narrative that delves into the complexities of human connection and unexpected attraction. This compelling read offers a blend of emotional depth and high stakes, making it an ideal choice for fans of contemporary drama and intrigue. Its fast-paced storytelling and relatable characters ensure an immersive experience from the very first chapter.",Unknown,Media > Videos,"Rental, Drama, Formatted, Issue, Needs-Format",Genre,Drama,shopify,1,deny,manual,0,191-UNKATF-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1780419437775.jpg?v=1780598799,1,191-UNKATF-50-001A,drama
hype,Hype!,,Unknown,Media > Videos,"Floor Sale, Documentary, Formatted, Issue, Needs-Format",Genre,Documentary,shopify,1,deny,manual,11.00,191-UNKHYP-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781876780226.jpg?v=1781910023,1,191-UNKHYP-001A,documentary
