Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
fahrenheit-9-11-dvd-rental-dcoumentary,Fahrenheit 9/11,<p>Michael Moore's view on how the Bush administration allegedly used the tragic events on 9/11 to push forward its agenda for unjust wars in Afghanistan and Iraq.</p>,DVD,Media > Videos,"Rental, DVD, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,0,26648570,https://image.tmdb.org/t/p/w1280/cZ7M343iuiMDc36fSeSm699XQFv.jpg,,Fahrenheit 9/11 (2004) poster,documentary
good-charlotte-dvd-rental-music,Good Charlotte,,DVD,Media > Videos,"Rental, DVD, Music, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,0,72118010,,,,
gaumont-treasures-vol-2-dvd-rental-special-interest,Gaumont Treasures | Vol. 2,,DVD,Media > Videos,"Rental, DVD, Special Interest, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,0,20165370,,,,
easyriders-video-magazine-15-vhs-floor-sale-special-interest,Easyriders Video Magazine #15,,VHS,Media > Videos,"Floor Sale, VHS, Special Interest, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,21.00,71059450,,,,
the-rose-vhs-floor-sale,The Rose,<p>Rock-and-roll singer Mary Rose Foster's romantic relationships and mental health are continuously imperilled by the demands of life on the road.</p>,VHS,Media > Videos,"Floor Sale, VHS, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,8.00,51259642,https://image.tmdb.org/t/p/w1280/3hYyA2g5r0TDRbkSAOEeKelylh2.jpg,,The Rose (1979) poster,
havana-vhs-floor-sale,Havana,,VHS,Media > Videos,"Floor Sale, VHS, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,8.00,51226874,,,,
michael-jordans-playground-vhs-floor-sale-special-interest,Michael Jordan's Playground,"<p>This made-for-video production mixes highlights of Michael Jordan from the '80s with a fantasy storyline of a high school teen named Walt, who has been cut from his basketball team. Doubting his abilities, Walt gets some lessons from Michael Jordan himself, on the magical Playground known as Michael Jordan's Playground.</p>",VHS,Media > Videos,"Floor Sale, VHS, Special Interest, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,8.00,06662394,https://image.tmdb.org/t/p/w1280/1D8CPm7m5ZETY5IHF527yZCJ4D2.jpg,,Michael Jordan's Playground (1990) poster,
easyriders-video-magazine-12-vhs-floor-sale-special-interest,Easyriders Video Magazine #12,,VHS,Media > Videos,"Floor Sale, VHS, Special Interest, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,21.00,39717370,,,,
chicago-vhs-floor-sale-chicago,Chicago,,VHS,Media > Videos,"Floor Sale, VHS, Chicago, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,6.00,27577594,,,,
ivory-hunters-vhs-floor-sale-ivory-hunters,Ivory Hunters,<p>An author discovers that his missing research assistant's disappearance may be related to illegal trade in ivory tusks. He's then asked by the local inspector to help him find the poachers.</p>,VHS,Media > Videos,"Floor Sale, VHS, Ivory Hunters, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,5.00,28437498,https://image.tmdb.org/t/p/w1280/9qAv8kk0B8rfL5sOYPuQLZHFaiy.jpg,,Ivory Hunters (1990) poster,
the-short-films-of-david-lynch-dvd-floor-sale-special-interest,The Short Films of David Lynch,<p>A collection of visionary director David Lynch's short films from the first 29 years of his career is accompanied by a special introduction to each film by the director himself.</p>,DVD,Media > Videos,"Floor Sale, DVD, Special Interest, Formatted, Issue, Genre needed",Genre,,shopify,1,deny,manual,42.00,14654714,https://image.tmdb.org/t/p/w1280/86WCJiXMvPaXEnN02sFjiAbhdB.jpg,,The Short Films of David Lynch (2002) poster,
