Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
10-things-i-hate-about-you-vhs-floor-sale-romantic-comedy,10 Things I Hate About You,"<p>On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.</p>",VHS,Media > Videos,"Floor Sale, VHS, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,10.00,47703802,https://image.tmdb.org/t/p/w1280/ujERk3aKABXU3NDXOAxEQYTHe9A.jpg,,10 Things I Hate About You (1999) poster,romantic-comedy
1900-vhs-floor-sale-drama,1900,"<p>The epic tale of a class struggle in twentieth century Italy, as seen through the eyes of two childhood friends on opposing sides.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,14.00,17550586,https://image.tmdb.org/t/p/w1280/deWzfCC59tmtEQvKSmflDe14FvR.jpg,,1900 (1976) poster,drama
2-days-in-the-valley-vhs-rental-thriller,2 Days in the Valley,"<p>In a sleepy bedroom community of LA's San Fernando Valley, the murder of a professional athlete by two hit men sets into motion a chain of events that puts the mundane lives of a dozen residents on a collision course. This clever tale tells the story of two hit men, a mistress, a nurse, a vindictive ex-wife, a wealthy art dealer and his lovelorn assistant, a suicidal writer and his dog, and a bitter cop and his partner.</p>",VHS,Media > Videos,"Rental, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,0,78447098,https://image.tmdb.org/t/p/w1280/dKmOINYPpg2W8SMRicnFdusqk1x.jpg,,2 Days in the Valley (1996) poster,thriller
8mm-vhs-floor-sale-thriller,8MM,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,6.00,32715002,,,,thriller
a-beautiful-mind-vhs-floor-sale-drama,A Beautiful Mind,"<p>From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experiences it all. As a brilliant but socially awkward mathematician, he made a groundbreaking discovery early in his career and stands on the brink of international acclaim. But as the handsome and arrogant Nash accepts secret work in cryptography, he becomes entangled in a mysterious conspiracy. His life takes a nightmarish turn and he soon finds himself on a painful and harrowing journey of self-discovery.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,97279738,https://image.tmdb.org/t/p/w1280/rEIg5yJdNOt9fmX4P8gU9LeNoTQ.jpg,,A Beautiful Mind (2001) poster,drama
a-fish-called-wanda-vhs-floor-sale-comedy,A Fish Called Wanda,"<p>While a diamond advocate attempts to steal a collection of diamonds, troubles arise when he realises he’s not the only one after the collection.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,7.00,68226554,https://image.tmdb.org/t/p/w1280/hkSGFNVfEEUXFCxRZDITFHVhUlu.jpg,,A Fish Called Wanda (1988) poster,comedy
a-fistful-of-dollars-vhs-rental-action,A Fistful of Dollars,"<p>The Man With No Name enters the Mexican village of San Miguel in the midst of a power struggle among the three Rojo brothers and sheriff John Baxter. When a regiment of Mexican soldiers bearing gold intended to pay for new weapons is waylaid by the Rojo brothers, the stranger inserts himself into the middle of the long-simmering battle, selling false information to both sides for his own benefit.</p>",VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,78283258,https://image.tmdb.org/t/p/w1280/lBwOEpwVeUAmrmglcstnaGcJq3Y.jpg,,A Fistful of Dollars (1964) poster,action
a-fistfull-of-dollars-vhs-floor-sale-action,A Fistfull of Dollars,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,5.00,04503034,,,,action
a-home-of-our-own-vhs-floor-sale-kdis-family,A Home of Our Own,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,5.00,82225914,,,,kids-family
a-mighty-wind-vhs-floor-sale-comedy,A Mighty Wind,"<p>Three eclectic, never-quite-famous folk bands come together for the first time in decades following the death of their manager to put on an reunion concert in his honor, at the request of his son.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,9.00,97574650,https://image.tmdb.org/t/p/w1280/5wUYwAD75BxtJ0Mp4da6XzHIFex.jpg,,A Mighty Wind (2003) poster,comedy
a-paradine-case-vhs-rental-drama,A Paradine Case,"<p>In London, barrister Anthony Keane takes the case of Maddalena Paradine, a beautiful woman accused of poisoning her blind husband. Though happily married, Keane becomes infatuated with his enigmatic client and convinced of her innocence. His obsession clouds his judgment as he builds a defense implicating her servant, André Latour—an act that leads to devastating consequences both in court and at home.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,78938618,https://image.tmdb.org/t/p/w1280/faUkygLOpVA8roEYNYyQTX3llnJ.jpg,,A Paradine Case (1947) poster,drama
a-river-runs-through-it-vhs-floor-sale-drama,A River Runs Through It,"<p>The Maclean brothers, Paul and Norman, live a relatively idyllic life in rural Montana, spending much of their time fly fishing. The sons of a minister, the boys eventually part company when Norman moves east to attend college, leaving his rebellious brother to find trouble back home. When Norman finally returns, the siblings resume their fishing outings, and assess where they've been and where they're going.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,33566970,https://image.tmdb.org/t/p/w1280/aVP45oS2cBL4WtZ1kB7r8uarruB.jpg,,A River Runs Through It (1992) poster,drama
above-the-law-vhs-floor-sale-action,Above The Law,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,5.00,17648890,,,,action
ace-ventura-vhs-floor-sale-comedy,Ace Ventura,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,68619770,,,,comedy
ace-ventura-when-nature-calls-vhs-floor-sale-comedy,Ace Ventura When Nature Calls,"<p>Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,5.00,17680378,https://image.tmdb.org/t/p/w1280/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,,Ace Ventura When Nature Calls (1995) poster,comedy
against-the-wall-vhs-rental-drama,Against the Wall,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,81116922,,,,drama
air-force-one-vhs-floor-sale-action,Air Force One,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,6.00,68587002,,,,action
along-came-a-spider-vhs-floor-sale-thriller,Along Came A Spider,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,7.00,68641530,,,,thriller
american-pie-2-vhs-floor-sale-comedy,American Pie 2,"<p>After a year apart - attending different schools, meeting different people - the guys rent a beach house and vow to make this the best summer ever. As it turns out, whether that will happen or not has a lot to do with the girls. Between the wild parties, outrageous revelations and yes, a trip to band camp, they discover that times change and people change, but in the end, it's all about sticking together.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,8.00,97246970,https://image.tmdb.org/t/p/w1280/854ZZxXdeabAs90mrV72NqShJqR.jpg,,American Pie 2 (2001) poster,comedy
an-american-tail-the-mystery-of-the-night-monster-vhs-floor-sale-kdis-family,An American Tail: The Mystery of the Night Monster,"<p>Follow the clues to fun and excitement as the beloved little mouse takes on a big monster in this charming, full-length adventure. When a ferocious, mouse-nabbing creature puts fear into the hearts of New York City's rodents, Fievel and his friends team up with a reporter to chase after the scoop of the century and -- just maybe -- get a close-up look at the bad guy himself!</p>",VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,6.00,81898234,https://image.tmdb.org/t/p/w1280/oTV5TwZ4i6wDcWxoNpczk4CQBbM.jpg,,An American Tail: The Mystery of the Night Monster (1999) poster,kids-family
anaconda-vhs-floor-sale-action,Anaconda,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,5.00,97541882,,,,action
animal-factory-vhs-rental-drama,Animal Factory,"<p>Suburbanite Ron is spoiled, young and not overly worried about the marijuana charges leveled against him. But, after being made out to be a drug dealer, he faces a five-year jail sentence in San Quentin State Prison. Physically frail and unaccustomed to his rough surroundings, Ron is primed to fall victim to sexual predators and bullying guards – that is, until he's befriended by Earl, a veteran inmate who finds meaning in protecting the vulnerable new kid.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,78840314,https://image.tmdb.org/t/p/w1280/2OUOg9Pf5dZZr5RufM5liA4IUVK.jpg,,Animal Factory (2000) poster,drama
another-woman-vhs-rental-drama,Another Woman,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,78742010,,,,drama
apocolypse-now-vhs-floor-sale-drama,Apocolypse Now,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,12.00,42116346,,,,drama
apollo-13-vhs-floor-sale-drama,Apollo 13,"<p>The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1970, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,94791418,https://image.tmdb.org/t/p/w1280/tVeKscCm2fY1xDXZk8PgnZ87h9S.jpg,,Apollo 13 (1995) poster,drama
as-good-as-it-gets-vhs-floor-sale-romantic-comedy,As Good As It Gets,,VHS,Media > Videos,"Floor Sale, VHS, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,6.00,80701178,,,,romantic-comedy
assassins-vhs-rental-action,Assassins,,VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,81510138,,,,action
audution-limited-edition-4k-ultra-hd-4k-floor-sale-horror,AudItion [Limited Edition] [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,45.00,40578554,,,,horror
baby-boy-vhs-floor-sale-drama,Baby Boy,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,9.00,98033402,,,,drama
baby-secret-of-the-lost-legend-vhs-floor-sale-kids-family,Baby Secret of the Lost Legend,"<p>A paleontologist and her husband discover a mother and baby brontosaurus in Africa, and try to protect them from hunters who want to capture them.</p>",VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,8.00,68685306,https://image.tmdb.org/t/p/w1280/AvIT5XHXrxeNHxTHmyRalm7tfSM.jpg,,Baby Secret of the Lost Legend (1985) poster,kids-family
back-to-the-future-vhs-floor-sale-action,Back to the Future,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,7.00,68718074,,,,action
