Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
a-prayer-for-the-dying-rental-thriller,A Prayer for the Dying,,Little Movie Store,Media > Videos,"Rental, Thriller, Issue, No Format",Genre,Thriller,shopify,1,deny,manual,0.00,92552954,,,,thriller
bull-durham-rental-romantic-comedy,Bull Durham,"<p>Veteran catcher Crash Davis is brought to the minor league Durham Bulls to help their up and coming pitching prospect, ""Nuke"" Laloosh. Their relationship gets off to a rocky start and is further complicated when baseball groupie Annie Savoy sets her sights on the two men.</p>",Little Movie Store,Media > Videos,"Rental, Romantic Comedy, Issue, No Format",Genre,Romantic Comedy,shopify,1,deny,manual,0.00,92290810,https://image.tmdb.org/t/p/w1280/q3T9bO6p74NcTxWOhdUA6fASQ5T.jpg,,Bull Durham (1988) poster,romantic-comedy
dolores-claiborn-rental-drama,Dolores Claiborn,"<p>Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.</p>",Little Movie Store,Media > Videos,"Drama, Rental, Issue, No Format",Genre,Drama,shopify,1,deny,manual,0.00,91963130,https://image.tmdb.org/t/p/w1280/yqY5h9kI456xXRWv6u9t0Axn9CS.jpg,,Dolores Claiborn (1995) poster,drama
doomsday-rental-action,Doomsday,,Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92126970,,,,action
dragnet-rental-comedy,Dragnet,,Little Movie Store,Media > Videos,"Comedy, Rental, Issue, No Format",Genre,Comedy,shopify,1,deny,manual,0.00,91864826,,,,comedy
extreme-prejudice-rental-action,Extreme Prejudice,"<p>Lean, mean Texas Ranger Jack Benteen locks horns with a former friend, Cash Bailey, now a ruthless drug kingpin. Though they're on opposite sides of the law, they share a love interest in the sensual Sarita. When a crew of rogue soldiers descends upon the border town for an off-the-books mission, all roads lead to a bloody, to-the-death showdown, as loyalties shift and the lines between good and evil are blurred.</p>",Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92159738,https://image.tmdb.org/t/p/w1280/fqN3duCLrjcsF8dfiP1XCCtlWZC.jpg,,Extreme Prejudice (1987) poster,action
falling-fire-rental-action,Falling Fire,"<p>In the not so distant future mankind has squandered their resources. A team of specialists is sent to the nearby asteroid field to retrieve an asteroid that will serve to replenish some of our natural resources. However, unbeknownst to the team, there is a killer on board determined to take control of the asteroid and destroy all mankind.</p>",Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92421882,https://image.tmdb.org/t/p/w1280/mDKi7MxjdLnQ7bW4m7xIkbO65SM.jpg,,Falling Fire (1997) poster,action
fire-down-below-rental-action,Fire Down Below,,Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92618490,,,,action
hoodlum-rental-drama,Hoodlum,"<p>In 1934, the second most lucrative business in New York City was running 'the numbers'. When Madam Queen—the powerful woman who runs the scam in Harlem—is arrested, Ellsworth 'Bumpy' Johnson takes over the business and must resist an invasion from a merciless mobster.</p>",Little Movie Store,Media > Videos,"Drama, Rental, Issue, No Format",Genre,Drama,shopify,1,deny,manual,0.00,92061434,https://image.tmdb.org/t/p/w1280/hZrwqVXLyxxsNJHVc6bJKSUDkXA.jpg,,Hoodlum (1997) poster,drama
john-cnady-is-delirious-rental-comedy,John Candy is Delirious,,Little Movie Store,Media > Videos,"Comedy, Rental, Issue, No Format",Genre,Comedy,shopify,1,deny,manual,0.00,92651258,,,,comedy
new-blood-rental-action,New Blood,,Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92520186,,,,action
on-the-down-n-low-rental-drama,On the Down 'N Low,"<p>Most cops start at the bottom and work their way to the top, but in this heated urban crime thriller the officers sworn to protect and serve walk a dark path of corruption and destruction as they gradually succumb to their deepest criminal instincts. When two decorated police officers pound the pavement on a mission to take down the most vicious mobsters and drug dealers on the streets, their quest to purify the corrosive cesspool of a city they call home soon leads them into the upper-most ranks of the force.</p>",Little Movie Store,Media > Videos,"Drama, Rental, Issue, No Format",Genre,Drama,shopify,1,deny,manual,0.00,92487418,https://image.tmdb.org/t/p/w1280/rCoGG9838j9DnGvsJdCiWGWOfsF.jpg,,On the Down 'N Low (2003) poster,drama
one-tough-cop-rental-action,One Tough Cop,"<p>A detective tries to remain loyal to his partner, and his best friend - a mobster.</p>",Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92454650,https://image.tmdb.org/t/p/w1280/qXKVKFApORbPIOM9gyUEBpTRjmT.jpg,,One Tough Cop (1998) poster,action
only-the-lonely-rental-romantic-comedy,Only the Lonely,,Little Movie Store,Media > Videos,"Rental, Romantic Comedy, Issue, No Format",Genre,Romantic Comedy,shopify,1,deny,manual,0.00,92323578,,,,romantic-comedy
outlaw-justice-rental-action,Outlaw Justice,,Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92585722,,,,action
overboard-rental-romantic-comedy,Overboard,,Little Movie Store,Media > Videos,"Rental, Romantic Comedy, Issue, No Format",Genre,Romantic Comedy,shopify,1,deny,manual,0.00,91897594,,,,romantic-comedy
playing-god-rental-thriller,Playing God,,Little Movie Store,Media > Videos,"Rental, Thriller, Issue, No Format",Genre,Thriller,shopify,1,deny,manual,0.00,92094202,,,,thriller
raw-target-rental-action,Raw Target,"<p>This high-powered action flick follows kickboxing champion Johnny Rider, who quits the ring after accidentally killing an opponent but is forced to employ his skills again to avenge the death of his brother at the hands of crime boss Rod Sparks (Nicholas Hill). After infiltrating Rod's gang, Johnny is targeted himself by Bill Williams (Ron Hall), a cop seeking revenge for the death of his own brother -- the fighter killed by Johnny.</p>",Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92356346,https://image.tmdb.org/t/p/w1280/b3GIRpmTfMv28RS1s104fDipIy2.jpg,,Raw Target (1995) poster,action
silence-like-glass-rental-drama,Silence like Glass,<p>True story of two diametrically opposed young women dealing with terminal illness.</p>,Little Movie Store,Media > Videos,"Drama, Rental, Issue, No Format",Genre,Drama,shopify,1,deny,manual,0.00,92225274,https://image.tmdb.org/t/p/w1280/vkHmHTnYcw1E6FO39oVczmDpPNu.jpg,,Silence like Glass (1989) poster,drama
some-like-it-hot-rental-romantic-comedy,Some Like it Hot,,Little Movie Store,Media > Videos,"Rental, Romantic Comedy, Issue, No Format",Genre,Romantic Comedy,shopify,1,deny,manual,0.00,92258042,,,,romantic-comedy
the-animal-rental-comedy,The Animal,,Little Movie Store,Media > Videos,"Comedy, Rental, Issue, No Format",Genre,Comedy,shopify,1,deny,manual,0.00,91930362,,,,comedy
