Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
"no usable genre (Option1 Value 'Special Interest', tags Floor Sale, Special Interest)",tie-died-vhs,Tie-Died,,VHS,,,"Floor Sale, Special Interest",true,Genre,Special Interest,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,80447738,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Special Interest', tags Floor Sale, Special Interest)",behind-the-scenes-point-break-hot-shots-vhs,Behind the Scenes: Point Break / Hot Shots,,VHS,,,"Floor Sale, Special Interest",true,Genre,Special Interest,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,80414970,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Special Interest', tags Floor Sale, Special Interest)",stevie-vhs,Stevie,,VHS,,,"Floor Sale, Special Interest",true,Genre,Special Interest,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,80316666,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),primary-colors-vhs,Primary Colors,,VHS,Uncategorized,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,3,deny,manual,5.00,,true,true,,,,,15071738,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (4.00),our-town-vhs,Our Town,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,15038970,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (6.00),final-analysis-vhs,Final Analysis,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,15006202,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),somewhere-in-time-vhs,Somewhere in Time,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,14907898,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (6.00),the-bodyguard-vhs,The Bodyguard,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,14875130,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),hoop-dreams-vhs,Hoop Dreams,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,14842362,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),leaving-las-vegas-vhs,Leaving Las Vegas,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,2,deny,manual,5.00,,true,true,,,,,14023162,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),september-vhs,September,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,13990394,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),easyriders-vhs,Easyriders,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,13793786,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (6.00),the-finest-hours-vhs,The Finest Hours,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,13695482,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (10.00),murder-in-texas-vhs,Murder in Texas,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,13629946,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),twice-in-a-lifetime-vhs,Twice in a Lifetime,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,13597178,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),retribution-vhs,Retribution,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,12909050,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),fighting-tommy-riley-vhs,Fighting Tommy Riley,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,12450298,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (8.00),mask-vhs,Mask,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,11729402,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (7.00),flash-of-green-vhs,Flash of Green,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,11631098,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (5.00),far-and-away-vhs,Far and Away,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,11270650,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (4.00),two-bits-vhs,Two Bits,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,11074042,,,,false,,,,,,,,,,lb,,,active
Rental with a nonzero price (8.00),lifeguard-vhs,Lifeguard,,VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,10123770,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value '#VALUE!', tags Floor Sale)",shacked-up-vhs,Shacked Up,,VHS,,,Floor Sale,true,Genre,#VALUE!,,,,,,,,,0.0,shopify,1,deny,manual,17.00,,true,true,,,,,01048314,,,,false,,,,,,,,,,lb,,,active
