Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
beauty-and-the-beast-live-action-bluray,Beauty and the Beast (Live Action),,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,6.00,43275002,,,,kids-family
21-jump-street-bluray-fs,21 Jump Street,"<p>When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind.</p>",Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,43242234,https://image.tmdb.org/t/p/w1280/8v3Sqv9UcIUC4ebmpKWROqPBINZ.jpg,,21 Jump Street (2012) poster,comedy
the-40-year-old-virgin-bluray-fs,The 40 Year Old Virgin,"<p>Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40, there's one thing Andy hasn't done, and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid, the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish, a single mom.</p>",Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,43209466,https://image.tmdb.org/t/p/w1280/mVeoqL37gzhMXQVpONi9DGOQ3tZ.jpg,,The 40 Year Old Virgin (2005) poster,comedy
things-change-vhs,Things Change,"<p>Jerry, a misfit Mafia henchman, is assigned the low-level job of keeping an eye on Gino, a shoe repairman fingered by the Mob to confess to a murder he didn't commit. But Gino's mistaken for a Mafia boss, and the two are suddenly catapulted to the highest levels of mobster status. Only friendship will see them through this dangerous adventure alive!</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,5.00,33706746,https://image.tmdb.org/t/p/w1280/xKjGI2AAg5UHaBvVVR7oI865Zth.jpg,,Things Change (1988) poster,comedy
winners-take-all-vhs,Winners Take All,"<p>Billy Robinson has become the hottest hot-rodder on the professional motorcycle-racing circuit. But when he returns in triumph to his hometown to bask in all the adulation, he also skids into some pretty rank jealousy from envious motorcycling wanna-bes. And when a local race is organized, Billy must shift gears completely and compete against his best friend, Rick, for the top prize.</p>",VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,7.00,33641210,https://image.tmdb.org/t/p/w1280/eZITVIhBaLgCagW1i8bo5JBrXay.jpg,,Winners Take All (1987) poster,action
class-act-vhs,Class Act,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,33608442,,,,comedy
a-piece-of-the-action-vhs,A Piece of the Action,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,33575674,,,,comedy
twice-upon-a-yesterday-screener-vhs,Twice Upon a Yesterday (Screener),,VHS,Media > Videos,"Floor Sale, VHS, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,6.00,33542906,,,,romantic-comedy
strike-screener-vhs,Strike (Screener),,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,10.00,33444602,,,,comedy
matinee-vhs,Matinee,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,5.00,33411834,,,,comedy
boys-town-vhs,Boys Town,"<p>Devout but iron-willed Father Flanagan leads a community called Boys Town, a different sort of juvenile detention facility where, instead of being treated as underage criminals, the boys are shepherded into making themselves better people. But hard-nosed petty thief and pool shark Whitey Marsh, the impulsive and violent younger brother of an imprisoned murderer, might be too much for the good father's tough-love system.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,4.00,33379066,https://image.tmdb.org/t/p/w1280/jGwKOZvPItNSocHFAg1USbhKR6c.jpg,,Boys Town (1938) poster,drama
the-joy-luck-club-vhs,The Joy Luck Club,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,4.00,33313530,,,,drama
the-natural-vhs,The Natural,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,4.00,33280762,,,,drama
