Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
youre-in-the-superbowl-charlie-brown-vhs-rental-kids-family,You're in the Superbowl Charlie Brown,,VHS,Media > Videos,"Rental, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,18207226,,,,kids-family
the-little-mermaid-banned-cover-art-vhs-12,The Little Mermaid (banned cover art),,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,12.00,14930426,,,,kids-family
james-stewart-mode-for-each-other-pot-o-gold-vhs-rental-drama,"James Stewart | Mode for Each Other, Pot O' Gold",,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,11129338,,,,drama
the-cat-in-the-hat-sing-along-vhs-rental-kids-family,The Cat In The Hat Sing-Along,,VHS,Media > Videos,"Rental, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,10703354,,,,kids-family
miami-vice-ii-vhs-rental-action,Miami Vice II,,VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,10342906,,,,action
disaster-double-feature-stormageddon-impact-event-dvd-rental-action,"Disaster Double Feature | Stormageddon, Impact Event",,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,96088826,,,,action
bone-hill-road-dvd-rental-horror,Bone Hill Road,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,96056058,,,,horror
dracula-sucks-dvd-rental-horror,Dracula Sucks,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,20624122,,,,horror
fw-murnaus-nosferatu-dvd-rental-horror,FW Murnau's Nosferatu,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,20591354,,,,horror
a-grand-collection-of-swaordsman-ii-dvd-rental-action,A Grand Collection of Swaordsman II,,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,20525818,,,,action
kino-film-noir-dvd-rental-thriller,KINO Film Noir,,DVD,Media > Videos,"Rental, DVD, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,0,20263674,,,,thriller
black-society-trilogy-dvd-rental-action,Black Society Trilogy,,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,20198138,,,,action
horror-classics-nightmare-castle-dr-jeckyll-mr-hyde-vhs-floor-sale-horror,"Horror Classics: Nightmare Castle, Dr. Jeckyll & Mr. Hyde",,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,10.00,06520314,,,,horror
life-with-judy-garland-me-my-shadows-vhs-rental-drama,Life With Judy Garland: Me & My Shadows,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,95543034,,,,drama
gone-with-the-wind-box-set-vhs-floor-sale-drama,Gone With The Wind: Box Set,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,95248122,,,,drama
toy-story-10th-anniversary-edition-dvd-rental-kids-family,Toy Story | 10th Anniversary Edition,,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,86630138,,,,kids-family
paul-mccartney-back-in-the-us-concert-film-dvd-rental-musical,Paul McCartney | Back in the US Concert Film,,DVD,Media > Videos,"Rental, DVD, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,0,42163962,,,,musical
john-mayer-any-give-thursday-dvd-rental-musical,John Mayer | Any Give Thursday,,DVD,Media > Videos,"Rental, DVD, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,0,42131194,,,,musical
incubus-volume-2-dvd-rental-musical,Incubus | Volume 2,,DVD,Media > Videos,"Rental, DVD, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,0,42032890,,,,musical
faerie-tale-theater-puss-in-boots-vhs-rental-kids-family,Faerie Tale Theater: Puss in Boots,,VHS,Media > Videos,"Rental, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,38002426,,,,kids-family
under-the-hulu-moon-vhs-rental-comedy,Under The Hulu Moon,,VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,74778106,,,,comedy
perpetraitors-of-the-crime-vhs-rental-action,Perpetraitors of the Crime,,VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,72582650,,,,action
when-the-whales-come-vhs-rental-drama,When The Whales Come,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,71894522,,,,drama
the-things-called-love-vhs-rental-drama,The Things Called Love,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,09529082,,,,drama
pirates-of-sillicon-valley-vhs-rental-drama,Pirates of Sillicon Valley,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,08808186,,,,drama
mistrals-daughter-vhs-floor-sale-drama,Mistral's Daughter,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,51095802,,,,drama
portaits-of-a-killer-vhs-floor-sale-thriller,Portaits of a Killer,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,5.00,49948922,,,,thriller
jo-versus-the-volcano-vhs-floor-sale-comedy,Jo Versus the Volcano,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,12.00,49817850,,,,comedy
goliath-awaits-vhs-floor-sale-sci-fi,Goliath Awaits,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,10.00,49752314,,,,sci-fi
stealing-beauty-screener-vhs-floor-sale-drama,Stealing Beauty (screener),,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,15.00,49719546,,,,drama
