Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
primary-colors-vhs,Primary Colors,"<p>In this adaptation of the best-selling roman à clef about Bill Clinton's 1992 run for the White House, the young and gifted Henry Burton is tapped to oversee the presidential campaign of Governor Jack Stanton. Burton is pulled into the politician's colorful world and looks on as Stanton -- who has a wandering eye that could be his downfall -- contends with his ambitious wife, Susan, and an outspoken adviser, Richard Jemmons.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,15071738,https://image.tmdb.org/t/p/w1280/RXEgVSEBkMnV8LkEGkBpuz3mkD.jpg,,Primary Colors (1998) poster,drama
our-town-vhs,Our Town,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,15038970,,,,drama
final-analysis-vhs,Final Analysis,"<p>A psychiatrist becomes romantically involved with the sister of one of his patients, but the influence of her controlling gangster husband threatens to destroy them both.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,15006202,https://image.tmdb.org/t/p/w1280/bQZT83mRoNINRsCaKtKOpUQQdY.jpg,,Final Analysis (1992) poster,drama
somewhere-in-time-vhs,Somewhere in Time,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,14907898,,,,drama
the-bodyguard-vhs,The Bodyguard,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,14875130,,,,drama
hoop-dreams-vhs,Hoop Dreams,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,14842362,,,,drama
leaving-las-vegas-vhs,Leaving Las Vegas,"<p>Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,14023162,https://image.tmdb.org/t/p/w1280/wIfP6uLXD9Ptu68SyRx8WuSNNSK.jpg,,Leaving Las Vegas (1995) poster,drama
september-vhs,September,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,13990394,,,,drama
easyriders-vhs,Easyriders,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,13793786,,,,drama
the-finest-hours-vhs,The Finest Hours,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,13695482,,,,drama
