Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
orson-welles-gost-story-vhs-floor-sale-documentary,Orson Welles' Gost Story,,VHS,Media > Videos,"Floor Sale, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,8.00,02320890,,,,documentary
elvis-kissin-cousins-vhs-floor-sale-drama,Elvis Kissin' Cousins,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,01927674,,,,drama
normans-awesom-experience-vhs-floor-sale-sci-fi,Norman's Awesom Experience,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,18.00,01830394,,,,sci-fi
my-tutot-vhs-floor-sale-comedy,My Tutot,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,7.00,01601018,,,,comedy
20-movies-family-holiday-film-collection-dvd-floor-sale-holiday,20 Movies: Family Holiday Film Collection,,DVD,Media > Videos,"Floor Sale, DVD, Holiday, Formatted",Genre,Holiday,shopify,1,deny,manual,8.00,00667642,,,,holiday
whtie-christmas-dvd-floor-sale-holiday,Whtie Christmas,,DVD,Media > Videos,"Floor Sale, DVD, Holiday, Formatted",Genre,Holiday,shopify,1,deny,manual,5.00,00602106,,,,holiday
mullholand-falls-vhs-floor-sale-thriller,Mullholand Falls,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,6.00,00307194,,,,thriller
titalnic-town-vhs-floor-sale-drama,Titalnic Town,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,00176122,,,,drama
whitesnake-trilogy-vhs-rental-musical,Whitesnake: Trilogy,,VHS,Media > Videos,"Rental, VHS, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,0,93163770,,,,musical
where-the-spririt-lives-vhs-rental-drama,Where the Spririt Lives,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,43356410,,,,drama
leviathan-promotional-cassette-vhs-floor-sale-comedy,Leviathan Promotional Cassette,<p>10</p>,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,10.00,60007674,,,,comedy
the-adventires-of-milo-and-otis-dvd-floor-sale-kids-family,The Adventires of Milo and Otis,<p>5</p>,DVD,Media > Videos,"Floor Sale, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,5.00,56665338,,,,kids-family
ratatouille-cooking-fun-for-all-ages-dvd-rental-kids-family,Ratatouille: Cooking Fun For All Ages,,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,48211194,,,,kids-family
j-lo-lets-get-loud-dvd-rental-musical,J Lo: Let's Get Loud,,DVD,Media > Videos,"Rental, DVD, Musical, Formatted",Genre,Musical,shopify,1,deny,manual,0,48178426,,,,musical
time-stalkers-vhs-rental-sci-fi,Time Stalkers,,VHS,Media > Videos,"Rental, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,0,16828410,,,,sci-fi
the-vagina-monoloues-vhs-rental-documentary,The Vagina Monoloues,,VHS,Media > Videos,"Rental, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,0,16336890,,,,documentary
the-amityvilly-horror-dvd-rental-horror,The Amityvilly Horror,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,95744762,,,,horror
the-secret-of-roan-inish-island-of-the-seals-dvd-rental-kids-family,The Secret of Roan Inish (Island of the Seals),,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,95646458,,,,kids-family
beauty-shop-leagally-blonde-dvd-rental-comedy,Beauty Shop / Leagally Blonde,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,03782906,,,,comedy
3-movie-collection-just-go-with-it-thats-my-boy-jack-jill-dvd-rental-comedy,3 Movie Collection: Just Go With It / That's My Boy / Jack & Jill,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,03619066,,,,comedy
superstar-dare-to-dream-dvd-rental-comedy,Superstar: Dare to Dream,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,03160314,,,,comedy
reguarding-henry-dvd-rental-drama,Reguarding Henry,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,03127546,,,,drama
andre-arctic-tale-dvd-rental-kids-family,Andre / Arctic Tale,,DVD,Media > Videos,"Rental, DVD, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,02996474,,,,kids-family
bishwick-dvd-rental-horror,Bishwick,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,02832634,,,,horror
the-bount-hunter-dvd-rental-comedy,The Bount Hunter,,DVD,Media > Videos,"Rental, DVD, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,39688698,,,,comedy
the-pursuit-fo-happyness-dvd-rental-drama,The Pursuit fo Happyness,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,39623162,,,,drama
hip-hop-2000-dvd-rental-documentary,Hip Hop 2000,<p>Low-budget docudrama about rap music in the year 2000.</p>,DVD,Media > Videos,"Rental, DVD, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,0,39164410,,,,documentary
billy-flynns-long-half-time-walk-dvd-rental-drama,Billy Flynn's Long Half Time Walk,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,96008954,,,,drama
triple-feature-lone-survivor-jardhead-green-zone-dvd-rental-action,"Triple Feature: Lone Survivor, Jardhead, Green Zone",,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,95976186,,,,action
the-john-singleton-4-movie-collection-dvd-floor-sale-drama,The John Singleton 4-Movie Collection,,DVD,Media > Videos,"Floor Sale, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,92502778,,,,drama
