Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
escape-clause,Escape Clause,"This engaging board game challenges players with strategic decision-making and high-stakes social deduction elements. It features a unique blend of tension and collaborative play, making it a perfect addition to any group game night or social gathering. Participants must use quick thinking to navigate complex scenarios and secure their victory before time runs out.",VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSSCP-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSSCP-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258616063.jpg?v=1782258954,1,191-VHSSCP-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258616063.jpg?v=1782258954,lb,,,active
deadly-little-secrets,Deadly Little Secrets,This gripping young adult mystery follows a group of friends entangled in a web of lies and hidden motives following a tragic accident. The suspenseful narrative keeps readers guessing with its fast-paced plot and complex character dynamics. It is an ideal pick for fans of psychological thrillers looking for a story filled with tension and unexpected twists.,VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSDES-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSDES-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258923180.jpg?v=1782258951,1,191-VHSDES-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258923180.jpg?v=1782258951,lb,,,active
deadlocked,Deadlocked,"This sleek piece captures a dark, alternative aesthetic through intricate hardware detailing and a structured silhouette. Crafted for durability and style, it offers a versatile look that pairs effortlessly with street-inspired wardrobes. The bold design serves as an edgy statement accessory for anyone looking to elevate their everyday ensemble.",VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSDDL-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSDDL-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258843836.jpg?v=1782258949,1,191-VHSDDL-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258843836.jpg?v=1782258949,lb,,,active
trial,Trial,This classic black and white cinematic masterpiece comes presented on a high-quality digital format featuring a restored transfer for optimal viewing. The atmospheric legal drama offers a haunting exploration of bureaucracy and paranoia that makes it a must-have for collectors of avant-garde and philosophical filmmaking. This edition provides a definitive way to experience one of the most visually striking adaptations in film history.,VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSTRL-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSTRL-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258773566.jpg?v=1782258947,1,191-VHSTRL-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258773566.jpg?v=1782258947,lb,,,active
born-innocent,Born Innocent,This sophisticated fragrance features a delicate blend of floral and woody notes that create a refined and effortless scent profile. Its light yet lasting aroma makes it a perfect choice for daily wear or special occasions where a touch of understated elegance is desired. The minimalist bottle design reflects the clean and pure essence of the liquid inside.,VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSBOR-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSBOR-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258735537.jpg?v=1782258946,1,191-VHSBOR-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258735537.jpg?v=1782258946,lb,,,active
diary-of-a-hitman,Diary of a Hitman,This gripping crime novel offers a dark and immersive look into the psychological landscape of a professional assassin navigating a dangerous underworld. Readers will find themselves captivated by the gritty narrative style and high-stakes tension that define this suspenseful thriller. It is an essential addition for fans of hard-boiled noir seeking a fast-paced and atmospheric story.,VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSDIA-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSDIA-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258688308.jpg?v=1782258944,1,191-VHSDIA-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258688308.jpg?v=1782258944,lb,,,active
mexico-city,Mexico City,"Explore the vibrant hidden gems and local culture of one of the world's most dynamic urban landscapes through this immersive travel guide. It features curated recommendations for authentic dining, art, and historical sites that go beyond the typical tourist path. This essential companion is perfect for adventurous travelers looking to experience the true essence and secret spots of the metropolis.",VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSMEX-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSMEX-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258638288.jpg?v=1782258942,1,191-VHSMEX-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258638288.jpg?v=1782258942,lb,,,active
bone-collector,Bone Collector,This special edition thriller follows a forensic expert and a rookie officer as they track a serial killer through a gritty urban landscape. The set features enhanced picture quality and exclusive bonus content including behind-the-scenes documentaries and director commentary. It is a must-have for fans of suspenseful crime dramas looking for a high-definition home cinema experience.,VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSBON-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSBON-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258505199.jpg?v=1782258941,1,191-VHSBON-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258505199.jpg?v=1782258941,lb,,,active
strangers,Strangers,This atmospheric indie adventure blends minimalist aesthetics with deep psychological themes to create a compelling narrative experience. Players explore surreal landscapes and engage in poignant dialogue that explores the complexity of human connections and isolation. It is a must-have for fans of artistic storytelling who appreciate unique visual styles and thought-provoking gameplay.,VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSST3-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSST3-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258598610.jpg?v=1782258938,1,191-VHSST3-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258598610.jpg?v=1782258938,lb,,,active
shipwrecked,Shipwrecked,"This classic live-action survival film follows a young cabin boy stranded on a tropical island while evading a ruthless band of pirates. Filled with high-seas adventure and stunning scenery, it makes an excellent addition to any family movie collection for those who enjoy legendary swashbuckling tales. The story captures a timeless sense of wonder and bravery that viewers of all ages will appreciate.",VHS,,"","Kids & Family, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSSHI-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSSHI-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258487433.jpg?v=1782258937,1,191-VHSSHI-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258487433.jpg?v=1782258937,lb,,,active
conspiracy,Conspiracy,"This vintage thriller collection invites viewers into a world of political intrigue and suspenseful narratives captured on high-quality physical media. The set features a curated selection of gripping cinematic experiences, making it a must-have addition for fans of mystery and classic home video entertainment.",VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSCNS-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSCNS-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258567938.jpg?v=1782258935,1,191-VHSCNS-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258567938.jpg?v=1782258935,lb,,,active
rat-race,Rat Race,Experience high-speed mechanical thrills with this tabletop obstacle course that challenges precision and timing through a variety of levers and buttons. This interactive game offers endless entertainment for all ages as players navigate a small metal sphere through a complex series of rotating platforms and physics-based hurdles. The vibrant design and tactile controls make it an engaging centerpiece for family game nights or a nostalgic addition to any toy collection.,VHS,,"","Comedy, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSRAT-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSRAT-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258424494.jpg?v=1782258933,1,191-VHSRAT-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258424494.jpg?v=1782258933,lb,,,active
brass,Brass,"This vintage-style promotional piece features an ornate solid brass finish and classic typography that captures a nostalgic cinematic aesthetic. It serves as a sophisticated desktop accessory or paperweight, making it a perfect conversation starter for movie enthusiasts and collectors of media memorabilia. The durable construction and polished gold tone ensure it remains a distinctive decorative element in any home office or library.",VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSBRA-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSBRA-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258419222.jpg?v=1782258931,1,191-VHSBRA-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258419222.jpg?v=1782258931,lb,,,active
shooting-elizabeth,SHOOTING ELIZABETH,This vintage VHS tape captures the iconic 1980s workout program designed to help users achieve a lean and toned physique through a comprehensive aerobic routine. The instructional video features a high-energy mix of floor exercises and cardiovascular movements perfect for enthusiasts of classic home fitness media. It serves as both a nostalgic collector's item and a functional guide for those looking to spice up their exercise regimen with retro flair.,VHS,,"","Comedy, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSSHO-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSSHO-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258388341.jpg?v=1782258929,1,191-VHSSHO-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258388341.jpg?v=1782258929,lb,,,active
nothing-to-lose,Nothing to Lose,"This unique accessory serves as a bold statement piece with a minimalist aesthetic and high-quality craftsmanship. Its versatile design seamlessly transitions from day to night, offering a modern touch to any ensemble. Durable materials ensure long-lasting wear while the distinctive finish captures attention and showcases an individual sense of style.",VHS,,"","Comedy, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSNOT-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSNOT-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258248364.jpg?v=1782258404,1,191-VHSNOT-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258248364.jpg?v=1782258404,lb,,,active
talent-for-the-game,Talent for the Game,"This classic performance cap features a structured six-panel design and a moisture-wicking sweatband to ensure maximum comfort during high-intensity sports. The breathable side panels and adjustable closure provide a tailored fit that transitions effortlessly from the field to casual everyday wear. It is a versatile accessory built for athletes who demand both durability and a clean, athletic aesthetic.",VHS,,"","Comedy, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSTLN-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSTLN-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258191172.jpg?v=1782258402,1,191-VHSTLN-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258191172.jpg?v=1782258402,lb,,,active
midnight-strangers,Midnight Strangers,"Experience this provocative and intense cinematic journey in its complete, unrated format for the most authentic viewing experience. This physical release is essential for collectors of psychological thrillers who appreciate gritty atmosphere and raw, unfiltered storytelling. It offers a haunting exploration of human connection and suspense that lingers long after the credits roll.",VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSMID-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSMID-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258149374.jpg?v=1782258399,1,191-VHSMID-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258149374.jpg?v=1782258399,lb,,,active
dirty-little-secret,Dirty Little Secret,"This high-pigment eyeshadow palette features a curated selection of matte and shimmer shades designed for effortless blending and long-lasting wear. The compact, travel-friendly design makes it perfect for creating both subtle daytime looks and dramatic evening finishes. Its versatile formula ensures a smooth application with minimal fallout for a professional, polished appearance.",VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSDIR-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSDIR-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257875905.jpg?v=1782258398,1,191-VHSDIR-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257875905.jpg?v=1782258398,lb,,,active
almost-pregnant-a-bedtime-story,Almost Pregnant: A Bedtime Story,"This heartwarming picture book offers a gentle and imaginative exploration of a couple's journey toward starting a family. With its soothing narrative and whimsical illustrations, it serves as a comforting bedtime read for parents-to-be who are navigating the hopes and dreams of future parenthood. The story provides a relatable and touchingly optimistic perspective on the anticipation and love involved in waiting for a new arrival.",VHS,,"","Comedy, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSALM-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSALM-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258059176.jpg?v=1782258396,1,191-VHSALM-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258059176.jpg?v=1782258396,lb,,,active
concrete-cowboys,Concrete Cowboys,This premium coffee table book captures the rugged spirit of urban horseback riding through striking black and white photography and intimate storytelling. Its high-quality printing and minimalist aesthetic make it a sophisticated addition to any modern interior or photography collection. This evocative volume offers a unique glimpse into a hidden subculture that blends tradition with contemporary city life.,VHS,,"","Comedy, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSCOS-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSCOS-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258010691.jpg?v=1782258394,1,191-VHSCOS-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258010691.jpg?v=1782258394,lb,,,active
forrest-gump,Forrest Gump,"Capture a piece of cinematic history with this highly detailed collectible figure featuring the protagonist seated on his iconic park bench with a box of chocolates. The meticulously crafted outfit and expressive features make it a standout display piece for any film enthusiast or memorabilia collector. Lightweight yet durable, this figurine serves as a poignant reminder of one of the most heartwarming stories in modern cinema.",VHS,,"","Drama, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSFOR-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSFOR-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257914681.jpg?v=1782258392,1,191-VHSFOR-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257914681.jpg?v=1782258392,lb,,,active
streetkill,Streetkill,"Capture an edgy urban aesthetic with this high-quality graphic tee featuring a bold, screen-printed design and a comfortable relaxed fit. The durable heavyweight cotton fabric ensures long-lasting wear while making a distinct statement in any streetwear collection. This piece pairs effortlessly with denim or cargo pants for a modern, underground look.",VHS,,"","Drama, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSSTL-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSSTL-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257856966.jpg?v=1782258390,1,191-VHSSTL-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257856966.jpg?v=1782258390,lb,,,active
no-secrets,No Secrets,"This sophisticated fragrance features a delicate blend of floral and musk notes, creating an alluring and mysterious scent profile. Its versatile composition makes it ideal for both day and night wear, leaving a subtle yet memorable impression. This perfume is the perfect addition to any collection for those who appreciate a unique and captivating aroma.",VHS,,"","Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSNOS-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSNOS-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258223185.jpg?v=1782258388,1,191-VHSNOS-001A,false,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258223185.jpg?v=1782258388,lb,,,active
