title,creators,description,upc_isbn10,ean_isbn13,number_of_discs,ensemble,aspect_ratio,tags,notes,group,price,added,publisher,publish_date,length_of,copies,call_number,ddc,lcc,rating,review,review_created,status,began_date,completed_date
Legend,,"Set in a timeless mythical forest inhabited by fairies, goblins, unicorns and mortals, this fantastic story follows a mystical forest dweller, chosen by fate, to undertake a heroic quest. He must save the beautiful Princess Lili and defeat the demonic Lord of Darkness, or the world will be plunged into a never-ending ice age.",,,,,,"Blu-Ray, fantasy",,,0.00,,,,,1,92029178,,,,,,,,
Spawn,,"After being murdered by corrupt colleagues in a covert government agency, Al Simmons makes a pact with the devil to be resurrected to see his beloved wife Wanda. In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.",0760137185536,0760137185536,,,,"4K, action",,,0.00,,,,,1,91963642,,,,,,,,
Rope,,Two young men attempt to prove they committed the perfect murder by hosting a dinner party for the family of a classmate they just strangled to death.,0191329241080,0191329241080,,,,"4K, thriller",,,0.00,,,,,1,91898106,,,,,,,,
Super Mario Bros Movie,,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",0191329241516,0191329241516,,,,"4K, kids-family",,,0.00,,,,,1,91832570,,,,,,,,
One Battle After Another,,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",0883929838813,0883929838813,,,,"4K, drama",,,0.00,,,,,1,91767034,,,,,,,,
Oppenheimer,,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,0191329253120,0191329253120,,,,"4K, drama",,,0.00,,,,,1,91701498,,,,,,,,
Rear Window,,Temporary!!,,,,,,"4K, thriller",,,0.00,,,,,1,91635962,,,,,,,,
Civil War,,,,,,,,"4K, thriller",,,0.00,,,,,1,91570426,,,,,,,,
Jaws,,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled shark hunter embark on a desperate quest to kill the beast before it strikes again.",0191329134795,0191329134795,,,,"4K, horror",,,0.00,,,,,1,91504890,,,,,,,,
Lawrence of Arabia,,"During World War I, English officer Thomas Edward 'T.E.' Lawrence sets out to unite and lead the diverse, often warring, Arab tribes to fight the Turks.",043396646827,0043396646827,,,,"4K, drama",,,0.00,,,,,1,91439354,,,,,,,,
1917,,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",191329125670,0191329125670,,,,"4K, action",,,0.00,,,,,1,91373818,,,,,,,,
Cinderella,,,,,,,,"4K, kids-family",,,0.00,,,,,1,91308282,,,,,,,,
The Big Lebowski,,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",0191329072837,0191329072837,,,,"4K, comedy",,,0.00,,,,,1,91242746,,,,,,,,
Alien,,,,,,,,"4K, sci-fi",,,0.00,,,,,1,91177210,,,,,,,,
Heat,,Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.,0786936889246,0786936889246,,,,"4K, action",,,0.00,,,,,1,91111674,,,,,,,,
Inglorious Basterds,,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",191329106921,0191329106921,,,,"4K, action",,,0.00,,,,,1,91046138,,,,,,,,
Zodiac,,"Over the course of a decade, editors of the San Francisco Chronicle entice themselves in the murders of the Zodiac Killer. However, as time runs its course, interest in the case dwindles in the eyes of the professionals. The Killer stops interacting with the public. However, believing he has the answers, an amateur cartoonist from the initial sightings races against time to prevent what he believes is another murder.",0191329267462,0191329267462,,,,"4K, thriller",,,0.00,,,,,1,90947834,,,,,,,,
Weapons,,"Weapons presents a series of brutal, seemingly random youth-related killings over the course of a weekend in a typical small town in America, and tragically reveals how they are all interrelated.",,,,,,"4K, horror",,,0.00,,,,,1,90915066,,,,,,,,
Prometheus,,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",024543353324,0024543353324,,,,"4K, sci-fi",,,0.00,,,,,1,90849530,,,,,,,,
Sorcerer,,"Four men from different parts of the globe, all hiding from their pasts in the same remote South American town, agree to risk their lives transporting several cases of dynamite (which is so old that it is dripping unstable nitroglycerin) across dangerous jungle terrain.",715515314619,0715515314619,,,,"4K, thriller",,,0.00,,,,,1,90783994,,,,,,,,
Parasite,,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",0191329123386,0191329123386,,,,"Blu-Ray, thriller",,,0.00,,,,,1,90718458,,,,,,,,
A History of Violence,,An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,065935841418,0065935841418,,,,"Blu-Ray, action",,,0.00,,,,,1,19113466,,,,,,,,
Blow Out,,"While recording sound effects for a slasher flick, Jack Terry stumbles upon a real-life horror: a car careening off a bridge and into a river. Jack jumps into the water and fishes out Sally from the car, but the other passenger is already dead — a governor intending to run for president. As Jack does some investigating of his tapes, and starts a perilous romance with Sally, he enters a tangled web of conspiracy that might leave him dead.",715515080019,0715515080019,,,,"Blu-Ray, thriller",,,0.00,,,,,1,18916858,,,,,,,,
To Die For,,,,,,,,"Blu-Ray, drama",,,0.00,,,,,1,18818554,,,,,,,,
The Thin Blue Line,,,,,,,,"Blu-Ray, documentary",,,0.00,,,,,1,18621946,,,,,,,,
Streetwise,,,,,,,,"Blu-Ray, documentary",,,0.00,,,,,1,18392570,,,,,,,,
"Paris, Texas",,"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",715515052313,0715515052313,,,,"Blu-Ray, drama",,,0.00,,,,,1,18261498,,,,,,,,
No Country for Old Men,,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",031398134848,0031398134848,,,,"Blu-Ray, drama",,,0.00,,,,,1,18032122,,,,,,,,
The Last Waltz,,,,,,,,"Blu-Ray, musical",,,0.00,,,,,1,17704442,,,,,,,,
Altered States,,"A research scientist explores the boundaries and frontiers of human consciousness. Using sensory deprivation and hallucinogenic mixtures from Native American shamans, he explores these altered states of cognizance and finds that memory, time, and reality itself are states of mind.",715515321211,0715515321211,,,,"Blu-Ray, drama",,,0.00,,,,,1,17442298,,,,,,,,
Punch Drunk Love,,A socially awkward and volatile small business owner meets the love of his life after being threatened by a gang of scammers.,043396323582,0043396323582,,,,"Blu-Ray, drama",,,0.00,,,,,1,17245690,,,,,,,,
Eyes Wide Shut,,"After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",085391156871,0085391156871,,,,"Blu-Ray, drama",,,0.00,,,,,1,17016314,,,,,,,,
Amores Perros,,"A fatalistic car crash in Mexico city sets off a chain of events in the lives of three people: a supermodel, a young man wanting to run off with his sister-in-law, and a homeless man.",715515253413,0715515253413,,,,"Blu-Ray, drama",,,0.00,,,,,1,16852474,,,,,,,,
Anora,,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",5060952898570,5060952898570,,,,"4K, drama",,,0.00,,,,,1,16623098,,,,,,,,
Malcom X,,,,,,,,"4K, drama",,,0.00,,,,,1,16492026,,,,,,,,
Wall-E,,,,,,,,"4K, kids-family",,,0.00,,,,,1,16328186,,,,,,,,
Galaxy Quest,,"For four years, the courageous crew of the NSEA Protector — Commander Peter Quincy Taggart, Lieutenant Tawny Madison, and Doctor Lazarus — set off on a thrilling and often dangerous mission in space... until their series was cancelled! Now, twenty years later, aliens under attack have mistaken the Galaxy Quest television transmissions for ""historical documents"" and beam up the crew of has-been actors to save the universe. With no script, no director, and no clue, the actors must turn in the performances of their lives.",,,,,,"VHS, comedy",,,0.00,,,,,1,56477434,,,,,,,,
The Pickle,,"Harry Stone always dreamed of making ""The Great American Movie."" Instead, he made ""The Pickle"" - a teenage sci-fi flick about a flying cucumber. Harry just wanted to get out of debt; now everyone he's ever known, loved and neglected is standing in line for tickets.",,,,,,"VHS, comedy",,,0.00,,,,,1,55789306,,,,,,,,
Tall Tales & Legends: Annie Oakley,,,,,,,,"VHS, drama",,,0.00,,,,,1,20144890,,,,,,,,
Iron Will,,"When Will Stoneman's father dies, he is left alone to take care of his mother and their land. Needing money to maintain it, he decides to join a cross country dogsled race. This race will require days of racing for long hours, through harsh weather and terrain. This young man will need a lot of courage and a strong will to complete this race.",,,,,,"VHS, kids-family",,,0.00,,,,,1,20079354,,,,,,,,
The Great Santini,,"As he approaches manhood, Ben Meechum struggles to win the approval of his demanding alpha male father, an aggressively competitive, but frustrated marine pilot.",,,,,,"VHS, drama",,,0.00,,,,,1,20046586,,,,,,,,
The Kitchen Soto,,,,,,,,"VHS, drama",,,0.00,,,,,1,20013818,,,,,,,,
To Catch a King,,"Robert Wagner plays an American who owns a Lisbon nightclub and Teri Garr is a slightly dippy chanteuse who has stumbled across a Nazi plot to kidnap the Duke and Duchess of Windsor, living at the time (1942) in Portugal.",,,,,,"VHS, drama",,,0.00,,,,,1,19981050,,,,,,,,
Far From Heaven,,,,,,,,"VHS, drama",,,0.00,,,,,1,19948282,,,,,,,,
The Prince of Tides,,A troubled Southern man talks to his suicidal sister's psychiatrist about their family history and falls in love with her (and New York City) in the process.,,,,,,"VHS, drama",,,0.00,,,,,1,19915514,,,,,,,,
Gods and Monsters,,"It's 1957, and James Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",,,,,,"VHS, drama",,,0.00,,,,,1,19882746,,,,,,,,
Smokey Bites the Dust,,Follows the rivalry between a small-town Southern sheriff and a small-town delinquent who steals cars and then destroys them with the sheriff’s daughter by his side.,,,,,,"VHS, comedy",,,0.00,,,,,1,19849978,,,,,,,,
Isn't She Great,,An unsuccessful over-the-top actress becomes a successful over-the-top authoress in this biography of Jacqueline Susann.,,,,,,"VHS, comedy",,,0.00,,,,,1,19817210,,,,,,,,
The Survivors,,,,,,,,"VHS, comedy",,,0.00,,,,,1,19784442,,,,,,,,
Eat Drink Man Woman,,"Retired and widowed Chinese master chef Chu lives in modern day Taipei, with his three attractive daughters, all of whom are unattached. Soon, each daughter encounters a new man in their lives. When these new relationships blossom, stereotypes are broken and the living situation within the family changes.",,,,,,"VHS, comedy",,,0.00,,,,,1,19751674,,,,,,,,
God Said Ha!,,Julia Sweeney tells the viewers the monologue about the hard time in her life when her brother fought with cancer and she was also diagnosed with a rare form of cancer.,,,,,,"VHS, comedy",,,0.00,,,,,1,19718906,,,,,,,,
The Man Who Knew Too Little,,"An American gets a ticket for an audience participation game in London, then gets involved in a case of mistaken identity. As an international plot unravels around him, he thinks it's all part of the act.",,,,,,"VHS, comedy",,,0.00,,,,,1,19686138,,,,,,,,
Another Stakeout,,A pair of immature detectives are joined by a pesky assistant district attorney in staking out a lakeside home where an important Mafia trial witness is believed to be heading.,,,,,,"VHS, comedy",,,0.00,,,,,1,19653370,,,,,,,,
Oddball Hall,,Elderly jewel thieves on the run from the law pass themselves off as wizards to a village of bewildered Africans.,,,,,,"VHS, comedy",,,0.00,,,,,1,19587834,,,,,,,,
Me Myself I,,"Pamela Drury is unhappy, and alone. On her birthday she stumbles across a photo of Robert Dickson, and wonders what would've happened had she said yes to his proposal. A freak accident causes Pamela to live out the life she could've had, but is the grass on the other side always greener?",,,,,,"VHS, comedy",,,0.00,,,,,1,19522298,,,,,,,,
Legal Eagles,,"Assistant District Attorney Tom Logan is set for higher office, at least until he becomes involved with defence lawyer Laura Kelly and her unpredictable client Chelsea Deardon. It seems the least of Chelsea's crimes is the theft of a very valuable painting, but as the women persuade Logan to investigate further and to cut some official corners, a much more sinister scenario starts to emerge.",,,,,,"VHS, comedy",,,0.00,,,,,1,19489530,,,,,,,,
The Incredibly True Adventures of 2 Girls in Love,,,,,,,,"VHS, comedy",,,0.00,,,,,1,19456762,,,,,,,,
"Me, Myself and Irene",,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.",,,,,,"VHS, comedy",,,0.00,,,,,1,19423994,,,,,,,,
Quigley Down Under,,"American Matt Quigley answers Australian land baron Elliott Marston's ad for a sharpshooter to kill the dingoes on his property. But when Quigley finds out that Marston's real target is the aborigines, Quigley hits the road. Now, even American expatriate Crazy Cora can't keep Quigley safe in his cat-and-mouse game with the homicidal Marston.",,,,,,"VHS, action",,,0.00,,,,,1,96093178,,,,,,,,
Short Cuts,,"Many loosely connected characters cross paths in this film, based on the stories of Raymond Carver. Waitress Doreen Piggot accidentally runs into a boy with her car. Soon after walking away, the child lapses into a coma. While at the hospital, the boy's grandfather tells his son, Howard, about his past affairs. Meanwhile, a baker starts harassing the family when they fail to pick up the boy's birthday cake.",,,,,,"VHS, comedy",,,0.00,,,,,1,96060410,,,,,,,,
The Dunera Boys,,At the start of WWII the British Government decided to arrest all Germans in the UK no matter how long they had been there. Among those arrested were many Jewish refugees and many who were fully assimilated. This film records the story of a group who were sent to a POW camp in Australia aboard the Dunera.,,,,,,"VHS, drama",,,0.00,,,,,1,96027642,,,,,,,,
Smart Money,,,,,,,,"VHS, drama",,,0.00,,,,,1,95994874,,,,,,,,
The Heart of Me,,"Drama set in 1930s London with two sisters, Madeleine married to Rickie, and Dinah, who falls in love with him. Rickie and Dinah begin an affair which is to have repercussions throughout all their lives.",,,,,,"VHS, drama",,,0.00,,,,,1,95962106,,,,,,,,
Wish You Were Dead,,"Two bad women fight over one man in a back-stabbing, money-grabbing, insurance-hustling, double-dealing, two-timing caper.",,,,,,"VHS, comedy",,,0.00,,,,,1,95667194,,,,,,,,
Hope and Glory,,A middle-aged man recalls his childhood growing up in and around London during World War II.,,,,,,"VHS, drama",,,0.00,,,,,1,95634426,,,,,,,,
Mussolini and I,,,,,,,,"VHS, drama",,,0.00,,,,,1,95601658,,,,,,,,
We're Talkin' Serious Money,,"When a pair of misfits loses a New York mobster's money, they flee to Los Angeles, where a compromising video of powerful senators falls into their lap.",,,,,,"VHS, comedy",,,0.00,,,,,1,95568890,,,,,,,,
Easy Money,,,,,,,,"VHS, comedy",,,0.00,,,,,1,95536122,,,,,,,,
Year of the Comet,,An auctioneer's daughter and a rich buyer's emissary fall for each other while trying to keep a rare wine out of the hands of evil doers.,,,,,,"VHS, action",,,0.00,,,,,1,95470586,,,,,,,,
