Handle,Title,Year_Hint,Year_Source,TMDB_ID,Matched_Title,Matched_Year,IMDb_ID,Match_Score,Status
legend-bluray-rental-fantasy,Legend,1985,image_alt_text_paren,11976,Legend,1985,tt0089469,1.00,ok
spawn-4k-rental-action,Spawn,1997,image_alt_text_paren,10336,Spawn,1997,tt0120177,1.00,ok
rope-4k-rental-thriller,Rope,1948,image_alt_text_paren,1580,Rope,1948,tt0040746,1.00,ok
super-mario-bros-movie-4k-rental-kids-family,Super Mario Bros Movie,2023,image_alt_text_paren,502356,The Super Mario Bros. Movie,2023,tt6718170,0.96,ok
one-battle-after-another-4k-rental-drama,One Battle After Another,2025,image_alt_text_paren,1054867,One Battle After Another,2025,tt30144839,1.00,ok
oppenheimer-4k-rental-drama,Oppenheimer,2023,image_alt_text_paren,872585,Oppenheimer,2023,tt15398776,1.00,ok
rear-window-4k-rental-thriller,Rear Window,,none,567,Rear Window,1954,tt0047396,0.20,ok
civil-war-4k-rental-thriller,Civil War,,none,929590,Civil War,2024,tt17279496,0.20,ok
jaws-4k-rental-horror,Jaws,1975,image_alt_text_paren,578,Jaws,1975,tt0073195,1.00,ok
lawrence-of-arabia-4k-rental-drama,Lawrence of Arabia,1962,image_alt_text_paren,947,Lawrence of Arabia,1962,tt0056172,1.00,ok
1917-4k-rental-action,1917,2019,image_alt_text_paren,530915,1917,2019,tt8579674,0.80,ok
cinderella-4k-rental-kids-family,Cinderella,,none,11224,Cinderella,1950,tt0042332,0.20,ok
the-big-lebowski-4k-rental-comedy,The Big Lebowski,1998,image_alt_text_paren,115,The Big Lebowski,1998,tt0118715,1.00,ok
alien-4k-rental-sci-fi,Alien,,none,348,Alien,1979,tt0078748,0.20,ok
heat-4k-rental-action,Heat,1995,image_alt_text_paren,949,Heat,1995,tt0113277,1.00,ok
inglorious-basterds-4k-rental-action,Inglorious Basterds,2009,image_alt_text_paren,16869,Inglourious Basterds,2009,tt0361748,0.87,ok
zodiac-4k-rental-thriller,Zodiac,2007,image_alt_text_paren,1949,Zodiac,2007,tt0443706,0.73,ok
weapons-4k-rental-horror,Weapons,2007,image_alt_text_paren,15380,Weapons,2007,tt0497470,1.00,ok
prometheus-4k-rental-sci-fi,Prometheus,2012,image_alt_text_paren,70981,Prometheus,2012,tt1446714,1.00,ok
sorcerer-4k-rental-criterion-collection-thriller,Sorcerer,1977,image_alt_text_paren,38985,Sorcerer,1977,tt0076740,1.00,ok
