Handle,Title,Inventory,Calendar,Subscription,Resale,Membership,Active rentals,Upcoming rentals,Complete rentals
weapons-4k-rental-horror,Weapons,1,Inactive,Inactive,Inactive,Inactive,0,0,0
streetwise-bluray-rental-criterion-collection-documentary,Streetwise,0,Inactive,Inactive,Inactive,Inactive,0,0,0
the-kitchen-soto-vhs-rental-drama,The Kitchen Soto,1,Inactive,Inactive,Inactive,Inactive,0,0,0
civil-war-4k-rental-thriller,Civil War,1,Inactive,Inactive,Inactive,Inactive,0,0,0
prometheus-4k-rental-sci-fi,Prometheus,1,Inactive,Inactive,Inactive,Inactive,0,0,0
16-blocks,16 Blocks,1,Inactive,Inactive,Inactive,Inactive,0,0,0
1990-bronx-warrior-dvd-floor-sale-action,1990: Bronx Warrior,1,Inactive,Inactive,Inactive,Inactive,0,0,0
101-dalmatians-vhs-rental-kids-family,101 Dalmatians,1,Inactive,Inactive,Inactive,Inactive,0,0,0
12-monkeys-dvd,12 Monkeys,1,Inactive,Inactive,Inactive,Inactive,0,0,0
parasite-bluray-rental-criterion-collection-thriller,Parasite,0,Inactive,Inactive,Inactive,Inactive,0,0,0
oppenheimer-4k-rental-drama,Oppenheimer,1,Inactive,Inactive,Inactive,Inactive,0,0,0
no-country-for-old-men-bluray-rental-criterion-collection-drama,No Country for Old Men,0,Inactive,Inactive,Inactive,Inactive,0,0,0
honey-i-blew-up-the-kid-copy,101 Dalmations,1,Inactive,Inactive,Inactive,Inactive,0,0,0
amores-perros-bluray-rental-criterion-collection-drama,Amores Perros,0,Inactive,Inactive,Inactive,Inactive,0,0,0
the-prince-of-tides-vhs-rental-drama,The Prince of Tides,1,Inactive,Inactive,Inactive,Inactive,0,0,0
the-american-mall-dvd-floor-sale-comedy,The American Mall,1,Inactive,Inactive,Inactive,Inactive,0,0,0
cafe-lumiere-dvd-floor-sale-foreign,Café Lumiere,1,Inactive,Inactive,Inactive,Inactive,0,0,0
wall-e-4k-rental-criterion-collection-kids-family,Wall-E,0,Inactive,Inactive,Inactive,Inactive,0,0,0
super-mario-bros-movie-4k-rental-kids-family,Super Mario Bros Movie,1,Inactive,Inactive,Inactive,Inactive,0,0,0
one-battle-after-another-4k-rental-drama,One Battle After Another,1,Inactive,Inactive,Inactive,Inactive,0,0,0
anora-4k-rental-criterion-collection-drama,Anora,0,Inactive,Inactive,Inactive,Inactive,0,0,0
eddington-bluray-rental-drama,Eddington,1,Inactive,Inactive,Inactive,Inactive,0,0,0
007-tomorrow-never-dies-vhs-rental-action,007: Tomorrow Never Dies,1,Inactive,Inactive,Inactive,Active,0,0,0
1917-4k-rental-action,1917,1,Inactive,Inactive,Inactive,Inactive,0,0,0
fatal-attraction-vhs-rental-documentary,Fatal Attraction,1,Inactive,Inactive,Inactive,Active,0,0,0
13-assassins,13 Assassins,1,Inactive,Inactive,Inactive,Inactive,0,0,0
horror-theater-dvd-floor-sale-foreign,Horror Theater,1,Inactive,Inactive,Inactive,Inactive,0,0,0
tam-lin-dvd-floor-sale-horror,Tam Lin,1,Inactive,Inactive,Inactive,Inactive,0,0,0
clean-dvd-floor-sale-foreign,Clean,1,Inactive,Inactive,Inactive,Inactive,0,0,0
blow-out-bluray-rental-criterion-collection-thriller,Blow Out,0,Inactive,Inactive,Inactive,Inactive,0,0,0
to-catch-a-king-vhs-rental-drama,To Catch a King,1,Inactive,Inactive,Inactive,Inactive,0,0,0
heat-4k-rental-action,Heat,1,Inactive,Inactive,Inactive,Inactive,0,0,0
audition-dvd-floor-sale-foreign,Audition,1,Inactive,Inactive,Inactive,Inactive,0,0,0
the-thin-blue-line-bluray-rental-criterion-collection-documentary,The Thin Blue Line,0,Inactive,Inactive,Inactive,Inactive,0,0,0
100-earthquake-dvd-rental-action,10.0 Earthquake,1,Inactive,Inactive,Inactive,Inactive,0,0,0
alien-4k-rental-sci-fi,Alien,1,Inactive,Inactive,Inactive,Inactive,0,0,0
first-do-no-harm-dvd-rental-drama,"""...First Do No Harm""",1,Inactive,Inactive,Inactive,Inactive,0,0,0
102-dalmatians-vhs-rental-kids-family,102 Dalmatians,1,Inactive,Inactive,Inactive,Inactive,0,0,0
gladiator-cop-dvd-floor-sale-action,Gladiator Cop,1,Inactive,Inactive,Inactive,Inactive,0,0,0
paris-texas-bluray-rental-criterion-collection-drama,"Paris, Texas",0,Inactive,Inactive,Inactive,Inactive,0,0,0
sorcerer-4k-rental-criterion-collection-thriller,Sorcerer,0,Inactive,Inactive,Inactive,Inactive,0,0,0
iron-will-vhs-rental-kids-family,Iron Will,1,Inactive,Inactive,Inactive,Inactive,0,0,0
the-great-santini-vhs-rental-drama,The Great Santini,1,Inactive,Inactive,Inactive,Inactive,0,0,0
smokey-bites-the-dust-vhs-rental-comedy,Smokey Bites the Dust,1,Inactive,Inactive,Inactive,Inactive,0,0,0
the-big-lebowski-4k-rental-comedy,The Big Lebowski,1,Inactive,Inactive,Inactive,Inactive,0,0,0
lawrence-of-arabia-4k-rental-drama,Lawrence of Arabia,1,Inactive,Inactive,Inactive,Inactive,0,0,0
15-classic-movies-dvd-rental-drama,15 Classic Movies,1,Inactive,Inactive,Inactive,Inactive,0,0,0
punch-drunk-love-bluray-rental-criterion-collection-drama,Punch Drunk Love,0,Inactive,Inactive,Inactive,Inactive,0,0,0
cinderella-4k-rental-kids-family,Cinderella,1,Inactive,Inactive,Inactive,Inactive,0,0,0
the-pickle-vhs-rental-comedy,The Pickle,1,Inactive,Inactive,Inactive,Inactive,0,0,0
far-from-heaven-vhs-rental-drama,Far From Heaven,1,Inactive,Inactive,Inactive,Inactive,0,0,0
legend-bluray-rental-fantasy,Legend,1,Inactive,Inactive,Inactive,Inactive,0,0,0
zodiac-4k-rental-thriller,Zodiac,1,Inactive,Inactive,Inactive,Inactive,0,0,0
gods-and-monsters-vhs-rental-drama,Gods and Monsters,1,Inactive,Inactive,Inactive,Inactive,0,0,0
jaws-4k-rental-horror,Jaws,1,Inactive,Inactive,Inactive,Inactive,0,0,0
spawn-4k-rental-action,Spawn,1,Inactive,Inactive,Inactive,Inactive,0,0,0
hercules-in-new-york-dvd-floor-sale-comedy,Hercules in New York,1,Inactive,Inactive,Inactive,Inactive,0,0,0
rope-4k-rental-thriller,Rope,1,Inactive,Inactive,Inactive,Inactive,0,0,0
inglorious-basterds-4k-rental-action,Inglorious Basterds,1,Inactive,Inactive,Inactive,Inactive,0,0,0
isnt-she-great-vhs-rental-comedy,Isn't She Great,1,Inactive,Inactive,Inactive,Inactive,0,0,0
