barcode,shopify_title,vendor,status,qty,product_id,in_libib,libib_id,libib_title,libib_collection,libib_status
191-BLR13A-50-001A,13 Assassins,Blu-Ray,ACTIVE,1,9266895159546,yes,lsvu0ft7b9,13 Assassins,Rental Library,
191-BLR16B-001A,16 Blocks,Blu-Ray,ACTIVE,1,9276609364218,yes,iz56m92lqm,16 Blocks,Rental Library,
191-BLR21J-50-001A,21 Jump Street,Blu-Ray,ACTIVE,1,9260364726522,yes,7f2gde6hd6,21 Jump Street,Rental Library,
191-UNK22J-50-001A,22 Jump Street,Blu-Ray,ACTIVE,1,9260364857594,yes,u34lwajgnz,22 Jump Street,Rental Library,
191-VHS3ST-50-001A,3 Strikes,VHS,ACTIVE,1,9249544405242,yes,iz5dos8lqm,3 Strikes,Rental Library,
191-DVD6TH-001A,6th Day,DVD,ACTIVE,1,9276611297530,yes,u34lq83gnz,6th Day,Rental Library,
191-BLRABL-50-001A,A Blade in the Dark (Vinegar Syndrome),Blu-Ray,ACTIVE,1,9260438487290,yes,obaqxcx0an,A Blade in the Dark (Vinegar Syndrome),Rental Library,
191-BLRAGU-50-001A,A Guy Thing,Blu-Ray,ACTIVE,1,9260364923130,yes,ayqfzrspsz,A Guy Thing,Rental Library,
191-NKNALE-50-001A,"A League Of Their Own Madonna, Tom Hanks, Geena Davis Vhs",VHS,ACTIVE,1,9249542078714,yes,ywhtv5hr71,"A League Of Their Own Madonna, Tom Hanks, Geena Davis Vhs",Rental Library,
191-UNIAMI-50-001A,A Million Ways to Die in the West,Blu-Ray,ACTIVE,1,9260364890362,yes,e90p36p5u2,A Million Ways to Die in the West,Rental Library,
191-DVDASE-001A,A Serious Man,DVD,ACTIVE,1,9276611690746,yes,dmnxz4qu84,A Serious Man,Rental Library,
191-BLRAST-50-001A,A Star Is Born,Blu-Ray,ACTIVE,1,9266894307578,yes,gak7ipzbt4,A Star Is Born,Rental Library,
191-BLRATI-001A,A Time to Kill / The Pelican Brief / The Client,Blu-Ray,ACTIVE,1,9276611035386,yes,iz5d8xslqm,A Time to Kill / The Pelican Brief / The Client,Rental Library,
191-DVDAVE-001A,A Very Long Engagement,DVD,ACTIVE,1,9276613525754,yes,e90pm105u2,A Very Long Engagement,Rental Library,
191-VHSMRC-50-001A,AMERICAN PIE SPECIAL EDITION,VHS,ACTIVE,0,9249543586042,yes,6umxygs8dt,AMERICAN PIE SPECIAL EDITION,Rental Library,
191-VHSACT-001A,Act,VHS,ACTIVE,1,9270291726586,yes,gak7woxbt4,Act,Rental Library,
191-VHSCTS-001A,Acts of Betrayal,VHS,ACTIVE,1,9276650422522,yes,dmnij6xu84,Acts of Betrayal,Rental Library,
191-DVDADA-50-001A,Adam's Rib,DVD,ACTIVE,1,9260438782202,yes,dmniq3zu84,Adam's Rib,Rental Library,
191-VHSADV-001A,Adventures of the Wilderness Family,VHS,ACTIVE,1,9276624961786,yes,2ogkpfptqt,Adventures of the Wilderness Family,Rental Library,
191-VHSAGE-50-001A,Age Isn't Everything,VHS,ACTIVE,1,9249544765690,yes,2ogkn0wtqt,Age Isn't Everything,Rental Library,
191-VHSAIR-001A,Airport 1975,VHS,ACTIVE,1,9276650455290,yes,qhfo9y8we4,Airport 1975,Rental Library,
191-VHSALF-001A,Alfie,VHS,ACTIVE,1,9270291333370,yes,bpyhi0hcho,Alfie,Rental Library,
191-VHSALL-50-001A,All I Want,VHS,ACTIVE,1,9249544929530,yes,qhfo613we4,All I Want,Rental Library,
191-VHSALM-001A,Almost Pregnant: A Bedtime Story,VHS,ACTIVE,1,9276651897082,no,,,,
191-BLRAMA-001A,Amazing Spider-Man 2,Blu-Ray,ACTIVE,1,9276612706554,yes,8g3jy2wohq,Amazing Spider-Man 2,Rental Library,
191-BLRAMB-50-001A,Ambulance (Collector's Edition),Blu-Ray,ACTIVE,0,9260447465722,yes,bpyhlntcho,Ambulance (Collector's Edition),Rental Library,
191-BLRAME-001A,American Made,4K,ACTIVE,1,9276613591290,yes,56dn3zrv9x,American Made,Rental Library,
191-VHSAMR-50-001A,American Splendor,VHS,ACTIVE,1,9249544601850,yes,56dna81v9x,American Splendor,Rental Library,
191-BLRAMI-001A,Amityville Horror,Blu-Ray,ACTIVE,0,9276609921274,yes,4jlvf38kbx,Amityville Horror,Rental Library,
191-VHSAMY-50-001A,Amy's O,VHS,ACTIVE,0,9249542996218,yes,4jlveq3kbx,Amy's O,Rental Library,
191-VHSNFF-001A,An Affair to Remember,VHS,ACTIVE,1,9276650160378,yes,ri19vnuxoz,An Affair to Remember,Rental Library,
191-VHSNFR-50-001A,An African Dream,VHS,ACTIVE,1,9249543848186,yes,0cpwjm8dcu,An African Dream,Rental Library,
191-VHSNMR-50-001A,An American Summer [vhs],VHS,ACTIVE,1,9249543815418,no,,,,
191-VHSANA-50-001A,An Angel at My Table,VHS,ACTIVE,1,9249543258362,yes,obaqxmd0an,An Angel at My Table,Rental Library,
191-VHSAND-50-001A,Andre,VHS,ACTIVE,1,9249544798458,yes,cnr17kammk,Andre,Rental Library,
191-UNKANG-50-001A,Angel Baby,VHS,ACTIVE,1,9249543913722,yes,kq725iqysl,Angel Baby,Rental Library,
191-VHSAN2-001A,Angels in the Outfield,VHS,ACTIVE,0,9276625027322,yes,0cpwx9sdcu,Angels in the Outfield,Rental Library,
191-DVDANN-50-001A,Anna and the King of Siam,DVD,ACTIVE,1,9260438192378,yes,t0by4ud93y,Anna and the King of Siam,Rental Library,
191-BLRANY-50-001A,Any Given Sunday (Directors Cut),Blu-Ray,ACTIVE,1,9258867458298,yes,prwesjjno7,Any Given Sunday (Directors Cut),Rental Library,
191-VHSAPT-50-001A,Apt Pupil,VHS,ACTIVE,1,9249543192826,yes,3kjs1rxarj,Apt Pupil,Rental Library,
191-TRIARM-50-001A,Armstrong,VHS,ACTIVE,1,9249542865146,yes,9dcrkgm6rp,Armstrong,Rental Library,
191-DVDARS-50-001A,Arsenic and Old Lace,DVD,ACTIVE,0,9260438094074,yes,nxi5fq741p,Arsenic and Old Lace,Rental Library,
191-BLRASS-50-001A,Assassination Nation,Blu-Ray,ACTIVE,1,9266895290618,yes,lsvu0e97b9,Assassination Nation,Rental Library,
191-UNKASS-50-001A,Assassination Tango,VHS,ACTIVE,1,9249544896762,yes,7f2gd58hd6,Assassination Tango,Rental Library,
191-UNKATF-50-001A,At First Sight,VHS,ACTIVE,1,9249543323898,yes,u34lwpqgnz,At First Sight,Rental Library,
