product_id,title,vendor,status,handle,sku,barcode,qty,tags
9266895159546,13 Assassins,Blu-Ray,ACTIVE,13-assassins,,191-BLR13A-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9276609364218,16 Blocks,Blu-Ray,ACTIVE,16-blocks,,191-BLR16B-001A,1,"Action, Blu-Ray, Formatted, issue:held_for_libib_cleanup, issue:needs_new_barcode, Rental"
9260364726522,21 Jump Street,Blu-Ray,ACTIVE,21-jump-street,,191-BLR21J-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9260364857594,22 Jump Street,Blu-Ray,ACTIVE,22-jump-street,,191-UNK22J-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9249544405242,3 Strikes,VHS,ACTIVE,3-strikes,,191-VHS3ST-50-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9276611297530,6th Day,DVD,ACTIVE,6th-day,,191-DVD6TH-001A,1,"DVD, Formatted, issue:needs_new_barcode, Rental, Sci-Fi"
9260438487290,A Blade in the Dark (Vinegar Syndrome),Blu-Ray,ACTIVE,a-blade-in-the-dark-vinegar-syndrome,,191-BLRABL-50-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9260364923130,A Guy Thing,Blu-Ray,ACTIVE,a-guy-thing,,191-BLRAGU-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9249542078714,"A League Of Their Own Madonna, Tom Hanks, Geena Davis Vhs",VHS,ACTIVE,a-league-of-their-own-madonna-tom-hanks-geena-davis-vhs,,191-NKNALE-50-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9260364890362,A Million Ways to Die in the West,Blu-Ray,ACTIVE,a-million-ways-to-die-in-the-west,,191-UNIAMI-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9276611690746,A Serious Man,DVD,ACTIVE,a-serious-man,,191-DVDASE-001A,1,"Comedy, DVD, Formatted, issue:held_for_libib_cleanup, issue:needs_new_barcode, Rental"
9266894307578,A Star Is Born,Blu-Ray,ACTIVE,a-star-is-born,,191-BLRAST-50-001A,1,"Blu-Ray, Drama, Formatted, issue:needs_new_barcode, Rental"
9276611035386,A Time to Kill / The Pelican Brief / The Client,Blu-Ray,ACTIVE,a-time-to-kill-the-pelican-brief-the-client,,191-BLRATI-001A,1,"Blu-Ray, Drama, Formatted, issue:needs_new_barcode, Rental"
9276613525754,A Very Long Engagement,DVD,ACTIVE,a-very-long-engagement,,191-DVDAVE-001A,1,"DVD, Foreign, Formatted, issue:needs_new_barcode, Rental"
9249543586042,AMERICAN PIE SPECIAL EDITION,VHS,ACTIVE,american-pie-special-edition,,191-VHSMRC-50-001A,0,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9270291726586,Act,VHS,ACTIVE,act,,191-VHSACT-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9276650422522,Acts of Betrayal,VHS,ACTIVE,acts-of-betrayal,,191-VHSCTS-001A,1,"Action, Formatted, issue:needs_new_barcode, Rental, VHS"
9260438782202,Adam's Rib,DVD,ACTIVE,adams-rib,,191-DVDADA-50-001A,1,"Comedy, DVD, Formatted, issue:needs_new_barcode, Rental"
9276624961786,Adventures of the Wilderness Family,VHS,ACTIVE,adventures-of-the-wilderness-family,,191-VHSADV-001A,1,"Formatted, issue:needs_new_barcode, Kids & Family, Rental, VHS"
9249544765690,Age Isn't Everything,VHS,ACTIVE,age-isnt-everything,,191-VHSAGE-50-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9276650455290,Airport 1975,VHS,ACTIVE,airport-1975,,191-VHSAIR-001A,1,"Action, Formatted, issue:needs_new_barcode, Rental, VHS"
9270291333370,Alfie,VHS,ACTIVE,alfie,,191-VHSALF-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9249544929530,All I Want,VHS,ACTIVE,all-i-want,,191-VHSALL-50-001A,1,"Drama, Formatted, issue:needs_new_barcode, Rental, VHS"
9276651897082,Almost Pregnant: A Bedtime Story,VHS,ACTIVE,almost-pregnant-a-bedtime-story,,191-VHSALM-001A,1,"Comedy, Formatted, Rental, VHS"
9276612706554,Amazing Spider-Man 2,Blu-Ray,ACTIVE,amazing-spider-man-2,,191-BLRAMA-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9260447465722,Ambulance (Collector's Edition),Blu-Ray,ACTIVE,ambulance-collectors-edition,,191-BLRAMB-50-001A,0,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9276613591290,American Made,4K,ACTIVE,american-made,,191-BLRAME-001A,1,"4K, Formatted, issue:needs_new_barcode, Rental, Thriller"
9249544601850,American Splendor,VHS,ACTIVE,american-splendor,,191-VHSAMR-50-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9276609921274,Amityville Horror,Blu-Ray,ACTIVE,amityville-horror,,191-BLRAMI-001A,0,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9249542996218,Amy's O,VHS,ACTIVE,amys-o,,191-VHSAMY-50-001A,0,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9276650160378,An Affair to Remember,VHS,ACTIVE,an-affair-to-remember,,191-VHSNFF-001A,1,"Drama, Formatted, issue:needs_new_barcode, Rental, VHS"
9249543848186,An African Dream,VHS,ACTIVE,an-african-dream,,191-VHSNFR-50-001A,1,"Drama, Formatted, issue:needs_new_barcode, Rental, VHS"
9249543815418,An American Summer [vhs],VHS,ACTIVE,an-american-summer-vhs,,191-VHSNMR-50-001A,1,"Drama, Formatted, Rental, VHS"
9249543258362,An Angel at My Table,VHS,ACTIVE,an-angel-at-my-table,,191-VHSANA-50-001A,1,"Drama, Formatted, issue:needs_new_barcode, Rental, VHS"
9249544798458,Andre,VHS,ACTIVE,andre,,191-VHSAND-50-001A,1,"Formatted, issue:needs_new_barcode, Kids & Family, Rental, VHS"
9249543913722,Angel Baby,VHS,ACTIVE,angel-baby,,191-UNKANG-50-001A,1,"Formatted, issue:needs_new_barcode, Rental, Thriller, VHS"
9276625027322,Angels in the Outfield,VHS,ACTIVE,angels-in-the-outfield,,191-VHSAN2-001A,0,"Formatted, issue:needs_new_barcode, Kids & Family, Rental, VHS"
9260438192378,Anna and the King of Siam,DVD,ACTIVE,anna-and-the-king-of-siam,,191-DVDANN-50-001A,1,"Comedy, DVD, Formatted, issue:needs_new_barcode, Rental"
9258867458298,Any Given Sunday (Directors Cut),Blu-Ray,ACTIVE,any-given-sunday-directors-cut,,191-BLRANY-50-001A,1,"Blu-Ray, Drama, Formatted, issue:needs_new_barcode, Rental"
9249543192826,Apt Pupil,VHS,ACTIVE,apt-pupil,,191-VHSAPT-50-001A,1,"Formatted, issue:needs_new_barcode, Rental, Thriller, VHS"
9249542865146,Armstrong,VHS,ACTIVE,armstrong,,191-TRIARM-50-001A,1,"Action, Formatted, issue:needs_new_barcode, Rental, VHS"
9260438094074,Arsenic and Old Lace,DVD,ACTIVE,arsenic-and-old-lace,,191-DVDARS-50-001A,0,"Comedy, DVD, Formatted, issue:needs_new_barcode, Rental"
9266895290618,Assassination Nation,Blu-Ray,ACTIVE,assassination-nation,,191-BLRASS-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9249544896762,Assassination Tango,VHS,ACTIVE,assassination-tango,,191-UNKASS-50-001A,1,"Formatted, issue:needs_new_barcode, Rental, Thriller, VHS"
9249543323898,At First Sight,VHS,ACTIVE,at-first-sight,,191-UNKATF-50-001A,1,"Drama, Formatted, issue:needs_new_barcode, Rental, VHS"
9249544732922,Avalanche,VHS,ACTIVE,avalanche,,191-VHSAVA-50-001A,1,"Formatted, issue:needs_new_barcode, Rental, Supercycle product, Thriller, VHS"
9270291923194,BAD BEHAVIOR,VHS,ACTIVE,bad-behavior,,191-VHSBAD-001A,1,"Comedy, Formatted, issue:needs_new_barcode, Rental, VHS"
9260430033146,BLOODSUCKING FREAKS (Vinegar Syndrome),Blu-Ray,ACTIVE,bloodsucking-freaks-vinegar-syndrome,,191-BLRBLO-50-001A,1,"Blu-Ray, Formatted, Horror, issue:needs_new_barcode, Rental"
9276625060090,Babe: Pig in the City,VHS,ACTIVE,babe-pig-in-the-city,,191-VHSBBP-001A,1,"Formatted, issue:needs_new_barcode, Kids & Family, Rental, VHS"
9266894242042,Babylon,Blu-Ray,ACTIVE,babylon,,191-BLRBAB-50-001A,0,"Blu-Ray, Drama, Formatted, issue:needs_new_barcode, Rental"
9266894766330,Bad Boys for Life,Blu-Ray,ACTIVE,bad-boys-for-life,,191-BLRBAD-50-001A,1,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9267012829434,Basic Instinct 2 Collector's Edition,Blu-Ray,ACTIVE,basic-instinct-2-collectors-edition,,191-BLRBAS-50-001A,1,"Blu-Ray, Formatted, issue:needs_new_barcode, Rental, Thriller"
9270291857658,Basil,VHS,ACTIVE,basil,,191-VHSBAS-001A,1,"Drama, Formatted, issue:needs_new_barcode, Rental, VHS"
9266967412986,Becky,Blu-Ray,ACTIVE,becky,,191-BLRBEC-50-001A,0,"Action, Blu-Ray, Formatted, issue:needs_new_barcode, Rental"
9258984538362,Beerfest,Blu-Ray,ACTIVE,beerfest,,191-BLRBEE-50-001A,1,"Blu-Ray, Comedy, Formatted, issue:needs_new_barcode, Rental"
9249542701306,Beethoven,VHS,ACTIVE,beethoven,,191-VHSBEE-50-001A,1,"Formatted, issue:needs_new_barcode, Kids & Family, Rental, VHS"
9266894504186,Beetlejuice,Blu-Ray,ACTIVE,beetlejuice,,191-BLRBTL-50-001A,1,"Blu-Ray, Formatted, issue:needs_new_barcode, Kids & Family, Rental"
