barcode,n_variants,n_products,product_id,title,vendor,status,qty,tags
00112378,2,2,9369188237562,Century,VHS,ACTIVE,1,"Drama, Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Rental, VHS"
00112378,2,2,9404421275898,Silk 2,VHS,ACTIVE,1,"Formatted, Rental, Thriller, VHS"
00177914,2,2,9369188303098,Reversal of Fortune,VHS,ACTIVE,1,"Drama, Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Rental, VHS"
00177914,2,2,9404421341434,All About the Benjamins,VHS,ACTIVE,1,"Action, Formatted, Rental, VHS"
00276218,2,2,9369188401402,Circumstances Unknown,VHS,ACTIVE,1,"Formatted, Rental, Thriller, VHS"
00276218,2,2,9404421439738,Baywatch The Movie,VHS,ACTIVE,1,"Action, Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Rental, VHS"
00341754,2,2,9369188466938,Cutthroat Island,VHS,ACTIVE,1,"Action, Formatted, issue:duplicate_barcode, issue:needs_new_barcode, Rental, VHS"
00341754,2,2,9404421505274,Hang 'Em High,VHS,ACTIVE,1,"Action, Formatted, Rental, VHS"
17582074,2,2,9368060133626,Multiplicity,VHS,ACTIVE,1,"Comedy, Formatted, Rental, VHS"
17582074,2,2,9393510154490,Dances with Wolves,VHS,ACTIVE,1,"Drama, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
17614842,2,2,9368060166394,A Summer Place,VHS,ACTIVE,1,"Drama, Formatted, Rental, VHS"
17614842,2,2,9393510187258,Reign of Fire,VHS,ACTIVE,1,"Action, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
19075066,2,2,9304704385274,Jump off a Building,VHS,ACTIVE,1,"Documentary, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
19075066,2,2,9331568902394,Nim's Island,DVD,ACTIVE,1,"DVD, Formatted, Kids & Family, Rental"
191-UNKRTH-001A,2,2,9270291300602,Earth Girls Are Easy,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, Issue_No_Price, VHS"
191-UNKRTH-001A,2,2,9275363066106,Earth Girls Are Easy (Sale),VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
19107834,2,2,9304704418042,The Producers,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
19107834,2,2,9331568935162,The Seeker,DVD,ACTIVE,1,"DVD, Formatted, Kids & Family, Rental"
19140602,2,2,9304704450810,Contact,VHS,ACTIVE,1,"Floor Sale, Formatted, Sci-Fi, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
19140602,2,2,9331568967930,Home Alone 2: Lost in New York,DVD,ACTIVE,1,"DVD, Formatted, Kids & Family, Rental"
19173370,2,2,9304704483578,The Warning,VHS,ACTIVE,1,"Floor Sale, Formatted, Thriller, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
19173370,2,2,9331569000698,Catch That Kid,DVD,ACTIVE,1,"DVD, Formatted, Kids & Family, Rental"
19468282,2,2,9304704581882,The Fourth Protocol,VHS,ACTIVE,1,"Floor Sale, Formatted, Thriller, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
19468282,2,2,9331569164538,Alvin and the Chipmunks: Chip Wrecked,DVD,ACTIVE,1,"DVD, Formatted, Kids & Family, Rental"
19599354,2,2,9304704680186,Tactical Assault,VHS,ACTIVE,1,"Action, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
19599354,2,2,9331569262842,Hamburger Hill,DVD,ACTIVE,1,"Action, DVD, Formatted, Rental"
19632122,2,2,9304704712954,Switch,VHS,ACTIVE,1,"Comedy, Floor Sale, Formatted, VHS, issue:duplicate_barcode, issue:needs_new_barcode"
19632122,2,2,9331569295610,The Outsider,DVD,ACTIVE,1,"Action, DVD, Formatted, Rental"
