Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
speed-racer-bluray,Speed Racer,"<p>Speed Racer is a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, Speed must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities.</p>",Little Movie Store,Media > Videos,"","CircaOS Import, Kids & Family, Rental, TMDB Filled",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRSPE-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781285687045_0f510658-74b2-4331-a95b-51df8ab5f4ae.jpg?v=1784138435,1,191-BLRSPE-50-001A,false,,,,,,,kids-family,blu-ray,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781285687045_0f510658-74b2-4331-a95b-51df8ab5f4ae.jpg?v=1784138435,lb,,,active
hey-arnold-the-movie,Hey Arnold! The Movie,<p>Arnold and his friends must recover a stolen document in order to prevent the neighborhood from being bulldozed.</p>,Little Movie Store,Media > Videos,"","CircaOS Import, Kids & Family, TMDB Filled",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,191-NICHEY-N-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1779986144365_e78e72f6-02a6-4ac3-8bb3-e88f884ebefa.jpg?v=1784138663,1,"",false,,,,,,,kids-family,vhs,,,,,,,,,,,lb,,,active
out-cold,Out Cold,"<p>Rick Rambis and his friends are having the time of their lives on Bull Mountain—until the legendary Papa Muntz' son decides to sell the mountain to a sleazy land developer, have the staff fired and turn Bull Mountain into 'Yuppieville'.</p>",Little Movie Store,Media > Videos,"","CircaOS Import, Comedy, Floor Sale, TMDB Filled",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,191-VHSOUT-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780177376283_42cf318b-225e-4f8f-adea-ca9ed4e444fa.jpg?v=1784138661,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
open-season,OPEN SEASON,"<p>Boog, a domesticated 900lb. Grizzly bear finds himself stranded in the woods 3 days before Open Season. Forced to rely on Elliot, a fast-talking mule deer, the two form an unlikely friendship and must quickly rally other forest animals if they are to form a rag-tag army against the hunters.</p>",Little Movie Store,Media > Videos,"","CircaOS Import, Comedy, Rental, TMDB Filled",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,191-VHSOPE-G-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780176465245_848d0a13-abfd-4396-8cbb-5b22081889a0.jpg?v=1784138659,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
open-season,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781906282422_ffbdc667-96d5-402a-8833-e13cec7885cd.jpg?v=1784138659,2,191-VHSOPE-002A,,,,,,,,,,,,,,,,,,,,,,,
sour-grapes,Sour Grapes,"<p>Controversy erupts when an unassuming young man floods the American wine market with fake vintages valued in the millions, bamboozling the wine world elite, in this humorous and suspenseful tale of an ingenious con on the eve of the 2008 stock market crash.</p>",Little Movie Store,Media > Videos,"","CircaOS Import, Comedy, Floor Sale, TMDB Filled",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,191-VHSSOU-G-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780176260021_4da0f161-8a13-41df-9160-c1268773de29.jpg?v=1784138657,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
touch-and-go,Touch and Go,"<p>A Chicago hockey star is accosted by a youth gang who attempt to rob him; after he chases them off he catches the youngest member and gives him a ride home, where he meets the boy's mother.</p>",Little Movie Store,Media > Videos,"","CircaOS Import, Comedy, TMDB Filled",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,191-VHSTOU-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780176679684_295a1bb5-7ec4-4d36-a6c7-ee05ebcc8ca7.jpg?v=1784138656,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
opportunity-knocks,Opportunity Knocks,<p>A modern remake of the classic movie where our main characters meets unforeseen troubles and bureaucracy when they build a new house. A hopeless and hilarious meet with the system.</p>,Little Movie Store,Media > Videos,"","CircaOS Import, Comedy, Floor Sale, TMDB Filled",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,191-VHSOPP-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780176995075_0e3e35c1-6659-4e25-9e22-5e6ab26eb9d8.jpg?v=1784138654,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
company-man,Company Man,<p>A contract killer becomes disenchanted with his line of work and spares the lives of his two latest would-be-victims. But the assassination company he works for has no intentions of letting him quit.</p>,Little Movie Store,Media > Videos,"","CircaOS Import, Floor Sale, TMDB Filled",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,191-VHSCOM-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780177117823.jpg?v=1784138934,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
threes-trouble,THREE'S TROUBLE,"<p><meta charset=""utf-8""><span>Barbara and Steward are happily married and have three kids. But one day Barbara decides that her children are old enough now and she can quit as housewife and start to study. Against the will of her husband she employs babysitter Eric while she attends university. Steward reacts increasingly nervous about the presence of another man in his family and brings their marriage into a crisis.</span></p>",Little Movie Store,Media > Videos,"","Floor Sale, Needs Review",true,Condition,F,,Serial Number,001A,,,,,191-VHSTHR-F-001A,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,191-VHSTHR-F-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780177285764_0b7f055f-0023-43e8-a1d8-e8cff4e3dde2.jpg?v=1784138933,1,"",false,,,,,,,comedy,vhs,,,,,,,,,,,lb,,,active
