Handle,Title,Serial (Variant Barcode),Method
avalanche,Avalanche,191-VHSAVA-50-001A,add serial
21-jump-street,21 Jump Street,191-BLR21J-50-001A,add serial
22-jump-street,22 Jump Street,191-UNK22J-50-001A,add serial
goodfellas,GoodFellas,80012538,add without serials (qty 1)
legend-of-zorro,Legend of Zorro,88302842,add without serials (qty 1)
200-cigarettes-vhs,200 Cigarettes,51782650,add without serials (qty 1)
101-dalmatians-vhs-rental-kids-family,101 Dalmatians,85405434,add without serials (qty 1)
igby-goes-down-vhs-rental-drama,Igby Goes Down,48058618,add without serials (qty 1)
permanent-midnight-vhs-rental-drama,Permanent Midnight,66850554,add without serials (qty 1)
lethal-weapon-vhs-rental-action,Lethal Weapon,71961082,add without serials (qty 1)
ides-of-march-bluray-rental-drama,Ides of March,92071674,add without serials (qty 1)
where-we-disappear-bluray-rental-action,Where We Disappear,92202746,add without serials (qty 1)
arizona-bluray-rental-comedy,Arizona,92268282,add without serials (qty 1)
digimon-adventure-reunion-bluray-rental-kids-family,Digimon Adventure Reunion,92301050,add without serials (qty 1)
frank-bluray-rental-comedy,Frank,92366586,add without serials (qty 1)
the-good-the-bad-the-ugly-bluray-rental-action,The Good The Bad The Ugly,92399354,add without serials (qty 1)
holiday-inn-bluray-rental-romantic-comedy,Holiday Inn,92464890,add without serials (qty 1)
moonwalkers-bluray-rental-comedy,Moonwalkers,92497658,add without serials (qty 1)
roger-corman-horror-collection-dvd-rental-horror,Roger Corman Horror Collection,92563194,add without serials (qty 1)
stoked-the-rise-and-fall-of-gator-dvd-rental-documentary,Stoked The Rise and Fall of Gator,92595962,add without serials (qty 1)
bmw-films-presents-the-hire-dvd-rental-action,BMW Films Presents The Hire,92661498,add without serials (qty 1)
new-york-new-york-dvd-rental-drama,"New York, New York",92727034,add without serials (qty 1)
voodoo-apocalypse-dvd-rental-comedy,Voodoo Apocalypse,92759802,add without serials (qty 1)
best-in-show-vhs-rental-comedy,Best in Show,99706618,add without serials (qty 1)
the-way-we-were-vhs-rental-drama,The Way We Were,99739386,add without serials (qty 1)
dazed-and-confused-vhs-rental-sci-fi,Dazed and Confused,99772154,add without serials (qty 1)
dune-vhs-rental-sci-fi,Dune,99804922,add without serials (qty 1)
my-man-godfrey-vhs-rental-comedy,My Man Godfrey,99837690,add without serials (qty 1)
pretty-woman-vhs-rental-romantic-comedy,Pretty Woman,99870458,add without serials (qty 1)
the-x-files-vhs-rental-sci-fi,The X Files,99903226,add without serials (qty 1)
the-boys-in-then-band-vhs-rental-drama,The Boys in then Band,99935994,add without serials (qty 1)
the-music-man-vhs-rental-musical,The Music Man,99968762,add without serials (qty 1)
the-red-balloon-vhs-rental-kids-family,The Red Balloon,00001530,add without serials (qty 1)
deconstructing-harry-vhs-rental-comedy,Deconstructing Harry,00034298,add without serials (qty 1)
white-christmas-vhs-rental-musical,White Christmas,00067066,add without serials (qty 1)
apocalypse-now-vhs-rental-drama,Apocalypse Now,00099834,add without serials (qty 1)
the-witches-of-salem-vhs-rental-drama,The Witches of Salem,00132602,add without serials (qty 1)
annie-hall-vhs-rental-romantic-comedy,Annie Hall,00165370,add without serials (qty 1)
dances-with-wolves-vhs-rental-drama,Dances with Wolves,00198138,add without serials (qty 1)
all-dogs-go-to-heaven-vhs-rental-kids-family,All Dogs go to Heaven,00230906,add without serials (qty 1)
the-secret-garden-vhs-rental-kids-family,The Secret Garden,00263674,add without serials (qty 1)
casablanca-vhs-rental-drama,Casablanca,00296442,add without serials (qty 1)
stardust-memories-dvd-rental-drama,Stardust Memories,17466874,add without serials (qty 1)
guys-and-dolls-vhs-rental-musical,Guys and Dolls,38945530,add without serials (qty 1)
how-the-grinch-stole-christmas-vhs-rental-holiday,How the Grinch Stole Christmas,38978298,add without serials (qty 1)
jesus-christ-superstar-vhs-rental-musical,Jesus Christ Superstar,39076602,add without serials (qty 1)
almost-famous-vhs-rental-comedy,Almost Famous,39109370,add without serials (qty 1)
two-women-vhs-rental-drama,Two Women,39338746,add without serials (qty 1)
taxi-driver-vhs-rental-drama,Taxi Driver,39404282,add without serials (qty 1)
youve-got-mail-vhs-rental-romatic-comedy,You've Got Mail,39437050,add without serials (qty 1)
a-beautiful-mind-vhs-rental-drama,A Beautiful Mind,39535354,add without serials (qty 1)
high-fidelity-vhs-rental-comedy,High Fidelity,39568122,add without serials (qty 1)
my-name-is-barbara-vhs-rental-musical,My Name is Barbara,39633658,add without serials (qty 1)
