Handle,Title,Batch,Reason
tornado,Tornado,resale,no genre set (default Title variant)
reindeer-games-vhs,Reindeer Games,resale,corrupted genre value (#VALUE!)
shacked-up-vhs,Shacked Up,resale,corrupted genre value (#VALUE!)
muppets-treasure-island,Muppets Treasure Island,resale,unrecognized genre value: 'kids-family'
all-creatures-great-and-small,All Creatures Great and Small,resale,no genre set (default Title variant)
goodfellas-1,GoodFellas,resale,no genre set (default Title variant)
the-appaloosa,The Appaloosa,resale,no genre set (default Title variant)
puss-in-boots-faerie-tale-theatre,Puss in Boots (Faerie Tale Theatre),resale,no genre set (default Title variant)
blind-trust-pouvoir-intime,"Blind Trust, Pouvoir Intime",resale,no genre set (default Title variant)
better-luck-tomorrow,Better Luck Tomorrow,resale,no genre set (default Title variant)
advice-from-a-caterpillar,Advice from a Caterpillar,resale,no genre set (default Title variant)
angel-of-death,Angel of Death,resale,no genre set (default Title variant)
tie-me-up-tie-me-down,Tie Me Up Tie Me Down,resale,no genre set (default Title variant)
almost-famous,Almost Famous,resale,no genre set (default Title variant)
blind-side,Blind Side,resale,no genre set (default Title variant)
antz,Antz,resale,no genre set (default Title variant)
star-80,Star 80,resale,no genre set (default Title variant)
meteor,Meteor,resale,no genre set (default Title variant)
the-odyssey-hallmark,The Odyssey (Hallmark),resale,no genre set (default Title variant)
papas-delicate-condition,Papa's Delicate Condition,resale,no genre set (default Title variant)
mind-lies,Mind Lies,resale,no genre set (default Title variant)
mccabe-mrs-miller,McCabe & Mrs. Miller,resale,no genre set (default Title variant)
the-aviator-1985,The Aviator (1985),resale,no genre set (default Title variant)
deja-vu,Deja Vu,resale,no genre set (default Title variant)
teaching-mrs-tingle,Teaching Mrs. Tingle,resale,no genre set (default Title variant)
the-rugrats-movie,The Rugrats Movie,resale,no genre set (default Title variant)
a-bugs-life,A Bug's Life,resale,no genre set (default Title variant)
journey-of-natty-gann,Journey of Natty Gann,resale,no genre set (default Title variant)
spy-kids-2-the-island-of-lost-dreams,Spy Kids 2: The Island of Lost Dreams,resale,no genre set (default Title variant)
confessions-of-a-police-captain,Confessions of a Police Captain,circaos,no genre-like tag found in Tags
the-monkeys-uncle,The Monkey's Uncle,circaos,no genre-like tag found in Tags
departed,Departed,circaos,no genre-like tag found in Tags
being-john-malkovich,Being John Malkovich,circaos,no genre-like tag found in Tags
cheaters,Cheaters,circaos,no genre-like tag found in Tags
come-blow-your-horn,Come Blow Your Horn,circaos,no genre-like tag found in Tags
look-who-s-talking,Look Who’s Talking,circaos,no genre-like tag found in Tags
white-oleander,White Oleander,circaos,no genre-like tag found in Tags
teachers,Teachers,circaos,no genre-like tag found in Tags
big-mommas-house,Big Momma's House,circaos,no genre-like tag found in Tags
zack-reba,Zack & Reba,circaos,no genre-like tag found in Tags
street-smart,Street Smart,circaos,no genre-like tag found in Tags
mr-brooks,Mr. Brooks,circaos,no genre-like tag found in Tags
conan-the-barbarian,Conan The Barbarian,circaos,no genre-like tag found in Tags
walking-tall,Walking Tall,circaos,no genre-like tag found in Tags
night-and-day,Night and Day,circaos,no genre-like tag found in Tags
the-black-room-vinegar-syndrome,The Black Room (Vinegar Syndrome),circaos,no genre-like tag found in Tags
cocktail,Cocktail,circaos,no genre-like tag found in Tags
matilda,Matilda,circaos,no genre-like tag found in Tags
threes-trouble,THREE'S TROUBLE,circaos,no genre-like tag found in Tags
company-man,Company Man,circaos,no genre-like tag found in Tags
