Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Status
reindeer-games-vhs,Reindeer Games,"<p>Just released from prison, all Rudy Duncan (Ben Affleck) wants is to start a new life with Ashley (Charlize Theron), the girl of his dreams, whom he met through pen pal letters in prison. But between them and happiness stands her crazy brother, Gabriel (Gary Sinise), and his motley crew of deadly criminals who think Rudy has some inside information about a casino where he once had a job -- a casino Gabriel and his short-fused posse plan to take down.</p>",VHS,Media > Videos,"Rental, VHS, Action, Issue, rental or sale?, Formatted",Genre,Action,shopify,1,deny,manual,0,89943290,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/images_b95df578-48c8-4f0b-a3ce-c63fb85f6bb7.jpg?v=1787783294,1,Reindeer Games poster,action,active
cheaters,Cheaters,"<p>These lightweight reading glasses feature a durable rectangular frame designed for long-lasting comfort and everyday clarity. The classic aesthetic and versatile magnification make them an essential accessory for reading or close-up work. They provide a sleek, professional look that easily transitions from the office to the home.</p>",DVD,Media > Videos,"Rental, DVD, Comedy, Issue, rental or sale?, Formatted",Genre,Comedy,shopify,1,deny,manual,0,191-DVDCHE-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249884999.jpg?v=1787785122,1,191-DVDCHE-001A,comedy,active
pontiac-moon,Pontiac Moon,<p>An absent-minded-professor father and his son take off in an old Pontiac to bond during a symbolic road trip through the Western U.S. This while his wife tries to overcome her neuroses to save the family.</p>,VHS,Media > Videos,"Floor Sale, VHS, Drama, Issue, No Price, Formatted",Genre,Drama,shopify,1,deny,manual,0.01,74868218,https://image.tmdb.org/t/p/w1280/9nqZXNL0cmCMjyb9nvV0Mf3OlS3.jpg,,Pontiac Moon (1994) poster,drama,draft
get-shorty,Get Shorty,"<p>Relive this classic nineties crime comedy featuring a star-studded cast in its original physical format. This vintage tape comes in its authentic clamshell case, making it a perfect addition for collectors of cinematic memorabilia. Experience the nostalgic charm of analog playback with this well-maintained genre-bending favorite.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Issue, No Price, Formatted",Genre,Comedy,shopify,1,deny,manual,0.01,191-VHSGET-50-001A,https://image.tmdb.org/t/p/w1280/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,,Get Shorty (1995) poster,comedy,draft
a-million-to-juan,A Million to Juan,"<p>This factory sealed vintage home video captures a heartwarming and comedic journey centered around the challenges of obtaining a green card. Featuring a standout lead performance, this 1994 release offers a nostalgic viewing experience for collectors of physical media and fans of classic family cinema. It remains preserved in its original studio packaging, making it an ideal addition for anyone looking to own a pristine piece of nineties entertainment history.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Issue, No Price, Formatted",Genre,Comedy,shopify,1,deny,manual,0.01,191-VHSAMI-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781905893980.jpg?v=1787785223,1,191-VHSAMI-001A,comedy,draft
oxford-blues-beta-floor-sale-drama,Oxford Blues,"<p>A young American hustler in Las Vegas spots a rich English Lady. Smitten, he pursues her to England, where his only chance of getting together with her is to enroll in Oxford and join the rowing team.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Issue, No Format, Formatted",Genre,Drama,shopify,1,deny,manual,7.00,53404922,https://image.tmdb.org/t/p/w1280/oRMVwWuQEbHm74aN2cr2G9o0o2U.jpg,,Oxford Blues (1984) poster,drama,draft
finding-dory,Finding Dory,"<p>Experience the heartwarming underwater journey of a forgetful blue tang as she searches for her long-lost parents across the ocean. This comprehensive home media set includes high-definition discs and a digital code, allowing you to enjoy the stunning animation and beloved characters on any device. It is a perfect addition to any family collection, offering hours of vibrant entertainment and meaningful lessons about friendship and perseverance.</p>",Blu-Ray,Media > Videos,"Rental, Blu-Ray, Kids & Family, Issue, rental or sale?, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,191-BLRFND-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781728588039.jpg?v=1787785409,1,191-BLRFND-50-001A,kids-family,active
finding-dory-002a,Finding Dory,"<p>Experience the heartwarming underwater journey of a forgetful blue tang as she searches for her long-lost parents across the ocean. This comprehensive home media set includes high-definition discs and a digital code, allowing you to enjoy the stunning animation and beloved characters on any device. It is a perfect addition to any family collection, offering hours of vibrant entertainment and meaningful lessons about friendship and perseverance.</p>",Blu-Ray,Media > Videos,"Rental, Blu-Ray, Kids & Family, Issue, rental or sale?, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,191-BLRFND-002A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782250633057.jpg?v=1787785409,1,191-BLRFND-002A,kids-family,active
a-prayer-for-the-dying-rental-thriller,A Prayer for the Dying,"<p>Martin, an I.R.A. hitman, is seen by a Catholic priest while carrying out a hit. He grows a bond with the priest and his niece. But his past and his former employers put all their lives in danger.</p>",VHS,Media > Videos,"Rental, VHS, Thriller, Issue, No Format, Formatted",Genre,Thriller,shopify,1,deny,manual,0,92552954,https://image.tmdb.org/t/p/w1280/fLkkVH9u75sciAzTUNZNwFp1smp.jpg,,A Prayer for the Dying (1987) poster,thriller,active
bull-durham-rental-romantic-comedy,Bull Durham,"<p>Veteran catcher Crash Davis is brought to the minor league Durham Bulls to help their up and coming pitching prospect, ""Nuke"" Laloosh. Their relationship gets off to a rocky start and is further complicated when baseball groupie Annie Savoy sets her sights on the two men.</p>",VHS,Media > Videos,"Rental, VHS, Romantic Comedy, Issue, No Format, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,0,92290810,https://image.tmdb.org/t/p/w1280/q3T9bO6p74NcTxWOhdUA6fASQ5T.jpg,,Bull Durham (1988) poster,romantic-comedy,active
dolores-claiborn-rental-drama,Dolores Claiborn,"<p>Dolores Claiborne was accused of killing her abusive husband twenty years ago, but the court's findings were inconclusive and she was allowed to walk free. Now she has been accused of killing her employer, Vera Donovan, and this time there is a witness who can place her at the scene of the crime. Things look bad for Dolores when her daughter Selena, a successful Manhattan magazine writer, returns to cover the story.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Issue, No Format, Formatted",Genre,Drama,shopify,1,deny,manual,0,91963130,https://image.tmdb.org/t/p/w1280/yqY5h9kI456xXRWv6u9t0Axn9CS.jpg,,Dolores Claiborn (1995) poster,drama,active
extreme-prejudice-rental-action,Extreme Prejudice,"<p>Lean, mean Texas Ranger Jack Benteen locks horns with a former friend, Cash Bailey, now a ruthless drug kingpin. Though they're on opposite sides of the law, they share a love interest in the sensual Sarita. When a crew of rogue soldiers descends upon the border town for an off-the-books mission, all roads lead to a bloody, to-the-death showdown, as loyalties shift and the lines between good and evil are blurred.</p>",VHS,Media > Videos,"Rental, VHS, Action, Issue, No Format, Formatted",Genre,Action,shopify,1,deny,manual,0,92159738,https://image.tmdb.org/t/p/w1280/fqN3duCLrjcsF8dfiP1XCCtlWZC.jpg,,Extreme Prejudice (1987) poster,action,active
falling-fire-rental-action,Falling Fire,"<p>In the not so distant future mankind has squandered their resources. A team of specialists is sent to the nearby asteroid field to retrieve an asteroid that will serve to replenish some of our natural resources. However, unbeknownst to the team, there is a killer on board determined to take control of the asteroid and destroy all mankind.</p>",VHS,Media > Videos,"Rental, VHS, Action, Issue, No Format, Formatted",Genre,Action,shopify,1,deny,manual,0,92421882,https://image.tmdb.org/t/p/w1280/mDKi7MxjdLnQ7bW4m7xIkbO65SM.jpg,,Falling Fire (1997) poster,action,active
hoodlum-rental-drama,Hoodlum,"<p>In 1934, the second most lucrative business in New York City was running 'the numbers'. When Madam Queen—the powerful woman who runs the scam in Harlem—is arrested, Ellsworth 'Bumpy' Johnson takes over the business and must resist an invasion from a merciless mobster.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Issue, No Format, Formatted",Genre,Drama,shopify,1,deny,manual,0,92061434,https://image.tmdb.org/t/p/w1280/hZrwqVXLyxxsNJHVc6bJKSUDkXA.jpg,,Hoodlum (1997) poster,drama,active
on-the-down-n-low-rental-drama,On the Down 'N Low,"<p>Most cops start at the bottom and work their way to the top, but in this heated urban crime thriller the officers sworn to protect and serve walk a dark path of corruption and destruction as they gradually succumb to their deepest criminal instincts. When two decorated police officers pound the pavement on a mission to take down the most vicious mobsters and drug dealers on the streets, their quest to purify the corrosive cesspool of a city they call home soon leads them into the upper-most ranks of the force.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Issue, No Format, Formatted",Genre,Drama,shopify,1,deny,manual,0,92487418,https://image.tmdb.org/t/p/w1280/rCoGG9838j9DnGvsJdCiWGWOfsF.jpg,,On the Down 'N Low (2003) poster,drama,active
one-tough-cop-rental-action,One Tough Cop,"<p>A detective tries to remain loyal to his partner, and his best friend - a mobster.</p>",VHS,Media > Videos,"Rental, VHS, Action, Issue, No Format, Formatted",Genre,Action,shopify,1,deny,manual,0,92454650,https://image.tmdb.org/t/p/w1280/qXKVKFApORbPIOM9gyUEBpTRjmT.jpg,,One Tough Cop (1998) poster,action,active
only-the-lonely-rental-romantic-comedy,Only the Lonely,"<p>Danny Muldoon, a Chicago policeman, still lives with his overbearing mother Rose. He meets and falls in love with Theresa Luna, whose father owns the local funeral parlour. Naturally, his mother objects to the relationship, and Danny and Theresa must either overcome her objections or give up the romance.</p>",VHS,Media > Videos,"Rental, VHS, Romantic Comedy, Issue, No Format, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,0,92323578,https://image.tmdb.org/t/p/w1280/rfHLYKddffTEfPbnXNrp8Oc4Owj.jpg,,Only the Lonely (1991) poster,romantic-comedy,active
playing-god-rental-thriller,Playing God,"<p>Stripped of his medical license after performing an operation while high on amphetamines, famed LA surgeon Dr Eugene Sands abandons his former life only to find himself crossing paths with Raymond Blossom, an infamous counterfeiter. Employed as a ""gun-shot doctor"" when Raymond's associates cannot risk visiting a hospital, Eugene is lured deep into the criminal world and becomes entangled with his boss's girlfriend.</p>",VHS,Media > Videos,"Rental, VHS, Thriller, Issue, No Format, Formatted",Genre,Thriller,shopify,1,deny,manual,0,92094202,https://image.tmdb.org/t/p/w1280/faYRZjtBMNygM7spt72yrs72hC8.jpg,,Playing God (1997) poster,thriller,active
raw-target-rental-action,Raw Target,"<p>This high-powered action flick follows kickboxing champion Johnny Rider, who quits the ring after accidentally killing an opponent but is forced to employ his skills again to avenge the death of his brother at the hands of crime boss Rod Sparks (Nicholas Hill). After infiltrating Rod's gang, Johnny is targeted himself by Bill Williams (Ron Hall), a cop seeking revenge for the death of his own brother -- the fighter killed by Johnny.</p>",VHS,Media > Videos,"Rental, VHS, Action, Issue, No Format, Formatted",Genre,Action,shopify,1,deny,manual,0,92356346,https://image.tmdb.org/t/p/w1280/b3GIRpmTfMv28RS1s104fDipIy2.jpg,,Raw Target (1995) poster,action,active
silence-like-glass-rental-drama,Silence like Glass,<p>True story of two diametrically opposed young women dealing with terminal illness.</p>,VHS,Media > Videos,"Rental, VHS, Drama, Issue, No Format, Formatted",Genre,Drama,shopify,1,deny,manual,0,92225274,https://image.tmdb.org/t/p/w1280/vkHmHTnYcw1E6FO39oVczmDpPNu.jpg,,Silence like Glass (1989) poster,drama,active
the-karate-kid-part-iii-rental-kids-family,The Karate Kid Part III,"<p>Despondent over the closing of his karate school, Cobra Kai teacher John Kreese joins a ruthless businessman and martial artist to get revenge on Daniel and Mr. Miyagi.</p>",VHS,Media > Videos,"Rental, VHS, Kids & Family, Issue, No Format, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,92028666,https://image.tmdb.org/t/p/w1280/lVZ3r0iDwGejlCvFEvXGzhQB9ds.jpg,,The Karate Kid Part III (1989) poster,kids-family,active
herbie-fully-loaded,Herbie: Fully Loaded,<p>Join everyone’s favorite adventurous racing car in this family-friendly comedy filled with high-speed stunts and heartwarming humor. This DVD edition features exclusive behind-the-scenes footage and deleted scenes that capture the magic of the beloved franchise's modern revival. It is the perfect addition to any movie collection for fans of classic automotive action and lighthearted storytelling.</p>,DVD,Media > Videos,"Rental, DVD, Kids & Family, Issue, No Format, rental or sale?, Formatted",Genre,Kids & Family,shopify,1,deny,manual,0,191-WALHER-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249953300.jpg?v=1787785111,1,191-WALHER-001A,kids-family,active
the-forgotten,The Forgotten,<p>This classic supernatural thriller follows a grieving mother who begins to doubt her own reality when those around her claim her son never existed. It offers a suspenseful blend of mystery and science fiction that keeps viewers guessing until the final revelation. This pre-owned physical copy is a perfect addition for collectors of early 2000s cinema or fans of psychological dramas.</p>,DVD,Media > Videos,"Rental, DVD, Thriller, Issue, No Format, rental or sale?, Formatted",Genre,Thriller,shopify,1,deny,manual,0,191-BL2THE-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249728988.jpg?v=1787785119,1,191-BL2THE-001A,thriller,active
the-monkeys-uncle,The Monkey's Uncle,<p>This classic live-action comedy follows a brilliant student and his chimpanzee companion as they attempt to power a man-made flying machine. The vintage home media release offers a nostalgic viewing experience for collectors of mid-century cinema and fans of lighthearted family entertainment. It serves as an essential addition for those looking to complete their library of quintessential studio adventures from this era.</p>,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Issue, No Format, rental or sale?, Formatted",Genre,Comedy,shopify,1,deny,manual,28.00,191-WLTTHE-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782254416692.jpg?v=1787784956,1,191-WLTTHE-001A,comedy,active
john-cnady-is-delirious-rental-comedy,Delirious,"<p>Delirious is a 1991 American romantic fantasy comedy film directed by Tom Mankiewicz, written by Lawrence J. Cohen and Fred Freeman, and starring John Candy, Mariel Hemingway, Emma Samms, Raymond Burr (in his last feature film role), David Rasche, Dylan Baker, and Charles Rocket. It tells the story of the lead soap opera writer who hits his head, finds himself in the setting of the soap opera he works on, and anything he types on his typewriter happens. The film used Prince's 1982 song as its title theme.</p>",VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,92651258,https://upload.wikimedia.org/wikipedia/en/a/af/Delirious_%281991_film%29.jpg?utm_source=en.wikipedia.org&utm_campaign=index&utm_content=thumbnail_unscaled&_=20210804103801,,Delirious (1991) poster,comedy,active
sugar-spice-vhs-floor-sale-comedy,Sugar & Spice,"<p>When Jack and Diane find themselves in an unexpected adult situation, the A-Squad comes to their rescue. In order to help their friend Diane, the A-Squad goes where no cheerleader has gone before: taking on a little after-school project known as bank robbery. But the A-Squad does things their way -- with sugar and spice -- forever changing their friendship, their future and the nation's notion of teen spirit.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Issue, No Price, Formatted",Genre,Comedy,shopify,1,deny,manual,0.01,69310458,https://image.tmdb.org/t/p/w1280/fN3xeuVsPaiEKYm65uHSO9JVmeb.jpg,,Sugar & Spice poster,comedy,draft
doomsday-rental-action,Doomsday,"<p>The lethal Reaper virus spreads throughout Britain—infecting millions and killing hundreds of thousands. Authorities brutally and successfully quarantine the country but, three decades later, the virus resurfaces in a major city. An elite group of specialists is urgently dispatched into the still-quarantined country to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare.</p>",VHS,Media > Videos,"Rental, VHS, Action, Issue, No Format, Formatted",Genre,Action,shopify,1,deny,manual,0,92126970,https://image.tmdb.org/t/p/w1280/cKUmTyXgmhv8cMRCY9RYTKcAeTn.jpg,,Doomsday poster,action,active
dragnet-rental-comedy,Dragnet,"<p>LAPD Sgt. Joe Friday -- the equally straight-laced nephew of the famous police sergeant of the same name -- is paired up with a young, freewheeling detective named Pep Streebeck. After investigating some strange robberies at the local zoo and the theft of a stockpile of pornographic magazines, they uncover cult activity in the heart of the city and are hot on the case to figure out who's behind it all.</p>",VHS,Media > Videos,"Rental, VHS, Comedy, Issue, No Format, Formatted",Genre,Comedy,shopify,1,deny,manual,0,91864826,https://image.tmdb.org/t/p/w1280/77H17YDeHoJCHebpfGF1rY3Dfof.jpg,,Dragnet poster,comedy,active
fire-down-below-rental-action,Fire Down Below,"<p>When an EPA representative is murdered in a small Appalachian community, EPA undercover agent Jack Taggart is sent in—posing as a handyman working with a Christian relief agency—to determine what happened.</p>",VHS,Media > Videos,"Rental, VHS, Action, Issue, No Format, Formatted",Genre,Action,shopify,1,deny,manual,0,92618490,https://image.tmdb.org/t/p/w1280/nflONy2WMEui7uCGCAtkD1r9vnl.jpg,,Fire Down Below poster,action,active
new-blood-rental-action,New Blood,"<p>Alan White is a desperate man; his daughter must have a heart transplant to live. He gets an unexpected visit from his adult son, Danny, a criminal who hasn't spoken to his family in years. Danny lost track of a man marked for death and is afraid to face his merciless crime boss. In Danny's plight, Alan sees a way to save both of his children, already prepared to die in order to donate his heart to his daughter, he will stand in for Danny's escaped hostage.</p>",VHS,Media > Videos,"Rental, VHS, Action, Issue, No Format, Formatted",Genre,Action,shopify,1,deny,manual,0,92520186,https://image.tmdb.org/t/p/w1280/yCpUp4TM0RBEUcD0Jj6DXV4GpcV.jpg,,New Blood poster,action,active
outlaw-justice-rental-action,Outlaw Justice,"<p>In the tradition of THE WILD BUNCH and THE MAGNIFICENT SEVEN comes this fast paced, action filled western with unforgettable performances by an all star cast: Kris Kristofferson, Willie Nelson, Travis Tritt and Waylon Jennings. All hell breaks loose in this riveting story when a group of former outlaws with bad attitudes teams up to catch a killer with murder and revenge on his mind. After Tobey(Jennings), a retired member of the group, is brutally gunned down by a former member and killer, Clinton Reese, our band of reformed gunslingers, Lee (Nelson, Tarence (Kristofferson), and Dalton (Tritt), sets out on Clinton's Trail. They are joined by Tobeys reluctatant young son Bryce (Willett).</p>",VHS,Media > Videos,"Rental, VHS, Action, Issue, No Format, Formatted",Genre,Action,shopify,1,deny,manual,0,92585722,https://image.tmdb.org/t/p/w1280/su0Nwn1zL2jm7EfLUmUPn0jvgqM.jpg,,Outlaw Justice poster,action,active
overboard-rental-romantic-comedy,Overboard,"<p>Heiress Joanna Stayton hires carpenter Dean Proffitt to build a closet on her yacht—and refuses to pay him for the project when it's done. But after Joanna accidentally falls overboard and loses her memory, Dean sees an opportunity to get even.</p>",VHS,Media > Videos,"Rental, VHS, Romantic Comedy, Issue, No Format, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,0,91897594,https://image.tmdb.org/t/p/w1280/v9MVFgUTvNRXmm2WWOzST6UXb5x.jpg,,Overboard poster,romantic-comedy,active
some-like-it-hot-rental-romantic-comedy,Some Like it Hot,"<p>In Prohibition-era Chicago, musicians Joe and Jerry witness a mob hit, and flee the state in an all-female band disguised as Josephine and Daphne, but further complications set in.</p>",VHS,Media > Videos,"Rental, VHS, Romantic Comedy, Issue, No Format, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,0,92258042,https://image.tmdb.org/t/p/w1280/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg,,Some Like it Hot poster,romantic-comedy,active
the-animal-rental-comedy,The Animal,"<p>When loser Marvin Mange is involved in a horrible car accident, he's brought back to life by a deranged scientist as half man and half animal. His newfound powers are awesome -- but their adverse side effects could take over his life. Now, Marvin must fight to control his crazy primal urges around his new squeeze, Rianna, and his rival, Sgt. Sisk, who both think he's one cool cat.</p>",VHS,Media > Videos,"Rental, VHS, Comedy, Issue, No Format, Formatted",Genre,Comedy,shopify,1,deny,manual,0,91930362,https://image.tmdb.org/t/p/w1280/oNxEXmKTZtECHs0bQbI6dQoXYMV.jpg,,The Animal poster,comedy,active
the-great-escape-rental-action,The Great Escape,"<p>The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocate them to a high-security 'escape-proof' camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.</p>",VHS,Media > Videos,"Rental, VHS, Action, Issue, No Format, Formatted",Genre,Action,shopify,1,deny,manual,0,92192506,https://image.tmdb.org/t/p/w1280/gBH4H8UMFxl139HaLz6lRuvsel8.jpg,,The Great Escape poster,action,active
