Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no image,007-the-world-is-not-enough-vhs-floor-sale-action,007: The World is Not Enough,<p></p>,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,71304442,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description; no image,100-kilos-vhs-floor-sale-thriller,100 Kilos,,VHS,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,81929978,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description; no image,12-monkeys-uhd-4k-ultra-hd-4k-floor-sale-sci-fi,12 Monkeys UHD [4K Ultra HD],,4K,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,3,deny,manual,45.00,,true,true,,,,,91419898,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
no description; no image,12-monkeys-vhs-floor-sale-sci-fi,12 Monkeys,,VHS,Media > Videos,,"Floor Sale, Formatted, Sci-Fi, VHS",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,50121978,,,,false,,,,,,,sci-fi,,,,,,,,,,,,lb,,,active
no description; no image,15-minutes-dvd,15 Minutes,,DVD,Media > Videos,,"Action, DVD, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,17246202,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no description; no image,187-vhs,187,,VHS,Media > Videos,,"Floor Sale, Formatted, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,21242874,,,,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no description; no image,1918-vhs-floor-sale-drama,1918,,VHS,Media > Videos,,"Drama, Floor Sale, Formatted, VHS",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,12.00,,true,true,,,,,98372090,,,,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
no description; no image,2010-the-year-we-make-contact-vhs,2010: The Year We Make Contact,,VHS,Media > Videos,,"Floor Sale, Formatted, Sci-Fi, VHS",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,49922810,,,,false,,,,,,,sci-fi,,,,,,,,,,,,lb,,,active
no description; no image,2012-bluray,2012,,Blu-Ray,Media > Videos,,"Action, Blu-Ray, Floor Sale, Formatted",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,43471610,,,,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no description; no image,21-grams-dvd-rental-drama,21 Grams,,DVD,Media > Videos,,"Drama, DVD, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,67871738,,,,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
