Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
young-sherlock-holmes-vhs-rental-drama,Young Sherlock Holmes,"<p>Sherlock Holmes and Dr. Watson meet as boys in an English Boarding school. Holmes is known for his deductive ability even as a youth, amazing his classmates with his abilities. When they discover a plot to murder a series of British business men by an Egyptian cult, they move to stop it.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,17263098,https://image.tmdb.org/t/p/w1280/aOxVYvQoAfNSns4hW5Ah55GBzgq.jpg,,Young Sherlock Holmes (1985) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
great-balls-of-fire-vhs-rental-drama,Great Balls of Fire!,"<p>The story of Jerry Lee Lewis, arguably the greatest and certainly one of the wildest musicians of the 1950s. His arrogance, remarkable talent, and unconventional lifestyle often brought him into conflict with others in the industry, and even earned him the scorn and condemnation of the public.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,17132026,https://image.tmdb.org/t/p/w1280/cb0zpDUnHBj8PxWQG5L96m3rxrk.jpg,,Great Balls of Fire! (1989) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
lovely-and-amazing-vhs-rental-drama,Lovely and Amazing,"<p>An intimate family portrait of four hapless but resilient women and the bittersweet lessons they learn in keeping up with the hectic demands of their individual neuroses. Each of the women seeks redemption in her own haphazard way, but whatever salvation they find is illusory and short-lived.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,17033722,https://image.tmdb.org/t/p/w1280/4HZ7Y7N4KHapO5ylOY8BePQYC5X.jpg,,Lovely and Amazing (2002) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
the-girl-in-blue-vhs-floor-sale-drama,The Girl in Blue,<p>A painting of a girl from another time comes to life for it's buyer in this costume comedy.</p>,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,02648570,https://image.tmdb.org/t/p/w1280/hpWDcgzB7iT6v4w8S4Q2sKUswlX.jpg,,The Girl in Blue (1940) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
the-hi-line-vhs-floor-sale-drama,The Hi-Line,"<p>A con man and a young woman travel across the country, first in search of a man he knows, and then in search of a woman she knows.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,02615802,https://image.tmdb.org/t/p/w1280/cWazRrXeuplDUC6NtngJR6UIyqB.jpg,,The Hi-Line (2000) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
angelas-ashes-vhs-floor-sale-drama,Angela's Ashes,"<p>An Irish Catholic family returns to 1930s Limerick after a child's death in America. The unemployed I.R.A. veteran father struggles with poverty, prejudice, and alcoholism as the family endures harsh slum conditions.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,02386426,https://image.tmdb.org/t/p/w1280/3Zzcys11nAPP14sKW9l97fIHhkK.jpg,,Angela's Ashes (1999) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
around-the-fire-vhs-floor-sale-drama,Around the Fire,"<p>Simon is an intelligent and privileged young man whose family expects him to become a Princeton graduate. Crying out for attention from his reserved and cool hearted family, Simon commits numerous petty crimes and is soon sent away to boarding school where he befriends a ""Deadhead,"" adopts the ""hippie"" lifestyle and dabbles in many drugs in his search for acceptance.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,10.00,02288122,https://image.tmdb.org/t/p/w1280/gn7LxcbCk5bvdtpHeXupLWGuIbD.jpg,,Around the Fire (1998) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
stacking-vhs-floor-sale-drama,Stacking,"<p>After her father is injured, a teenager and an alcoholic employee struggle to save their financially troubled farm in 1954 Montana.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,02255354,https://image.tmdb.org/t/p/w1280/kc9dMvHwioyDIF2XAmrF42RLXJp.jpg,,Stacking (1987) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
smooth-talk-vhs-floor-sale-drama,Smooth Talk,"<p>Connie, the fifteen-year-old black sheep of her family, finds her summertime idyll of beach trips, mall hangouts, and innocent flirtations shattered by an encounter with a mysterious stranger.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,12.00,02157050,https://image.tmdb.org/t/p/w1280/tPfGFKRXD0sVOGhwjxPHadTa8Y1.jpg,,Smooth Talk (1985) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
glory-vhs-floor-sale-drama,Glory,"<p>Robert Gould Shaw leads the US Civil War's first all-black volunteer company, fighting prejudices of both his own Union army and the Confederates.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,02124282,https://image.tmdb.org/t/p/w1280/pGDzBjZvzmSCIEduQBfESLMiwtp.jpg,,Glory (1989) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
roger-dodger-vhs-floor-sale-comedy,Roger Dodger,"<p>A smooth-talking ad executive attributes his remarkable success with women to his ability to manipulate their emotions from the moment he first meets them. When his teenage nephew drops in for a visit, he soon learns that his approach isn't as foolproof as he thought when he attempts to teach the boy how to pick up women.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,10.00,02058746,https://image.tmdb.org/t/p/w1280/cGfo8maMxoI1W9qA8KcYA7sw10s.jpg,,Roger Dodger (2002) poster,comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
grandview-usa-vhs-floor-sale-drama,"Grandview, U.S.A.","<p>Life in the small town of Grandview, Illinois is one that is just like any other city or town. Tim Pearson, soon to be graduating high school wants to go to Florida to study oceanography. He meets Michelle ""Mike"" Cody and is attracted to her. She runs the local Demolition Derby place. Ernie ""Slam"" Webster is one of the drivers in the derby whose wife is cheating on him and wants to later on be with Mike. Tim falls for Mike and a big love triangle is about to happen.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,01894906,https://image.tmdb.org/t/p/w1280/zjwdW85VNLuNxAutlGRHtoY0srR.jpg,,"Grandview, U.S.A. (1984) poster",drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
kiss-the-sky-vhs-floor-sale-drama,Kiss the Sky,"<p>Two professionals, Jeff and Marty, take a business trip to the Philippines. Their deep dissatisfaction with their lives leads them to forsake their friends and families for a return to the alcohol and drug-induced wanderings of their youth.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,5.00,01862138,https://image.tmdb.org/t/p/w1280/jolAAbiPB9YPSCEwWzija1L24NT.jpg,,Kiss the Sky (1998) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
tombo-vhs-floor-sale-drama,Tombo,"<p>One morning Noureddine, who always considered himself a little boy, discovers that his mother Fatima lied to him for 11 years  and, in fact, he is a girl.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,10.00,01599994,https://image.tmdb.org/t/p/w1280/gR0vzYdscuMu2HdnDsHtxx1GicA.jpg,,Tombo (2008) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ice-castles-vhs-floor-sale-drama,Ice Castles,<p>Alexis is on top of the world until a tragic accident dashes her hopes and dreams of becoming a world-class figure skater. Only with the help of those who love her can she prove to the world — and herself — that she still has the potential to realize her dreams.</p>,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,01108474,https://image.tmdb.org/t/p/w1280/5iS3EJD286IYkJ83L5pEVoNF3xn.jpg,,Ice Castles (1978) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
sardinia-kidnapped-vhs-floor-sale-foreign,Sardinia Kidnapped,"<p>Christina Fisher arrives in Sardinia to spend a holiday with her university friend, Francesco. As they are touring the island, they are trapped by mountain terrorists. Francesco is kidnapped, but Christina is permitted to leave. She is determined to contact the police, but is persuaded not to by Francesco's best friend, Gambino. Together they try to find the kidnappers, but she becomes suspicious of everyone including Gambino. Confused and paranoid, she sets out alone to contact the police.</p>",VHS,Media > Videos,"Floor Sale, VHS, Foreign, Formatted",Genre,Foreign,shopify,1,deny,manual,12.00,01042938,https://image.tmdb.org/t/p/w1280/5xcMLn03Acp5qGVQBA34AdtBLpz.jpg,,Sardinia Kidnapped (1968) poster,foreign,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
paris-trout-vhs-rental-drama,Paris Trout,"<p>Paris Trout is a vile Southern bigot. He owns a store and is a loanshark. He often sues people, and so his lawyer, Harry Seagraves, eventually meets Paris' wife Hannah. A former schoolteacher, she made the mistake of her life when she married Paris, who brutalizes her. Soon Paris goes beyond the overgenerous bounds of what a man in his position can get away with even in the segregated South, leading to a spiral of perverse insanity.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,86076922,https://image.tmdb.org/t/p/w1280/boLdI99ZK1jmtJyaVnHPDoxacyG.jpg,,Paris Trout (1991) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
point-of-impact-vhs-rental-action,Point of Impact,"<p>Jack Davis is a tough, outspoken cop who finds himself wrongly accused for the death of a fellow agent by the depraved and power hungry chief of Miami Customs, Martin Cullen. Disgraced and dismissed, Jack swears revenge and goes to work for Roberto Largo, a rich, evil Cuban crime boss, as bodyguard for his smoldering wife, Eva. Jack knows Largo is connected to his old boss Cullen and is determined to learn the secret that will bring him down. Trapped in a deadly game of cat and mouse, held captive by his passionate affair with Eva, Jack must figure out the significance of the mysterious Spanish Rose to survive.</p>",VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,85978618,https://image.tmdb.org/t/p/w1280/qhgNQoByYSkkXJY4Zea3Ils5qUA.jpg,,Point of Impact (1993) poster,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
summer-lovers-vhs-rental-romantic-comedy,Summer Lovers,"<p>Michael Pappas and his girlfriend, Cathy, are enjoying the white sand beaches of a Greek island as well as the freewheeling nature of the locals. When Michael meets Lina, who is in Greece from Paris doing archaeological work, he is enamored with the beautiful foreigner. Cathy, unhappy about Lina getting close to Michael, confronts the woman -- only to be unexpectedly wooed by her charms as well.</p>",VHS,Media > Videos,"Rental, VHS, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,0,85814778,https://image.tmdb.org/t/p/w1280/94Q5xC4MrSzpyO9x4kYG8yR4DnF.jpg,,Summer Lovers (1982) poster,romantic-comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
caught-up-vhs-rental-action,Caught Up,"<p>Daryl gets out of jail after 5 years. His mother has died, his girlfriend is married, and he can't find a job. His new girlfriend Vanessa, whom he meets when a gunman opens fire on them, gets him a job as a car driver. Hitmen are still after them, and Vanessa tells Daryl that this is her former lover Ahmad who wants revenge.</p>",VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,85749242,https://image.tmdb.org/t/p/w1280/cRfULxRff9v6VWgqBFIXTFVqkzr.jpg,,Caught Up (1998) poster,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
sworn-to-justice-vhs-rental-action,Sworn to Justice,"<p>After masked attackers kill her sister and young nephew, a female psychologist takes the law into her own hands by acting as a defense witness by day and a ruthless avenger by night.</p>",VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,85683706,https://image.tmdb.org/t/p/w1280/2SoAdpYgAjrq1rQ4sZFEHMKwpgc.jpg,,Sworn to Justice (1996) poster,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
lily-in-love-vhs-rental-romantic-comedy,Lily in Love,"<p>Insulted when his screenwriter wife writes a leading role for a younger man, aging Broadway idol Fitz Wynn disguises himself as a handsome young Italian.</p>",VHS,Media > Videos,"Rental, VHS, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,0,85618170,https://image.tmdb.org/t/p/w1280/tLCKgrn9QXiekQ47CMg2vmgi5Yx.jpg,,Lily in Love (1984) poster,romantic-comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
beautiful-dreamers-vhs-rental-drama,Beautiful Dreamers,"<p>When the superintendent of the Canadian insane asylum, Dr. Maurice Bucke, meets poet Walt Whitman, his life and that of his wife and patients is radically changed. Like Dr. Bucke, Whitman has avant-garde ideas on the subject of mental illness. ""Dreamers"" is based on true events. Dr. Bucke became an important biographer of Walt Whitman.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,85487098,https://image.tmdb.org/t/p/w1280/7wSZiJ0BofQQDW2C8Umrune8LES.jpg,,Beautiful Dreamers (1990) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
the-last-innocent-man-vhs-rental-thriller,The Last Innocent Man,<p>A retired criminal lawyer is persuaded to take on one more case and becomes involved with his client's wife.</p>,VHS,Media > Videos,"Rental, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,0,85290490,https://image.tmdb.org/t/p/w1280/ji4K8yZZU06ovhFkXCQUVaBKXhd.jpg,,The Last Innocent Man (1987) poster,thriller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
ulees-gold-vhs-rental-drama,Ulee's Gold,"<p>Third-generation Florida beekeeper Ulee Jackson may have gotten out of Vietnam alive, but he left a part of himself behind. Now he methodically tends his bees, carefully provides for his two grandchildren and keeps his emotions at bay. But when a long-buried secret threatens Ulee's business and family, he is forced to break through his emotional walls and confront the terror of his wounded spirit.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,85192186,https://image.tmdb.org/t/p/w1280/wMpZ7U7A0QHJptR9L573V3Y7SI0.jpg,,Ulee's Gold (1997) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
beautiful-joe-vhs-rental-comedy,Beautiful Joe,"<p>A bad girl becomes a con artist, gets into trouble with the mob and taps a nice-guy florist for help.</p>",VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,84798970,https://image.tmdb.org/t/p/w1280/112w8czibDADH2Pnqg7Ez1aR4Kf.jpg,,Beautiful Joe (2000) poster,comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
slaughter-of-the-innocents-vhs-rental-action,Slaughter of the Innocents,"<p>A seasoned FBI Agent's child-genius son assists him on catching a child-killer, a schizophrenic mohab nut who believes he's been chosen by god to be a new Noah.</p>",VHS,Media > Videos,"Rental, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,84733434,https://image.tmdb.org/t/p/w1280/pUyIUwRsGaku48LpPWVNyylp9bh.jpg,,Slaughter of the Innocents (1993) poster,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
summer-lovers-vhs-floor-sale-romantic-comedy,Summer Lovers,"<p>Michael Pappas and his girlfriend, Cathy, are enjoying the white sand beaches of a Greek island as well as the freewheeling nature of the locals. When Michael meets Lina, who is in Greece from Paris doing archaeological work, he is enamored with the beautiful foreigner. Cathy, unhappy about Lina getting close to Michael, confronts the woman -- only to be unexpectedly wooed by her charms as well.</p>",VHS,Media > Videos,"Floor Sale, VHS, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,6.00,01895930,https://image.tmdb.org/t/p/w1280/94Q5xC4MrSzpyO9x4kYG8yR4DnF.jpg,,Summer Lovers (1982) poster,romantic-comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
dancer-in-the-dark-vhs-floor-sale-drama,Dancer in the Dark,"<p>Selma, a Czech immigrant on the verge of blindness, struggles to make ends meet for herself and her son, who has inherited the same genetic disorder and will suffer the same fate without an expensive operation. When life gets too difficult, Selma learns to cope through her love of musicals, dreaming up little numbers to the rhythmic beats of her surroundings.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,18.00,01863162,https://image.tmdb.org/t/p/w1280/pWzOfTJRZHPNO1VNrMnNFqRcJwg.jpg,,Dancer in the Dark (2000) poster,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
universal-soldier-ii-brothers-in-arms-vhs-floor-sale-sci-fi,Universal Soldier II: Brothers in Arms,"<p>With the UniSol program budget cut by the government, a gang of mercenaries takes control of the new line of Universal Soldiers for their own nefarious ends. In doing so, they clash with Luc Deveraux, survivor of the first incident with the UniSols, alongside his long-lost and newly-resurrected brother Eric and reporter Veronica Roberts.</p>",VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,10.00,01764858,https://image.tmdb.org/t/p/w1280/tOI7BWFf16QXViDOXnT2h5BCBW5.jpg,,Universal Soldier II: Brothers in Arms (1998) poster,sci-fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
nate-and-hayes-vhs-floor-sale-action,Nate and Hayes,"<p>Nathaniel Williamsen is taken to an island mission with his fiancee Sophie. Their ship, the Rona, is captained by the roguish Bully Hayes, who also takes a liking to Sophie. When Sophie is kidnapped by slave trader Ben Pease ""Nate"" teams with Hayes in order to find her.</p>",VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,10.00,01699322,https://image.tmdb.org/t/p/w1280/hdDrNP08oWGfbETiYKZ622PdQMm.jpg,,Nate and Hayes (1983) poster,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
uncle-buck-vhs-floor-sale-kids-family,Uncle Buck,"<p>Buck Russell, a lovable but slovenly bachelor, suddenly becomes the temporary caretaker of his nephew and nieces after a family emergency. His freewheeling attitude soon causes tension with his older niece Tia, loyal girlfriend Chanice, and just about everyone else who crosses his path.</p>",VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,6.00,01666554,https://image.tmdb.org/t/p/w1280/euWPWqpujKQg2KnfBUVkBSZ6kf4.jpg,,Uncle Buck (1989) poster,kids-family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
the-new-guy-vhs-floor-sale-comedy,The New Guy,"<p>Nerdy high school senior Dizzy Harrison has finally gotten lucky -- after purposely getting expelled, he takes lessons in 'badass cool' from a convict and enrolls at a new school. But can he keep up the ruse?</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,01568250,https://image.tmdb.org/t/p/w1280/aekXSzkn3zry6aummMl7AU4rSa8.jpg,,The New Guy (2002) poster,comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
obsession-a-taste-for-fear-vhs-floor-sale-horror,Obsession: A Taste for Fear,"<p>A photographer's model is found murdered, sparking a police investigation that targets her ex-boyfriend. As more models die and murder videos surface, the true identity of the killer becomes uncertain.</p>",VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,15.00,01535482,https://image.tmdb.org/t/p/w1280/hO5sHD7uGaFt49zgwAtSroGGqs5.jpg,,Obsession: A Taste for Fear (1988) poster,horror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
stoogemania-vhs-rental-comedy,StoogeMania,"<p>The film centers on Howard F. Howard, an overweight everyman. Engaged to Beverly, the woman of his dreams, Howard has one problem - an overactive fixation with The Three Stooges. Everywhere Howard goes, he sees Moe, Larry, Curly, and Shemp intruding on his life. Determined to overcome his fixation, Howard and Beverly prepare for their wedding. But on his way to the ceremony, Howard descends into Stoogemania and finds himself walking into the city streets with other Stoogemaniacs. His only hope is commitment to the Stooge Hills sanitarium, under the care of a renowned psychologist, until the inmates take over the asylum on graduation day.</p>",VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,79515386,https://image.tmdb.org/t/p/w1280/4TxPpolM7LBqHsMYj42XHrVr4n9.jpg,,StoogeMania (1985) poster,comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,active
