Decision,Reason,Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
"use the genre action; tag it with ""Issue"" and ""rental or sale?""","no usable genre (Option1 Value '#VALUE!', tags (none))",reindeer-games-vhs,Reindeer Games,"<p>Just released from prison, all Rudy Duncan (Ben Affleck) wants is to start a new life with Ashley (Charlize Theron), the girl of his dreams, whom he met through pen pal letters in prison. But between them and happiness stands her crazy brother, Gabriel (Gary Sinise), and his motley crew of deadly criminals who think Rudy has some inside information about a casino where he once had a job -- a casino Gabriel and his short-fused posse plan to take down.</p>",VHS,,,Genre,#VALUE!,shopify,1,deny,manual,0.00,89943290,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/images_b95df578-48c8-4f0b-a3ce-c63fb85f6bb7.jpg?v=1787783294,1,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"use the genre comedy; tag it with ""Issue"" and ""rental or sale?""","no usable genre (Option1 Value 'Standard', tags (none))",cheaters,Cheaters,"<p>These lightweight reading glasses feature a durable rectangular frame designed for long-lasting comfort and everyday clarity. The classic aesthetic and versatile magnification make them an essential accessory for reading or close-up work. They provide a sleek, professional look that easily transitions from the office to the home.</p>",DVD,,,Condition,Standard,shopify,1,deny,manual,0.00,191-DVDCHE-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249884999.jpg?v=1787785122,1,191-DVDCHE-001A,,,true,,Serial Number,001A,,,,,191-DVDCHE-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249884999.jpg?v=1787785122,lb,,,active
use the genre thriller; tag as Floor Sale (price stays),"no usable genre (Option1 Value 'Default Title', tags (none))",deja-vu,Deja Vu,<p></p>,VHS,Media > Videos > VHS Tapes,,Title,Default Title,shopify,1,deny,manual,11.00,17288954,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
use the genre comedy; tag as Floor Sale (price stays),"no usable genre (Option1 Value 'Standard', tags (none))",look-who-s-talking,Look Who’s Talking,<p>This classic home video release features the original vintage sleeve art and brings the nostalgic charm of analog media to your collection. It is a perfect choice for fans of eighties cinema and collectors looking to experience the iconic voice-over comedy in its native format. Enjoy a piece of physical media history with this well-maintained cassette that delivers a genuine retro viewing experience.</p>,VHS,,,Condition,Standard,shopify,1,deny,manual,5.00,191-VHSLKW-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSLKW-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
use the genre drama,"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",american-graffiti-vhs-floor-sale,American Graffiti,<p></p>,VHS,,Floor Sale,Genre,Default Title,shopify,1,deny,manual,8.00,67429882,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
use the genre comedy,"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",celebrity-vhs-floor-sale,Celebrity,<p></p>,VHS,,Floor Sale,Genre,Default Title,shopify,1,deny,manual,7.00,67790330,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
use the genre comedy,"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",cherish-vhs-floor-sale,Cherish,<p></p>,VHS,,Floor Sale,Genre,Default Title,shopify,1,deny,manual,10.00,67724794,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
use the genre Sci-fi,"no usable genre (Option1 Value 'Dark City', tags Dark City, Floor Sale)",dark-city-standard-edition-blu-ray-bluray-floor-sale-dark-city,Dark City (Standard Edition) [Blu-ray],,Blu-ray,,"Dark City, Floor Sale",Genre,Dark City,shopify,2,deny,manual,38.00,93091066,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
use the genre drama,"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",even-cowgirls-get-the-blues-vhs-floor-sale,Even Cowgirls Get the Blues,<p></p>,VHS,,Floor Sale,Genre,Default Title,shopify,1,deny,manual,7.00,67921402,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
use the genre comedy,"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",next-friday-vhs-floor-sale,Next Friday,<p></p>,VHS,,Floor Sale,Genre,Default Title,shopify,1,deny,manual,8.00,67855866,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
use the genre comedy,"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",real-genius-vhs-floor-sale,Real Genius,<p></p>,VHS,,Floor Sale,Genre,Default Title,shopify,1,deny,manual,8.00,67659258,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
use the genre action,"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",speed-vhs-floor-sale,Speed,<p></p>,VHS,,Floor Sale,Genre,Default Title,shopify,1,deny,manual,8.00,67560954,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
use the genre comedy,"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",the-check-is-in-the-mail-vhs-floor-sale,The Check is in the Mail,<p></p>,VHS,,Floor Sale,Genre,Default Title,shopify,1,deny,manual,8.00,67495418,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
use the genre horror,"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",the-fly-vhs-floor-sale,The Fly,<p></p>,VHS,,Floor Sale,Genre,Default Title,shopify,1,deny,manual,10.00,67888634,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"tag it with ""Issue"" and ""No Price""",Floor Sale with no price,pontiac-moon,Pontiac Moon,<p></p>,VHS,Uncategorized,"Drama, Floor Sale",Genre,Drama,shopify,1,deny,manual,0.00,74868218,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"tag it with ""Issue"" and ""No Price""",Floor Sale with no price,sugar-spice-vhs-floor-sale-comedy,Sugar & Spice,<p></p>,VHS,,"Comedy, Floor Sale",Genre,Comedy,shopify,1,deny,manual,0.00,69310458,,,,,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
"split into 2 separate products (one per physical copy/serial), then tag each with ""Issue"" and ""No Price""",Floor Sale with no price,get-shorty,Get Shorty,"<p>Relive this classic nineties crime comedy featuring a star-studded cast in its original physical format. This vintage tape comes in its authentic clamshell case, making it a perfect addition for collectors of cinematic memorabilia. Experience the nostalgic charm of analog playback with this well-maintained genre-bending favorite.</p>",VHS,,"Comedy, Floor Sale",Condition,50%,shopify,1,deny,manual,0.00,191-VHSGET-50-001A,,,,,,true,,Serial Number,001A,,,,,191-VHSGET-50-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,active
