Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cheaters,Cheaters,"<p>These lightweight reading glasses feature a durable rectangular frame designed for long-lasting comfort and everyday clarity. The classic aesthetic and versatile magnification make them an essential accessory for reading or close-up work. They provide a sleek, professional look that easily transitions from the office to the home.</p>",DVD,Media > Videos,,"Comedy, DVD, Formatted, Issue, Rental, rental or sale?",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDCHE-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249884999.jpg?v=1787785122,1,191-DVDCHE-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
snatch-special-edition,Snatch (Special Edition),"<p>Unscrupulous boxing promoters, violent bookies, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewellers fight to track down a priceless stolen diamond.</p>",DVD,Media > Videos,,"Drama, DVD, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDSNA-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249662182_2e93c16d-0db8-4356-8951-6e58546b5582.jpg?v=1787925948,1,191-DVDSNA-001A,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
the-forgotten,The Forgotten,<p>This classic supernatural thriller follows a grieving mother who begins to doubt her own reality when those around her claim her son never existed. It offers a suspenseful blend of mystery and science fiction that keeps viewers guessing until the final revelation. This pre-owned physical copy is a perfect addition for collectors of early 2000s cinema or fans of psychological dramas.</p>,DVD,Media > Videos,,"DVD, Formatted, Issue, No Format, Rental, rental or sale?, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BL2THE-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249728988.jpg?v=1787785119,1,191-BL2THE-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
fahrenheit-9-11,Fahrenheit 9/11,<p>Michael Moore's view on how the Bush administration allegedly used the tragic events on 9/11 to push forward its agenda for unjust wars in Afghanistan and Iraq.</p>,DVD,Media > Videos,,"Documentary, DVD, Formatted, Rental",true,Genre,Documentary,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDFAH-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249818065.jpg?v=1787925947,1,191-DVDFAH-001A,false,,,,,,,documentary,,,,,,,,,,,,lb,,,active
saving-private-ryan,Saving Private Ryan,"<p>As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Drama, Formatted, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRSAV-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249865438.jpg?v=1787925946,1,191-BLRSAV-001A,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
smiles-of-a-summer-night,Smiles of a Summer Night,"<p>This elegant home video release features a high-definition digital restoration of the classic romantic comedy, accompanied by an archival introduction and a scholarly video essay. Film enthusiasts will appreciate the inclusion of an illustrated booklet containing insightful critical analysis and detailed production notes. It is a sophisticated addition to any collection, offering both visual excellence and comprehensive contextual materials.</p>",DVD,Media > Videos,,"Comedy, DVD, Formatted, Issue, Rental-or-Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDSMI-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782250289838_be3f6dce-d1c7-48d7-baf2-26e051ac0bd5.jpg?v=1788149337,1,191-DVDSMI-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
despicable-me,Despicable Me,"<p>This playful collectible features the iconic round yellow character in his signature denim overalls and silver goggles. Perfect for fans and collectors, this high-quality figure captures a mischievous expression that adds a touch of whimsical charm to any shelf or desk display. The durable construction and vibrant colors ensure it remains a standout piece in any animation-inspired collection.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Issue, Kids & Family, Rental-or-Sale",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRDES-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782250439155.jpg?v=1788149337,1,191-BLRDES-001A,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
16-blocks,16 Blocks,"<p>An aging cop is assigned the ordinary task of escorting a fast-talking witness from police custody to a courthouse, but they find themselves running the gauntlet as other forces try to prevent them from getting there.</p>",Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLR16B-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782250805835.jpg?v=1787925946,1,191-BLR16B-001A,false,,,,,,,action,,,,,,,,,,,,lb,,,active
the-cabin-in-the-woods,The Cabin in the Woods,"<p>Five friends set out for a weekend at a remote cabin in the woods, expecting nothing more than fun and relaxation. As night falls, they discover that something far more unsettling is at work and that nothing about their getaway is what it seems.</p>",DVD,Media > Videos,,"DVD, Formatted, Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVDTHC-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249926062.jpg?v=1787925945,1,191-DVDTHC-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
herbie-fully-loaded,Herbie: Fully Loaded,<p>Join everyone’s favorite adventurous racing car in this family-friendly comedy filled with high-speed stunts and heartwarming humor. This DVD edition features exclusive behind-the-scenes footage and deleted scenes that capture the magic of the beloved franchise's modern revival. It is the perfect addition to any movie collection for fans of classic automotive action and lighthearted storytelling.</p>,DVD,Media > Videos,,"DVD, Formatted, Issue, Kids & Family, No Format, Rental, rental or sale?",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-WALHER-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782249953300.jpg?v=1787785111,1,191-WALHER-001A,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
