Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
dying-to-get-rich-susans-plan-vhs-floor-sale-comedy,Dying to Get Rich! Susan's Plan,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,97836794,,,,false,,,,,,,,,,lb,,,active
star-wars-return-of-the-jedi-vhs-floor-sale-sci-fi,Star Wars Return of the Jedi,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,70050554,,,,false,,,,,,,,,,lb,,,active
i-heart-huckabees-vhs-floor-sale-comedy,I Heart Huckabees,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,32944378,,,,false,,,,,,,,,,lb,,,active
harry-potter-and-the-sorcerers-stone-vhs-rental-kids-family,Harry Potter and the Sorcerer's Stone,,VHS,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26889466,,,,false,,,,,,,,,,lb,,,active
mary-kate-ashleys-school-dance-party-vhs-rental-kids-family,Mary Kate & Ashley's School Dance Party,,VHS,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,26725626,,,,false,,,,,,,,,,lb,,,active
bubblegum-crisis-hurricane-live-2033-vhs-floor-sale-anime-sci-fi,Bubblegum Crisis - Hurricane Live 2033,,VHS,,,"Anime, Floor Sale, Sci-Fi",true,Genre,"Anime, Sci-Fi",,,,,,,,,0.0,shopify,1,deny,manual,24.00,,true,true,,,,,04044282,,,,false,,,,,,,,,,lb,,,active
captain-corellis-vhs-floor-sale-drama,Captain Corelli's,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,85476858,,,,false,,,,,,,,,,lb,,,active
la-femme-nikita-vhs-floor-sale-action,La Femme Nikita,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,48023034,,,,false,,,,,,,,,,lb,,,active
mpd-psycho-dvd-floor-sale-thriller,MPD-PSYCHO,,DVD,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,16.00,,true,true,,,,,45268730,,,,false,,,,,,,,,,lb,,,active
cria-cuervos-dvd-rental-drama,Cria Cuervos,,DVD,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,48627962,,,,false,,,,,,,,,,lb,,,active
its-the-rage-vhs-floor-sale-drama,It's the Rage,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,02583034,,,,false,,,,,,,,,,lb,,,active
dancer-texas-vhs-floor-sale-drama,"Dancer, Texas",,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,01797626,,,,false,,,,,,,,,,lb,,,active
gore-vidals-billy-the-kid-vhs-rental-action,Gore Vidal's Billy the Kid,,VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,79482618,,,,false,,,,,,,,,,lb,,,active
police-academy-6-vhs-floor-sale-comedy,Police Academy 6,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,00372730,,,,false,,,,,,,,,,lb,,,active
lonely-guy-vhs-rental-romantic-comedy,Lonely Guy,,VHS,,,"Rental, Romantic Comedy",true,Genre,Romantic Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,16304122,,,,false,,,,,,,,,,lb,,,active
downton-abbey-the-motion-picture-dvd-rental-drama,Downton Abbey: The Motion Picture,,DVD,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,95253242,,,,false,,,,,,,,,,lb,,,active
deep-blue-sea-deep-blue-sea-2-dvd-rental-horror,Deep Blue Sea / Deep Blue Sea 2,,DVD,,,"Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,03520762,,,,false,,,,,,,,,,lb,,,active
be-cool-get-shorty-dvd-floor-sale-comedy,Be Cool / Get Shorty,,DVD,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,84154874,,,,false,,,,,,,,,,lb,,,active
miss-congeniality-2-dvd-floor-sale-comedy,Miss Congeniality 2,,DVD,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,83958266,,,,false,,,,,,,,,,lb,,,active
motives-2-dvd-rental-thriller,Motives 2,,DVD,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38967802,,,,false,,,,,,,,,,lb,,,active
stir-of-echoes-2-dvd-rental-thriller,Stir of Echoes 2,,DVD,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96074490,,,,false,,,,,,,,,,lb,,,active
