Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
escape-clause,Escape Clause,"<p>This engaging board game challenges players with strategic decision-making and high-stakes social deduction elements. It features a unique blend of tension and collaborative play, making it a perfect addition to any group game night or social gathering. Participants must use quick thinking to navigate complex scenarios and secure their victory before time runs out.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSSCP-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258616063.jpg?v=1787925865,1,191-VHSSCP-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
deadly-little-secrets,Deadly Little Secrets,<p>This gripping young adult mystery follows a group of friends entangled in a web of lies and hidden motives following a tragic accident. The suspenseful narrative keeps readers guessing with its fast-paced plot and complex character dynamics. It is an ideal pick for fans of psychological thrillers looking for a story filled with tension and unexpected twists.</p>,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSDES-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258923180.jpg?v=1787925865,1,191-VHSDES-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
deadlocked,Deadlocked,"<p>This sleek piece captures a dark, alternative aesthetic through intricate hardware detailing and a structured silhouette. Crafted for durability and style, it offers a versatile look that pairs effortlessly with street-inspired wardrobes. The bold design serves as an edgy statement accessory for anyone looking to elevate their everyday ensemble.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSDDL-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258843836.jpg?v=1787925866,1,191-VHSDDL-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
trial,Trial,<p>This classic black and white cinematic masterpiece comes presented on a high-quality digital format featuring a restored transfer for optimal viewing. The atmospheric legal drama offers a haunting exploration of bureaucracy and paranoia that makes it a must-have for collectors of avant-garde and philosophical filmmaking. This edition provides a definitive way to experience one of the most visually striking adaptations in film history.</p>,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSTRL-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258773566.jpg?v=1787925867,1,191-VHSTRL-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
born-innocent,Born Innocent,<p>This sophisticated fragrance features a delicate blend of floral and woody notes that create a refined and effortless scent profile. Its light yet lasting aroma makes it a perfect choice for daily wear or special occasions where a touch of understated elegance is desired. The minimalist bottle design reflects the clean and pure essence of the liquid inside.</p>,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSBOR-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258735537.jpg?v=1787925866,1,191-VHSBOR-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
diary-of-a-hitman,Diary of a Hitman,<p>This gripping crime novel offers a dark and immersive look into the psychological landscape of a professional assassin navigating a dangerous underworld. Readers will find themselves captivated by the gritty narrative style and high-stakes tension that define this suspenseful thriller. It is an essential addition for fans of hard-boiled noir seeking a fast-paced and atmospheric story.</p>,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSDIA-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258688308.jpg?v=1787925867,1,191-VHSDIA-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
mexico-city,Mexico City,"<p>Explore the vibrant hidden gems and local culture of one of the world's most dynamic urban landscapes through this immersive travel guide. It features curated recommendations for authentic dining, art, and historical sites that go beyond the typical tourist path. This essential companion is perfect for adventurous travelers looking to experience the true essence and secret spots of the metropolis.</p>",VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSMEX-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258638288.jpg?v=1787925868,1,191-VHSMEX-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
bone-collector,Bone Collector,<p>This special edition thriller follows a forensic expert and a rookie officer as they track a serial killer through a gritty urban landscape. The set features enhanced picture quality and exclusive bonus content including behind-the-scenes documentaries and director commentary. It is a must-have for fans of suspenseful crime dramas looking for a high-definition home cinema experience.</p>,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSBON-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258505199.jpg?v=1787925868,1,191-VHSBON-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
strangers,Strangers,<p>This atmospheric indie adventure blends minimalist aesthetics with deep psychological themes to create a compelling narrative experience. Players explore surreal landscapes and engage in poignant dialogue that explores the complexity of human connections and isolation. It is a must-have for fans of artistic storytelling who appreciate unique visual styles and thought-provoking gameplay.</p>,VHS,Media > Videos,,"Formatted, Rental, Thriller, VHS",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSST3-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258598610.jpg?v=1787925869,1,191-VHSST3-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
shipwrecked,Shipwrecked,"<p>This classic live-action survival film follows a young cabin boy stranded on a tropical island while evading a ruthless band of pirates. Filled with high-seas adventure and stunning scenery, it makes an excellent addition to any family movie collection for those who enjoy legendary swashbuckling tales. The story captures a timeless sense of wonder and bravery that viewers of all ages will appreciate.</p>",VHS,Media > Videos,,"Formatted, Kids & Family, Rental, VHS",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSSHI-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782258487433.jpg?v=1787925869,1,191-VHSSHI-001A,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
