Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
all-creatures-great-and-small,All Creatures Great and Small,,VHS,Uncategorized,,"Drama, Rental",true,Title,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38044666,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
an-affair-to-remember,An Affair to Remember,This classic cinematic masterpiece captures a sweeping romance filled with elegant dialogue and heartfelt performances. The stunning visual presentation and emotional storytelling make it an essential addition for any collector of timeless Hollywood dramas. Enjoy a sophisticated viewing experience that explores the enduring power of love and destiny.,VHS,,,"Drama, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSNFF-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSNFF-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257341723.jpg?v=1782257847,1,191-VHSNFF-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257341723.jpg?v=1782257847,lb,,,active
love-has-many-faces,Love Has Many Faces,"This expressive graphic piece features a bold, artistic design that explores the complexity of human emotion and connection. Crafted with premium materials for lasting comfort, it serves as a meaningful conversation starter and a unique addition to any contemporary wardrobe. High-quality printing ensures the vibrant imagery remains sharp and impactful through every wear.",VHS,,,"Drama, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSLVH-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSLVH-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257430759.jpg?v=1782257849,1,191-VHSLVH-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257430759.jpg?v=1782257849,lb,,,active
death-of-adolf-hitler,Death of Adolf Hitler,"This fascinating historical volume provides a detailed investigation into the final days of the Third Reich and the mysterious circumstances surrounding its leader's demise. It features rare archival documentation and eyewitness accounts that offer a profound look into one of the twentieth century's most significant historical events. Perfect for collectors and history enthusiasts, this book serves as an essential resource for understanding the end of the conflict in Europe.",VHS,,,"Drama, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSDEA-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSDEA-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257516347.jpg?v=1782257851,1,191-VHSDEA-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257516347.jpg?v=1782257851,lb,,,active
stand-alone,Stand Alone,This premium vintage arcade cabinet features a high-resolution display and responsive controls housed in a classic stand-up silhouette. Its durable construction and vibrant side art make it an ideal centerpiece for any home game room or commercial lounge. This authentic unit offers a nostalgic gaming experience with modern reliability for collectors and enthusiasts alike.,VHS,,,"Action, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSSTN-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSSTN-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257556410.jpg?v=1782257853,1,191-VHSSTN-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257556410.jpg?v=1782257853,lb,,,active
outsiders,Outsiders,This classic coming-of-age drama follows a group of teenagers navigating social divides and personal loyalty in 1960s Oklahoma. The film features an iconic ensemble cast of future stars delivering powerful performances in a beautifully shot adaptation of the beloved novel. It serves as a timeless cinematic staple for collectors who appreciate poignant storytelling and vintage aesthetics.,VHS,,,"Drama, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSTSD-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSTSD-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257573158.jpg?v=1782257856,1,191-VHSTSD-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257573158.jpg?v=1782257856,lb,,,active
confessions-of-a-hitman,CONFESSIONS OF A HITMAN,"This original clamshell release offers a gritty look into the criminal underworld through a rare vintage cinematic lens. A must-have for collectors of retro thrillers, the tape delivers an authentic physical media experience characteristic of high-stakes eighties and nineties dramas. The distinctive artwork and historical format provide a nostalgic edge for any enthusiast of classic home video history.",VHS,,,"Action, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSCO3-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSCO3-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257784074.jpg?v=1782257858,1,191-VHSCO3-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257784074.jpg?v=1782257858,lb,,,active
acts-of-betrayal,Acts of Betrayal,This gripping psychological thriller explores the dark secrets and hidden motivations that test the bonds of trust between its complex characters. Readers will be captivated by the suspenseful narrative and unexpected plot twists that keep the tension high until the final page. It is a compelling choice for fans of intense mysteries who enjoy diving into the depths of human deception.,VHS,,,"Action, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSCTS-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSCTS-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257689813.jpg?v=1782257864,1,191-VHSCTS-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257689813.jpg?v=1782257864,lb,,,active
airport-1975,Airport 1975,"Step back into the golden era of cinema with this vintage release of the iconic suspense film. This physical media collectible features the complete theatrical drama housed in its original commemorative packaging, making it a perfect addition for enthusiasts of classic disaster movies and retro film history.",VHS,,,"Action, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSAIR-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSAIR-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257735318.jpg?v=1782257866,1,191-VHSAIR-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257735318.jpg?v=1782257866,lb,,,active
mister-johnson,Mister Johnson,"This vintage videocassette brings a critically acclaimed colonial drama to your home collection in its original physical format. The clamshell case features classic cover art, making it a nostalgic choice for cinema enthusiasts and collectors of period pieces. It offers a tactile and authentic viewing experience for those who appreciate the unique aesthetic of analog media.",VHS,,,"Drama, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSMST-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSMST-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257782220.jpg?v=1782257868,1,191-VHSMST-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782257782220.jpg?v=1782257868,lb,,,active
missing-pieces,Missing Pieces,"This versatile casual top features a classic crew neckline and a relaxed fit for effortless everyday wear. The minimalist design and neutral tone make it an essential layering piece that pairs easily with denim or trousers. Its lightweight, breathable fabric ensures all-day comfort while maintaining a clean and modern silhouette.",VHS,,,"Comedy, Rental",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSMSS-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSMSS-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258338200.jpg?v=1782258361,1,191-VHSMSS-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258338200.jpg?v=1782258361,lb,,,active
twilight,Twilight,"This sophisticated fragrance captures a sense of mystery with its blend of deep woody base notes and lighter aromatic top notes. The minimalist glass bottle design adds a touch of modern elegance to any vanity or collection. It is the perfect choice for evening wear or special occasions when you want to leave a lasting, enigmatic impression.",VHS,,,"Rental, Thriller",true,Condition,Standard,,Serial Number,001A,,,,,191-VHSTWI-001A,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-VHSTWI-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258343471.jpg?v=1782258364,1,191-VHSTWI-001A,false,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782258343471.jpg?v=1782258364,lb,,,active
