Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Genre (product.metafields.shopify.genre),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),22-jump-street,22 Jump Street,"<p>Relive the action and humor of this high-energy buddy cop sequel in high definition. This physical media release features the complete film along with exclusive bonus content, including deleted scenes and a hilarious gag reel. It is a must-have addition for fans of modern comedy and crime-fighting duos looking to complete their home cinema collection.</p>",Unknown,Media > Videos,,"Comedy, Formatted, Issue, Needs-Format, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-UNK22J-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781378141047.jpg?v=1788103106,1,191-UNK22J-50-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,30-days-of-night,30 Days of Night,"<p>This gripping graphic novel captures a terrifying month-long siege where eternal darkness provides the perfect cover for a pack of ruthless vampires. The stark, visceral illustration style heightens the tension as a small Alaskan town fights for survival against an ancient predatory threat. It is a cinematic horror masterpiece that remains a definitive modern classic for fans of supernatural suspense and survival stories.</p>",DVD,Media > Videos,,"DVD, Formatted, Horror, Issue, Rental-or-Sale",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVD30D-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782253183049.jpg?v=1788103121,1,191-DVD30D-001A,false,,,,,,,horror,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,4400-the-complete-first-season,4400: The Complete First Season,"<p>This premiere season collection follows the mysterious return of thousands of missing people across several decades, all reappearing at once without having aged a day. The two-disc set captures the suspense and supernatural intrigue of the initial episodes as investigators work to uncover the truth behind their sudden reappearance. Experience the high-stakes drama and character-driven storytelling that launched this acclaimed science fiction mystery series.</p>",DVD,Media > Videos,,"DVD, Formatted, Issue, Rental-or-Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVD440-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782250733322_2d818f56-9db5-480c-8f19-e9e1498b52b5.jpg?v=1788103152,1,191-DVD440-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,8-mile,8 Mile,<p>This grit-filled drama offers a compelling look at the underground battle rap scene and the pursuit of a dream against all odds. Its powerful performances and authentic storytelling make it a must-have for fans of musical biopics and intense urban narratives. This high-definition physical release provides a crisp viewing experience for one of the most influential films of the early 2000s.</p>,DVD,Media > Videos,,"Drama, DVD, Formatted, Issue, Rental-or-Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-DVD8MI-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782251813164.jpg?v=1788103143,1,191-DVD8MI-001A,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,a-knights-tale-bluray-action,A Knights Tale,"<p>William Thatcher, a knight's peasant apprentice, gets a chance at glory when the knight dies suddenly mid-tournament. Posing as a knight himself, William won't stop until he's crowned tournament champion—assuming matters of the heart don't get in the way.</p>",Blu-Ray,Media > Videos,,"Action, Blu-Ray, Formatted, Issue, Rental-or-Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,19653114,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/srb1XnrlDZHcdpjBKqUu4qAzxKU.jpg?v=1788103117,1,A Knights Tale (2001) poster,false,,,,,,,action,,,,,,,,,,,,lb,,,active
no media format (Vendor 'Universal Pictures' is not VHS/DVD/Blu-Ray/4K),a-million-ways-to-die-in-the-west,A Million Ways to Die in the West,<p>This comedy western follows a cowardly farmer who seeks help from a mysterious sharpshooter to win back his girlfriend while outrunning a notorious outlaw. The film features an all-star cast and signature irreverent humor that parodies the harsh realities of life on the frontier. This physical disc is a great choice for fans of satirical cinema and those looking to complete their home movie collection.</p>,Universal Pictures,Media > Videos,,"Comedy, Formatted, Issue, Needs-Format, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-UNIAMI-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781378298176_b36cbdbf-4ecd-4ef4-ba55-0c396a5d3436.jpg?v=1788103104,1,191-UNIAMI-50-001A,false,,,,,,,comedy,,,,,,,,,,,,lb,,,active
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),angel-baby,Angel Baby,"<p>Angel Baby follows a grieving couple who retreat to a secluded cabin after the loss of their stillborn twins, only for the wife to sense an unsettling presence as dark secrets emerge. Blending psychological horror and thriller elements, it aims for a tense, atmospheric experience.</p>",Unknown,Media > Videos,,"Formatted, Issue, Needs-Format, Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-UNKANG-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780436842769_996361cc-5e9d-4aea-9309-d9cbccc5f74e.jpg?v=1788103111,1,191-UNKANG-50-001A,false,,,,,,,thriller,,,,,,,,,,,,lb,,,active
no media format (Vendor 'Little Movie Store' is not VHS/DVD/Blu-Ray/4K),antz,Antz,"<p>A neurotic worker ant in love with a rebellious princess rises to unlikely stardom when he switches places with a soldier. Signing up to march in a parade, he ends up under the command of a bloodthirsty general. But he's actually been enlisted to fight against a termite army.</p>",Little Movie Store,Media > Videos,,"Floor Sale, Formatted, Issue, Kids & Family, Needs-Format",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,13060858,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/lWPjxbUMpAHFkJpZHHNWhQaRsax_cc40d307-5b36-4a40-b659-df133a0aa62a.jpg?v=1788103088,1,Antz (1998) poster,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),at-first-sight,At First Sight,"<p>Explore a romantic and suspenseful narrative that delves into the complexities of human connection and unexpected attraction. This compelling read offers a blend of emotional depth and high stakes, making it an ideal choice for fans of contemporary drama and intrigue. Its fast-paced storytelling and relatable characters ensure an immersive experience from the very first chapter.</p>",Unknown,Media > Videos,,"Drama, Formatted, Issue, Needs-Format, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-UNKATF-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1780419437775.jpg?v=1788103114,1,191-UNKATF-50-001A,false,,,,,,,drama,,,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,bambi,Bambi,"<p>Experience the heartwarming classic in stunning high definition with this multi-format collection featuring the original animated masterpiece and a variety of behind-the-scenes bonus content. This anniversary set includes digital and physical copies, allowing for seamless viewing across all your favorite devices while preserving every vibrant detail of the lush hand-drawn forest. It is an essential addition for collectors and families looking to share a timeless story of friendship and nature's beauty.</p>",Blu-Ray,Media > Videos,,"Blu-Ray, Formatted, Issue, Kids & Family, Rental-or-Sale",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,191-BLRBAM-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782250065772.jpg?v=1788103160,1,191-BLRBAM-001A,false,,,,,,,kids-family,,,,,,,,,,,,lb,,,active
