Reason,Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
no media format (Vendor 'BETA' is not VHS/DVD/Blu-Ray/4K),oxford-blues-beta-floor-sale-drama,Oxford Blues,,BETA,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,53404922,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",even-cowgirls-get-the-blues-vhs-floor-sale,Even Cowgirls Get the Blues,,VHS,,,Floor Sale,true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,67921402,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",the-fly-vhs-floor-sale,The Fly,,VHS,,,Floor Sale,true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,67888634,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",next-friday-vhs-floor-sale,Next Friday,,VHS,,,Floor Sale,true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,67855866,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",celebrity-vhs-floor-sale,Celebrity,,VHS,,,Floor Sale,true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,67790330,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",cherish-vhs-floor-sale,Cherish,,VHS,,,Floor Sale,true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,67724794,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",real-genius-vhs-floor-sale,Real Genius,,VHS,,,Floor Sale,true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,67659258,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",speed-vhs-floor-sale,Speed,,VHS,,,Floor Sale,true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,67560954,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",the-check-is-in-the-mail-vhs-floor-sale,The Check is in the Mail,,VHS,,,Floor Sale,true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,67495418,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Default Title', tags Floor Sale)",american-graffiti-vhs-floor-sale,American Graffiti,,VHS,,,Floor Sale,true,Genre,Default Title,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,67429882,,,,false,,,,,,,,,,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,arachnophobia-vhs-rentla-horror,Arachnophobia,,VHS,,,"Horror, Rentla",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,69417978,,,,false,,,,,,,,,,lb,,,active
"no usable genre (Option1 Value 'Dark City', tags Dark City, Floor Sale)",dark-city-standard-edition-blu-ray-bluray-floor-sale-dark-city,Dark City (Standard Edition) [Blu-ray],,Blu-ray,,,"Dark City, Floor Sale",true,Genre,Dark City,,,,,,,,,0.0,shopify,2,deny,manual,38.00,,true,true,,,,,93091066,,,,false,,,,,,,,,,lb,,,active
Floor Sale with no price,sugar-spice-vhs-floor-sale-comedy,Sugar & Spice,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,69310458,,,,false,,,,,,,,,,lb,,,active
Floor Sale with no price,pontiac-moon,Pontiac Moon,,VHS,Uncategorized,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,74868218,,,,false,,,,,,,,,,lb,,,active
