Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
hot-shot-vhs,Hot Shot,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,20.00,,true,true,,,,,46212090,,,,false,,,,,,,,,,lb,,,active
the-matchmaker-vhs,The Matchmaker,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,46179322,,,,false,,,,,,,,,,lb,,,active
on-deadly-ground-vhs,On Deadly Ground,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,46146554,,,,false,,,,,,,,,,lb,,,active
beethovens-2nd-vhs,Beethoven's 2nd,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,46113786,,,,false,,,,,,,,,,lb,,,active
just-a-gigolo-vhs,Just a Gigolo,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,30.00,,true,true,,,,,46081018,,,,false,,,,,,,,,,lb,,,active
iron-eagle-vhs,Iron Eagle,,VHS,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,46048250,,,,false,,,,,,,,,,lb,,,active
patty-hearst-vhs,Patty Hearst,,VHS,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,45982714,,,,false,,,,,,,,,,lb,,,active
the-tao-of-steve-vhs,The Tao of Steve,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,45949946,,,,false,,,,,,,,,,lb,,,active
the-bridges-of-madison-county-vhs,The Bridges of Madison County,"<p>A moving love story about a photographer on assignment to shoot the historic bridges of Madison County. He meets a housewife, whose husband and children are away on a trip, and the film traces a brief affair that is never sordid but instead one of two soul mates who have met too late.</p>",VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35890170,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_f2ffb3a6-ff00-4c82-91af-beacac17c2c9.jpg?v=1783566891,1,,false,,,,,,,,,,lb,,,active
michael-collins-vhs,Michael Collins,"<p>In the early 20th century, Michael Collins (Liam Neeson) leads the Irish Republican Army with the help of his friends Harry Boland (Aidan Quinn) and Eamon de Valera (Alan Rickman), in a violent battle for Ireland's independence from Britain. But, when he fears the defeat of his revolution, Collins negotiates a treaty with the British, deeming him a traitor to the IRA. When he receives orders to murder his friends, Collins must decide where his loyalties lie.</p>",VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35857402,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_fd636c3d-2174-44ec-a04d-d1474ec49e91.jpg?v=1783566890,1,,false,,,,,,,,,,lb,,,active
tin-cup-vhs,Tin Cup,"<p>Roy McAvoy was a golf pro with a bright future, but his rebellious nature and bad attitude cost him everything. Now working as a golf instructor, he falls for his newest pupil, Dr. Molly Griswold, a psychiatrist who happens to be the girlfriend of PGA Tour star and Roy's rival, David Simms. After he is humiliated by Simms at a celebrity golf tournament, McAvoy decides to make a run for the PGA Tour, as well as Molly's heart.</p>",VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35824634,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_ef452923-cf49-428f-a57b-5293630ae337.jpg?v=1783566888,1,,false,,,,,,,,,,lb,,,active
witness-vhs,Witness,"<p>Detective John Book is assigned to guard Amish mother Rachel Lapp and her son Samuel, who witnessed a murder in the toilets at Philadelphia station. However, the killers are after them and the three must hide out in Lapp's community, where Book's aggressive, hard-bitten manner clashes with the gentler beliefs of the Amish.</p>",VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35791866,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_4a9b0d07-2d9f-4fa9-98fa-bf973ba1aed7.jpg?v=1783566887,1,,false,,,,,,,,,,lb,,,active
disclosure-vhs,Disclosure,"<p>In this Michael Crichton adaptation, Tom Sanders (Michael Douglas) is a senior executive at a cutting-edge technology corporation on the verge of releasing an innovative new product. Sanders' boss, Bob Galvin (Donald Sutherland), is putting the final touches on a potentially lucrative merger and everything is in order for Tom until a vamp from his past, Meredith Johnson (Demi Moore), swoops in, stealing his impending promotion and then -- doubling down -- suing him for sexual harassment.</p>",VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35759098,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_d3cb9d47-ea36-4ce6-b195-ed392416e271.jpg?v=1783566885,1,,false,,,,,,,,,,lb,,,active
forrest-gump-vhs,Forrest Gump,"<p>Slow-witted Forrest Gump (Tom Hanks) has never thought of himself as disadvantaged, and thanks to his supportive mother (Sally Field), he leads anything but a restricted life. Whether dominating on the gridiron as a college football star, fighting in Vietnam or captaining a shrimp boat, Forrest inspires people with his childlike optimism. But one person Forrest cares about most may be the most difficult to save -- his childhood love, the sweet but troubled Jenny (Robin Wright).</p>",VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35726330,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_0ebbb7eb-bc2f-495d-9f31-1caa05bd7034.jpg?v=1783566884,1,,false,,,,,,,,,,lb,,,active
saturdayv-night-fever-vhs,Saturdayv Night Fever,"<p>Tony Manero doesn't have much going for him during the weekdays. He still lives at home and works as a paint store clerk in his Brooklyn, New York, neighbourhood. But he lives for the weekends, when he and his friends go to the local disco and dance the night away. When a big dance competition is announced, he wrangles the beautiful and talented Stephanie to be his partner. As the two train for the big night, they start to fall for each other as well.</p>",VHS,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,35693562,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/shopping_1ba5df37-7130-4bf5-b978-32e8072671c6.webp?v=1783566883,1,,false,,,,,,,,,,lb,,,active
