Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
12-monkeys-uhd-4k-ultra-hd-4k-floor-sale-sci-fi,12 Monkeys UHD [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,45.00,91419898,,,,sci-fi
28-years-later-cultcave-vhs-floor-sale-horror,28 Years Later (Cult Cave),,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,36.00,50250490,,,,horror
american-gigalo-vhs-floor-sale-drama,American Gigalo,<p></p>,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,57850874,,,,drama
american-gigolo-4k-ultra-hd-4k-floor-sale-thriller,American Gigolo [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,45.00,92173562,,,,thriller
americas-great-national-parks-yosemite-yellowstone-grand-canyon-vhs-vcr-tapes,America's Great National Parks Yosemite Yellowstone Grand Canyon Vhs Vcr Tapes,"<p>Experience the majesty of the wilderness with this vintage collection of VHS tapes featuring breathtaking footage of iconic landscapes and natural wonders. These informative tapes offer an immersive look at some of the most celebrated outdoor destinations, making them a perfect addition for nostalgia lovers and collectors of physical media. Viewers can enjoy high-quality cinematography and historical perspectives on the preservation of these scenic treasures from the comfort of their own living room.</p>",VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,6.00,191-VHSAME-50-001A,,,,kids-family
an-american-summer-vhs,An American Summer [vhs],"<p>Divorcing Chicago parents send their only son to live with his aunt in Los Angeles for the summer, where he befriends a local, learns to surf, gets a girlfriend, and witnesses a murder.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,191-VHSNMR-50-001A,,,,drama
an-american-werewolf-in-london-standard-edition-blu-ray-bluray-floor-sale-horror,An American Werewolf In London: Standard Edition [BLU-RAY],,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,38.00,93156602,,,,horror
an-american-werewolf-in-london-uhd-standard-edition-4k-ultra-hd-4k-floor-sale-horror,An American Werewolf In London [UHD Standard Edition] [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,45.00,91747578,,,,horror
area-51-secrets-of-dreamland,Area 51 Secrets of Dreamland,"<p>This vintage documentary tape offers an in-depth investigation into the world's most famous classified military installation and its surrounding mythology. Viewers are treated to grainy footage, whistleblower interviews, and compelling theories regarding extraterrestrial technology and experimental aircraft. It is a must-have collectible for enthusiasts of government conspiracies and classic mid-nineties paranormal media.</p>",VHS,Media > Videos,"Floor Sale, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,10.00,191-VHSARE-001A,,,,documentary
arlington-road-vhs-1999-jeff-bridges-tim-robbins,"Arlington Road (vhs, 1999) Jeff Bridges, Tim Robbins",<p>This versatile utility jacket features a rugged water-resistant construction and a timeless silhouette suitable for any outdoor adventure. Multiple secure pockets and a breathable lining provide the perfect balance of functionality and comfort for daily wear. Its durable design ensures long-lasting style while offering a sophisticated layer for transitional weather.</p>,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,6.00,191-NKNARL-50-001A,,,,action
