Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
007-the-world-is-not-enough-vhs-floor-sale-action,007: The World is Not Enough,"<p>Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to protect a beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.</p>",VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,6.00,71304442,https://image.tmdb.org/t/p/w1280/wCb2msgoZPK01WIqry24M4xsM73.jpg,,007: The World is Not Enough (1999) poster,action
100-kilos-vhs-floor-sale-thriller,100 Kilos,"<p>The rise and fall of the Freeway Boyz, These group of young men sold millions of dollars of drugs in the streets of South Central Los Angeles, and inadvertently financed a CIA private war in Nicaragua.</p>",VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,5.00,81929978,https://image.tmdb.org/t/p/w1280/qtdKucyBQGcKjzCBMuloqd7AZQP.jpg,,100 Kilos (2001) poster,thriller
12-monkeys-uhd-4k-ultra-hd-4k-floor-sale-sci-fi,12 Monkeys UHD [4K Ultra HD],,4K,Media > Videos,"Floor Sale, 4K, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,45.00,91419898,,,,sci-fi
12-monkeys-vhs-floor-sale-sci-fi,12 Monkeys,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,8.00,50121978,,,,sci-fi
15-minutes-dvd,15 Minutes,,DVD,Media > Videos,"Floor Sale, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,5.00,17246202,,,,action
187-vhs,187,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,6.00,21242874,,,,thriller
1918-vhs-floor-sale-drama,1918,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,12.00,98372090,,,,drama
2010-the-year-we-make-contact-vhs,2010: The Year We Make Contact,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,49922810,,,,sci-fi
2012-bluray,2012,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,6.00,43471610,,,,action
21-grams-dvd-rental-drama,21 Grams,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,67871738,,,,drama
21-grams-vhs-floor-sale-comedy,21 Grams,"<p>Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife and mother of two girls; and Jack Jordan, a born-again ex-con, are brought together by a terrible accident that changes their lives.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,78547450,https://image.tmdb.org/t/p/w1280/wZ0l6or5juuVWqDkLEgaghs4f9l.jpg,,21 Grams (2003) poster,comedy
28-years-later-cultcave-vhs-floor-sale-horror,28 Years Later (Cult Cave),,VHS,Media > Videos,"Floor Sale, VHS, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,36.00,50250490,,,,horror
300-spartans-dvd-rental-action,300 Spartans,,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,42770938,,,,action
