Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
a-prayer-for-the-dying-rental-thriller,A Prayer for the Dying,,Little Movie Store,Media > Videos,"Rental, Thriller, Issue, No Format",Genre,Thriller,shopify,1,deny,manual,0.00,92552954,,,,thriller
doomsday-rental-action,Doomsday,,Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92126970,,,,action
dragnet-rental-comedy,Dragnet,,Little Movie Store,Media > Videos,"Comedy, Rental, Issue, No Format",Genre,Comedy,shopify,1,deny,manual,0.00,91864826,,,,comedy
fire-down-below-rental-action,Fire Down Below,,Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92618490,,,,action
john-cnady-is-delirious-rental-comedy,John Candy is Delirious,,Little Movie Store,Media > Videos,"Comedy, Rental, Issue, No Format",Genre,Comedy,shopify,1,deny,manual,0.00,92651258,,,,comedy
new-blood-rental-action,New Blood,,Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92520186,,,,action
only-the-lonely-rental-romantic-comedy,Only the Lonely,,Little Movie Store,Media > Videos,"Rental, Romantic Comedy, Issue, No Format",Genre,Romantic Comedy,shopify,1,deny,manual,0.00,92323578,,,,romantic-comedy
outlaw-justice-rental-action,Outlaw Justice,,Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92585722,,,,action
overboard-rental-romantic-comedy,Overboard,,Little Movie Store,Media > Videos,"Rental, Romantic Comedy, Issue, No Format",Genre,Romantic Comedy,shopify,1,deny,manual,0.00,91897594,,,,romantic-comedy
playing-god-rental-thriller,Playing God,,Little Movie Store,Media > Videos,"Rental, Thriller, Issue, No Format",Genre,Thriller,shopify,1,deny,manual,0.00,92094202,,,,thriller
some-like-it-hot-rental-romantic-comedy,Some Like it Hot,,Little Movie Store,Media > Videos,"Rental, Romantic Comedy, Issue, No Format",Genre,Romantic Comedy,shopify,1,deny,manual,0.00,92258042,,,,romantic-comedy
the-animal-rental-comedy,The Animal,,Little Movie Store,Media > Videos,"Comedy, Rental, Issue, No Format",Genre,Comedy,shopify,1,deny,manual,0.00,91930362,,,,comedy
the-great-escape-rental-action,The Great Escape,,Little Movie Store,Media > Videos,"Action, Rental, Issue, No Format",Genre,Action,shopify,1,deny,manual,0.00,92192506,,,,action
