Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
hot-shot-vhs,Hot Shot,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,20.00,46212090,,,,drama
the-matchmaker-vhs,The Matchmaker,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,5.00,46179322,,,,comedy
on-deadly-ground-vhs,On Deadly Ground,<p>Forrest Taft is an environmental agent who works for the Aegis Oil Company in Alaska. Aegis Oil's corrupt CEO is the kind of person who doesn't care whether or not oil spills into the ocean or onto the land—just as long as it's making money for him.</p>,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,5.00,46146554,https://image.tmdb.org/t/p/w1280/8jnO8EByAsfupWj9RjQxYAO4AUH.jpg,,On Deadly Ground (1994) poster,action
beethovens-2nd-vhs,Beethoven's 2nd,"<p>Beethoven is back -- and this time, he has a whole brood with him now that he's met his canine match, Missy, and fathered a family. The only problem is that Missy's owner, Regina, wants to sell the puppies and tear the clan apart. It's up to Beethoven and the Newton kids to save the day and keep everyone together.</p>",VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,4.00,46113786,https://image.tmdb.org/t/p/w1280/biH5hW1BRfEr13oCizuAzpdBf2l.jpg,,Beethoven's 2nd (1993) poster,kids-family
just-a-gigolo-vhs,Just a Gigolo,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,30.00,46081018,,,,drama
iron-eagle-vhs,Iron Eagle,,VHS,Media > Videos,"Floor Sale, VHS, Action, Formatted",Genre,Action,shopify,1,deny,manual,4.00,46048250,,,,action
patty-hearst-vhs,Patty Hearst,"<p>The true story of a rich girl who was abducted by American revolutionaries in the 1970s. Her time spent with her captors made her question herself and her way of life.  She eventually joined their cause, sparking controversy.</p>",VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,10.00,45982714,https://image.tmdb.org/t/p/w1280/tKXJOVLOVG7lO2enlB89n9tkv7T.jpg,,Patty Hearst (1988) poster,drama
the-tao-of-steve-vhs,The Tao of Steve,"<p>In college, Dex was the big man on campus. Ten years later, now an overweight kindergarten teacher, Dex is immune to the shocked stares of the women who were once his conquests. While trying to pick up the bartender, he is struck by the gorgeous Syd. Through a series of circumstances, Syd and Dex are thrown together and he soon finds himself questioning his belief in all things Steve.</p>",VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,5.00,45949946,https://image.tmdb.org/t/p/w1280/u9z4Qg0KGomhBUerbUzQXeO1ODs.jpg,,The Tao of Steve (2000) poster,comedy
the-bridges-of-madison-county-vhs,The Bridges of Madison County,"<p>A moving love story about a photographer on assignment to shoot the historic bridges of Madison County. He meets a housewife, whose husband and children are away on a trip, and the film traces a brief affair that is never sordid but instead one of two soul mates who have met too late.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,35890170,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_f2ffb3a6-ff00-4c82-91af-beacac17c2c9.jpg?v=1783566891,1,The Bridges of Madison County poster,drama
michael-collins-vhs,Michael Collins,"<p>In the early 20th century, Michael Collins (Liam Neeson) leads the Irish Republican Army with the help of his friends Harry Boland (Aidan Quinn) and Eamon de Valera (Alan Rickman), in a violent battle for Ireland's independence from Britain. But, when he fears the defeat of his revolution, Collins negotiates a treaty with the British, deeming him a traitor to the IRA. When he receives orders to murder his friends, Collins must decide where his loyalties lie.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,35857402,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_fd636c3d-2174-44ec-a04d-d1474ec49e91.jpg?v=1783566890,1,Michael Collins poster,drama
tin-cup-vhs,Tin Cup,"<p>Roy McAvoy was a golf pro with a bright future, but his rebellious nature and bad attitude cost him everything. Now working as a golf instructor, he falls for his newest pupil, Dr. Molly Griswold, a psychiatrist who happens to be the girlfriend of PGA Tour star and Roy's rival, David Simms. After he is humiliated by Simms at a celebrity golf tournament, McAvoy decides to make a run for the PGA Tour, as well as Molly's heart.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,35824634,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_ef452923-cf49-428f-a57b-5293630ae337.jpg?v=1783566888,1,Tin Cup poster,drama
witness-vhs,Witness,"<p>Detective John Book is assigned to guard Amish mother Rachel Lapp and her son Samuel, who witnessed a murder in the toilets at Philadelphia station. However, the killers are after them and the three must hide out in Lapp's community, where Book's aggressive, hard-bitten manner clashes with the gentler beliefs of the Amish.</p>",VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,35791866,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_4a9b0d07-2d9f-4fa9-98fa-bf973ba1aed7.jpg?v=1783566887,1,Witness poster,drama
