Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre)
eyes-of-a-witness-vhs-floor-sale-thriller,Eyes of a Witness,"<p>Roy Baxter is concerned for his daughter Christina's safety. She's working as a doctor among the Masai in Kenya. Poaching gangs are slaughtering protected species, then raiding Masai villages and forcing them to help carry their ill-gotten gains across the border. Roy flies to Kenya to convince her to leave and becomes a suspect for murder when the village is raided and he tries to help a UN doctor shot by the raiders. The only witness is a young Masai boy, who is reluctant to come forward because of possible retribution against his tribe.</p>",VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,5.00,32325882,,,,thriller
mututal-needs-vhs-floor-sale-thriller,Mututal Needs,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,5.00,84920570,,,,thriller
the-light-in-the-jungle-vhs-floor-sale-drama,The Light in The Jungle,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,84887802,,,,drama
sex-love-cold-hard-cash-vhs-floor-sale-thriller,"Sex, Love & Cold Hard Cash",<p>An ex-con whose share of a robbery disappeared joins forces with deluxe edition call-girl in order to get back the money she gave her accountant for investment purposes. The chase will lead them to the Carrabeans where they will have to go on a cruise...</p>,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,5.00,68733178,,,,thriller
wild-america-fantastic-follies-vhs-floor-sale-kids-family,Wild America: Fantastic Follies,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,5.00,29084922,,,,kids-family
the-mummy-collectors-set-dvd-floor-sale-action,The Mummy Collector's Set,,DVD,Media > Videos,"Floor Sale, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,14.00,27008762,,,,action
mission-impossible-6-movie-collection-bluray-floor-sale-action,Mission: Impossible 6 Movie Collection,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,18.00,95890170,,,,action
4-films-matrix-collection-dvd-floor-sale-sci-fi,4 Films: Matrix Collection,,DVD,Media > Videos,"Floor Sale, DVD, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,10.00,94186234,,,,sci-fi
meet-jo-black-dvd-floor-sale-drama,Meet Jo Black,,DVD,Media > Videos,"Floor Sale, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,94120698,,,,drama
bundraku-bluray-floor-sale-fantasy,Bundraku,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Fantasy, Formatted",Genre,Fantasy,shopify,1,deny,manual,6.00,63135226,,,,fantasy
the-blue-the-gray-dvd-floor-sale-drama,The Blue & The Gray,"<p>It was Christmas Eve in the south, but the spirit of peace and love did not pervade the northern girl's heart. The gallantry of the young southern swains, however, was more than manifest, when a drunken band of Unionists entered the house, among them her sweetheart. From him was protection needed most. His rival, a Confederate soldier, showed her that character is far above political principle, and true love came into its own.</p>",DVD,Media > Videos,"Floor Sale, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,6.00,62381562,,,,drama
trilogy-commando-predator-terminator-bluray-floor-sale-action,"Trilogy: Commando, Predator, Terminator",,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,15.00,61791738,,,,action
the-bourne-trilogy-bluray-floor-sale-action,The Bourne Trilogy,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Action, Formatted",Genre,Action,shopify,1,deny,manual,10.00,59858426,,,,action
