Handle,Title,Option1 Name,Option1 Value,Image Src,Image Alt Text,Body (HTML)
12-monkeys-vhs-floor-sale-sci-fi,12 Monkeys,Genre,Sci-Fi,,,"<p>In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly and the son of a famous virus expert who may hold the key to the Army of the 12 Monkeys; thought to be responsible for unleashing the killer disease.</p>"
that-man-is-pregnant-vhs-rental-comedy,"""That Man is Pregnant""",Genre,Comedy,,,<p>A man becomes pregnant in a zany comedy.</p>
13-assassins,13 Assassins,Genre,Action,,,<p>A bravado period action film set at the end of Japan's feudal era in which a group of unemployed samurai are enlisted to bring down a sadistic lord and prevent him from ascending to the throne and plunging the country into a war-torn future.</p>
1918-vhs-floor-sale-drama,1918,Genre,Drama,,,"<p>It's 1918, the height of United States involvement in World War I - Liberty Bonds are sold, German immigrants are suspected as traitors or saboteurs, young men everywhere succumb to the patriotism and propaganda and enlist.  In a small Texas town, Horace Robedaux feels the pressure - he doesn't want to leave his young wife Elizabeth and their young child Jenny - but Elizabeth's can't-do-anything-right little brother is constantly talking about the war, and Elizabeth's stern father, who opposed the marriage initially, now has plans to take care of his daughter and the child so Horace can fight for his country. However, the influenza epidemic sweeping the town (and the nation) may change everyone's plans.</p>"
2010-the-year-we-make-contact-vhs,2010: The Year We Make Contact,Genre,Sci-Fi,,,"<p>While planet Earth poises on the brink of nuclear self-destruction, a team of Russian and American scientists aboard the Leonov hurtles to a rendezvous with the still-orbiting Discovery spacecraft and its sole known survivor, the homicidal computer HAL.</p>"
42-the-jackie-robinson-story-dvd-rental-drama,42 The Jackie Robinson Story,Genre,Drama,,,"<p>In 1947, Jackie Robinson becomes the first Black man to play in Major League Baseball facing unabashed racism from the public, the press and other players.</p>"
43-the-petty-story-vhs-floor-sale-documentary,43 - The Petty Story,Genre,Documentary,,,"<p>The story of how Petty Enterprises started and how Richard Petty became ""The King"" as told from his father Lee's point of view.</p>"
6th-day,6th Day,Genre,Sci-Fi,,,"<p>A world of the very near future in which cattle, fish, and even the family pet can be cloned. But cloning humans is illegal - that is until family man Adam Gibson comes home from work one day to find a clone has replaced him. Taken from his family and plunged into a sinister world he doesn't understand, Gibson must not only save himself from the assassins who must destroy him to protect their secret, but uncover who and what is behind the horrible things happening to him.</p>"
a-christmas-story-bluray-floor-sale-kids-family,A Christmas Story,Genre,Kids & Family,,,"<p>The comic mishaps and adventures of a young boy named Ralph, trying to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift for the 1940s.</p>"
a-home-of-our-own-vhs-floor-sale-kdis-family,A Home of Our Own,Genre,Kids & Family,,,"<p>In 1960s Los Angeles an energetic widow and her six children try to make a dream of theirs come true: to have a home of their own. They leave L.A. and head for the countryside, all the while facing numerous difficulties and obstacles during their journey.</p>"
a-fool-and-his-money-dvd-rental-romantic-comedy,A Fool and His Money,Genre,Romantic Comedy,,,"<p>New York advertising executive Morris Codman seems to have it all - lots of talent and a beautiful girlfriend, Debbie. When he loses his job he decides to use his advertising expertise to create, package and market a shady product that will make him millions. Debbie tries to convince him that money isn't everything and she loves him just the way he is. Morris' bizarre antics in promoting his product surprisingly lead to a fortune, but can love survive his quest for the almighty dollar?</p>"
a-kiss-before-dying-vhs-floor-sale-thriller,A Kiss Before Dying,Genre,Thriller,,,"<p>Infatuated with the idea of becoming rich, college student Jonathan Corliss secretly dates Dorothy Carlsson to gain the approval of her wealthy father. When Dorothy tells Jonathan that she is pregnant and that her father will deny her inheritance if he finds out, Jonathan murders her, but he stages her death as a suicide. As Jonathan works his way onto Mr. Carlsson's payroll, Dorothy's twin sister, Ellen, investigates the apparent suicide.</p>"
a-night-of-love-vhs-floor-sale-drama,A Night of Love,Genre,Drama,,,"<p>Laila is an abandoned girl who was raised in an orphanage. She works as a nurse, but her colleagues plot to expel her from the hospital. She meets a wealthy young man who wants to marry her, but his father refuses after he learns her secret. She tries to find her real parents.</p>"
a-nightmare-on-elm-street-dvd-floor-sale-horror,A Nightmare on Elm Street,Genre,Horror,,,"<p>Teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. A cop's daughter, Nancy Thompson, traces the cause to child molester Fred Krueger, who was burned alive by angry parents many years before. Krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. Nancy and her boyfriend, Glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...</p>"
a-pigs-tale-vhs,A Pig's Tale,Genre,Kids & Family,,,"<p>Kids' comedy with all the clichés. Six boys (hero, pudgy, dumb, romeo, etc), reluctantly sent to summer camp, are grouped together in a ramshackle hut, and instantly identified as losers and outcasts by the overconfident camp bullies, who target gorgeous Tiffany (Jakub) as their Lothario's girlfriend. They set out to make everyone's life miserable as they impose their authority on the other kids and ineffective counselors alike. Andy, the good-guy hero, of course has a crush on Tiffany, but hasn't a clue how to approach her. Gradually, the nice guys gain the edge over the bullies, by honest endeavor and standing up for themselves - and in doing so, win over the other kids, even Tiffany. Until the bullies frame them and have them expelled.</p>"
a-shot-in-the-dark-vhs-floor-sale-comedy,A Shot in the Dark,Genre,Comedy,,,"<p>Inspector Jacques Clouseau, smitten with the accused maid Maria Gambrelli, unwittingly turns a straightforward murder investigation into a comedic series of mishaps, testing the patience of his irritable boss Charles Dreyfus as casualties mount.</p>"
a-slight-case-of-murder-vhs-floor-sale-comedy,A Slight Case of Murder,Genre,Comedy,,,"<p>Former bootlegger Remy Marco has a slight problem with foreclosing bankers, a prospective son-in-law, and four hard-to-explain corpses.</p>"
a-star-is-born,A Star Is Born,Genre,Drama,,,"<p>Seasoned musician Jackson Maine discovers — and falls in love with — struggling artist Ally. She has just about given up on her dream to make it big as a singer — until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.</p>"
a-time-to-die-vhs-rental-action,A Time to Die,Genre,Action,,,"<p>A female photographer teams up with a policeman to try to bring down a corrupt police officer who framed her for drug possession and during her investigation, finds that not everything, or everyone, is what they appear to be.</p>"
a-wrinkle-in-time-bluray-floor-sale-kids-family,A Wrinkle in Time,Genre,Kids & Family,,,"<p>After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.</p>"
ace-ventura-vhs-7,Ace Ventura,Genre,Comedy,,,"<p>He's Ace Ventura: Pet Detective. The Ace is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!</p>"
abduction-dvd-rental-action,Abduction,Genre,Action,,,"<p>For many years, Nathan Harper has had the uneasy feeling that life with his family isn't quite what it seems. As he draws closer to uncovering the truth, he is hunted by assassins, forcing him to flee with his neighbor, Karen, the only person he can trust.</p>"
ace-ventura-vhs-floor-sale-comedy,Ace Ventura,Genre,Comedy,,,"<p>He's Ace Ventura: Pet Detective. The Ace is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!</p>"
almost-vhs-rental-comedy,...Almost,Genre,Comedy,,,"<p>Alex and Erica Boyer are a young couple in crisis. Alex, despite his loving wife, beautiful home and high-paying job, feels trapped. When Erica has an accident that leaves her temporarily confined to a wheelchair and requiring the services of a private nurse, the beautiful Lisa enters the Boyers' lives. A complicated situation develops as Alex sees Lisa as the cure for his own problems as well as his wife's.</p>"
