Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Waitlist Emails (product.metafields.custom.waitlist_emails),Art style (product.metafields.shopify.art-style),Carry options (product.metafields.shopify.carry-options),Color (product.metafields.shopify.color-pattern),Media format (product.metafields.shopify.media-format),Neckline (product.metafields.shopify.neckline),Orientation (product.metafields.shopify.orientation),Sleeve length type (product.metafields.shopify.sleeve-length-type),Theme (product.metafields.shopify.theme),Tote handle type (product.metafields.shopify.tote-handle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
that-man-is-pregnant-vhs-rental-comedy,"""That Man is Pregnant""",,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,10.00,43716858,,,,comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almost-vhs-rental-comedy,...Almost,,VHS,Media > Videos,"Rental, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,0,17318906,,,,comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-monkeys-vhs-floor-sale-sci-fi,12 Monkeys,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,8.00,50121978,,,,sci-fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-assassins,13 Assassins,,Blu-Ray,Media > Videos,"Action, Blu-Ray, community-pick, Formatted, Rental",Genre,Action,shopify,1,deny,manual,0.00,191-BLR13A-50-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1781745915602.jpg?v=1787926096,1,191-BLR13A-50-001A,action,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,,,,,,,,,,lb,,,active
187-vhs,187,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,6.00,21242874,,,,thriller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918-vhs-floor-sale-drama,1918,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,12.00,98372090,,,,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-the-year-we-make-contact-vhs,2010: The Year We Make Contact,,VHS,Media > Videos,"Floor Sale, VHS, Sci-Fi, Formatted",Genre,Sci-Fi,shopify,1,deny,manual,6.00,49922810,,,,sci-fi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300-spartans-dvd-rental-action,300 Spartans,,DVD,Media > Videos,"Rental, DVD, Action, Formatted",Genre,Action,shopify,1,deny,manual,0,42770938,,,,action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42-the-jackie-robinson-story-dvd-rental-drama,42 The Jackie Robinson Story,,DVD,Media > Videos,"Rental, DVD, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,80350714,,,,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43-the-petty-story-vhs-floor-sale-documentary,43 - The Petty Story,,VHS,Media > Videos,"Floor Sale, VHS, Documentary, Formatted",Genre,Documentary,shopify,1,deny,manual,5.00,71010810,,,,documentary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6th-day,6th Day,,DVD,Media > Videos,"DVD, Formatted, Rental, Sci-Fi",Genre,Sci-Fi,shopify,1,deny,manual,0.00,191-DVD6TH-001A,https://cdn.shopify.com/s/files/1/0671/0552/1726/files/0-1782252103220.jpg?v=1787925924,1,191-DVD6TH-001A,sci-fi,,true,,,,,,,,,0.0,,true,true,,,,,false,,,,,,,,,,,,,,,,,,lb,,,active
7-soles-dvd-rental-horror,7 Soles,,DVD,Media > Videos,"Rental, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,0,70888442,,,,horror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8-1-2-women-vhs-floor-sale-comedy,8 1/2 Women,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,15.00,78809594,,,,comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84-charing-cross-road-vhs-rental-drama,84 Charing Cross Road,,VHS,Media > Videos,"Rental, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,0,17418234,,,,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-christmas-story-bluray-floor-sale-kids-family,A Christmas Story,,Blu-Ray,Media > Videos,"Floor Sale, Blu-Ray, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,8.00,46372090,,,,kids-family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-cry-in-the-dark-vhs,A Cry in the Dark,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,5.00,18893306,,,,thriller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-fool-and-his-money-dvd-rental-romantic-comedy,A Fool and His Money,,DVD,Media > Videos,"Rental, DVD, Romantic Comedy, Formatted",Genre,Romantic Comedy,shopify,1,deny,manual,0,62885370,,,,romantic-comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-home-of-our-own-vhs-floor-sale-kdis-family,A Home of Our Own,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,5.00,82225914,,,,kids-family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-kiss-before-dying-vhs-floor-sale-thriller,A Kiss Before Dying,,VHS,Media > Videos,"Floor Sale, VHS, Thriller, Formatted",Genre,Thriller,shopify,1,deny,manual,5.00,22061306,,,,thriller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-night-of-love-vhs-floor-sale-drama,A Night of Love,,VHS,Media > Videos,"Floor Sale, VHS, Drama, Formatted",Genre,Drama,shopify,1,deny,manual,8.00,51694842,,,,drama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-nightmare-on-elm-street-dvd-floor-sale-horror,A Nightmare on Elm Street,,DVD,Media > Videos,"Floor Sale, DVD, Horror, Formatted",Genre,Horror,shopify,1,deny,manual,10.00,21482490,,,,horror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-pigs-tale-vhs,A Pig's Tale,,VHS,Media > Videos,"Floor Sale, VHS, Kids & Family, Formatted",Genre,Kids & Family,shopify,1,deny,manual,28.00,34683130,,,,kids-family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-shot-in-the-dark-vhs-floor-sale-comedy,A Shot in the Dark,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,8.00,52612346,,,,comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-slight-case-of-murder-vhs-floor-sale-comedy,A Slight Case of Murder,,VHS,Media > Videos,"Floor Sale, VHS, Comedy, Formatted",Genre,Comedy,shopify,1,deny,manual,6.00,25976826,,,,comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
