id,item_type,title,creators,first_name,last_name,collection,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,lexile,call_number,ddc,lcc,lccn,oclc,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
j77352wqlq,movie,"Rudyard Kipling's The Jungle Book","Stephen Sommers",Stephen,Sommers,"Rental Library",9780788831027,786936162790,"Disney scrapped the songs and talking animals for its second version of Rudyard Kipling's classic novel, an old-fashioned boy's adventure that more resembles the classic Korda brothers' lush original than Disney's own animated musical. In this live-action version, Jason Scott Lee (the hunky star of Dragon: The Bruce Lee Story) is the grown Mowgli, a boy raised by wolves and taught the ways of the jungle by Baloo the bear and Bagheera the panther. Fascinated by Englishwoman Lena Heady, whom he spots marching through the jungle on a safari, he follows her to the city. She teaches him the ways of polite society while a greedy British soldier (a sneering Cary Elwes) plots to discover the fabled lost city, where a fabulous fortune awaits. At this point the film becomes more Tarzan than Kipling. Lee's rippling form, back in the freedom of a loin cloth, is on display running through the jungle, swinging on vines, and going mano a mano with snooty Englisher Elwes. His charm and sex appeal has made this film a favorite of many adult women, but it is a family adventure, after all, with colorful locations, grand sets, and plenty of fun-loving animal moments. Sam Neill is his usual figure of moral strength as Heady's explorer father, and John Cleese imparts a little deadpan humor as the safari's absent-minded professor. Director Stephen Sommers went on to direct the 1999 action fantasy hit The Mummy. Ages 6 and up. --Sean Axmaker","Walt Disney Video",2002-01-15,,,,,111,,,,,,,1,,,"Jason Scott Lee, Cary Elwes, Lena Headey, Sam Neill, John Cleese",2.35:1,,,,,,,,2026-05-31,1
kq71ru3ysl,movie,"A History of Violence (The Criterion Collection) [Blu-ray]",,,,"Rental Library",0715515320917,715515320917,,"The Criterion Collection",2025-10-21,,,,,96,,,,,,,1,,,"Viggo Mortensen",,,,,,,,,2026-09-13,1
0cpkzfbdcu,movie,Legend,,,,"Rental Library",,,"Set in a timeless mythical forest inhabited by fairies, goblins, unicorns and mortals, this fantastic story follows a mystical forest dweller, chosen by fate, to undertake a heroic quest. He must save the beautiful Princess Lili and defeat the demonic Lord of Darkness, or the world will be plunged into a never-ending ice age.",,,,"blu-ray, fantasy",,null,,,92029178,,,,,,,,,,,,,,,,,2026-09-14,1
4jlszbvkbx,movie,"One Battle After Another","Paul Thomas Anderson",Paul,Anderson,"Rental Library",0883929838813,883929838813,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.","Warner Home Video",2026-01-20,,"4k, drama",,,162,,91767034,,,,,1,,,"Benicio del Toro, Leonardo DiCaprio, Regina Hall, Sean Penn, Teyana Taylor",,,,,,,,,2026-09-16,1
nxize1h41p,movie,"Rear Window",,,,"Rental Library",,,Temporary!!,,,,"4k, thriller",,null,,,91635962,,,,,,,,,,,,,,,,,2026-09-16,1
lsv8d667b9,movie,"Civil War",,,,"Rental Library",,,,,,,"4k, thriller",,null,,,91570426,,,,,,,,,,,,,,,,,2026-09-16,1
7f2ou8ohd6,movie,Cinderella,,,,"Rental Library",,,,,,,"4k, kids-family",,null,,,91308282,,,,,,,,,,,,,,,,,2026-09-16,1
u34jixwgnz,movie,Alien,,,,"Rental Library",,,,,,,"4k, sci-fi",,null,,,91177210,,,,,,,,,,,,,,,,,2026-09-16,1
2oga43ltqt,movie,"To Die For",,,,"Rental Library",,,,,,,"blu-ray, drama",,null,,,18818554,,,,,,,,,,,,,,,,,2026-09-16,1
w1e9otpisd,movie,"The Thin Blue Line",,,,"Rental Library",,,,,,,"blu-ray, documentary",,null,,,18621946,,,,,,,,,,,,,,,,,2026-09-16,1
qhft82pwe4,movie,Streetwise,,,,"Rental Library",,,,,,,"blu-ray, documentary",,null,,,18392570,,,,,,,,,,,,,,,,,2026-09-16,1
6um4rne8dt,movie,"The Last Waltz",,,,"Rental Library",,,,,,,"blu-ray, musical",,null,,,17704442,,,,,,,,,,,,,,,,,2026-09-16,1
0cprqy0dcu,movie,"Malcom X",,,,"Rental Library",,,,,,,"4k, drama",,null,,,16492026,,,,,,,,,,,,,,,,,2026-09-16,1
ywhe2ejr71,movie,"Galaxy Quest",,,,"Rental Library",,,"For four years, the courageous crew of the NSEA Protector — Commander Peter Quincy Taggart, Lieutenant Tawny Madison, and Doctor Lazarus — set off on a thrilling and often dangerous mission in space... until their series was cancelled! Now, twenty years later, aliens under attack have mistaken the Galaxy Quest television transmissions for ""historical documents"" and beam up the crew of has-been actors to save the universe. With no script, no director, and no clue, the actors must turn in the performances of their lives.",,,,"comedy, vhs",,null,,,56477434,,,,,,,,,,,,,,,,,2026-09-16,1
cnrihinmmk,movie,"Tall Tales & Legends: Annie Oakley",,,,"Rental Library",,,,,,,"drama, vhs",,null,,,20144890,,,,,,,,,,,,,,,,,2026-09-16,1
t0bpkpg93y,movie,"The Great Santini",,,,"Rental Library",,,"As he approaches manhood, Ben Meechum struggles to win the approval of his demanding alpha male father, an aggressively competitive, but frustrated marine pilot.",,,,"drama, vhs",,null,,,20046586,,,,,,,,,,,,,,,,,2026-09-16,1
3kj7z7qarj,movie,"The Kitchen Soto",,,,"Rental Library",,,,,,,"drama, vhs",,null,,,20013818,,,,,,,,,,,,,,,,,2026-09-16,1
lsv8d887b9,movie,"Far From Heaven",,,,"Rental Library",,,,,,,"drama, vhs",,null,,,19948282,,,,,,,,,,,,,,,,,2026-09-16,1
7f2ouo0hd6,movie,"The Prince of Tides",,,,"Rental Library",,,"A troubled Southern man talks to his suicidal sister's psychiatrist about their family history and falls in love with her (and New York City) in the process.",,,,"drama, vhs",,null,,,19915514,,,,,,,,,,,,,,,,,2026-09-16,1
j7s2629qlq,movie,"Gods and Monsters",,,,"Rental Library",,,"It's 1957, and James Whale's heyday as the director of ""Frankenstein,"" ""Bride of Frankenstein"" and ""The Invisible Man"" is long behind him. Retired and a semi-recluse, he lives his days accompanied only by images from his past. When his dour housekeeper, Hannah, hires a handsome young gardener, the flamboyant director and simple yard man develop an unlikely friendship, which will change them forever.",,,,"drama, vhs",,null,,,19882746,,,,,,,,,,,,,,,,,2026-09-16,1
obayjyw0an,movie,"Isn't She Great",,,,"Rental Library",,,"An unsuccessful over-the-top actress becomes a successful over-the-top authoress in this biography of Jacqueline Susann.",,,,"comedy, vhs",,null,,,19817210,,,,,,,,,,,,,,,,,2026-09-16,1
