id,item_type,barcode,dymo,title,creators,first_name,last_name,collection,ean_isbn13,upc_isbn10,publisher,publish_date,group,tags,notes,condition,length,lexile,call_number,ddc,lcc,lccn,oclc,created,updated
j77352wqlq,movie,2010000000007,201000000000,"Rudyard Kipling's The Jungle Book","Stephen Sommers",Stephen,Sommers,"Rental Library",9780788831027,786936162790,"Walt Disney Video",2002-01-15,,,,,111,,,,,,,2026-05-31,2026-05-31
kq71ru3ysl,movie,2010000000014,201000000001,"A History of Violence (The Criterion Collection) [Blu-ray]",,,,"Rental Library",0715515320917,715515320917,"The Criterion Collection",2025-10-21,,,,,96,,,,,,,2026-09-13,2026-09-13
0cpkzfbdcu,movie,92029178,9202917,Legend,,,,"Rental Library",,,,,,"blu-ray, fantasy",,,,,92029178,,,,,2026-09-14,2026-09-16
4jlszbvkbx,movie,91767034,9176703,"One Battle After Another","Paul Thomas Anderson",Paul,Anderson,"Rental Library",0883929838813,883929838813,"Warner Home Video",2026-01-20,,"4k, drama",,,162,,91767034,,,,,2026-09-16,2026-09-16
nxize1h41p,movie,2010000000540,201000000054,"Rear Window",,,,"Rental Library",,,,,,"4k, thriller",,,,,91635962,,,,,2026-09-16,2026-09-16
lsv8d667b9,movie,2010000000557,201000000055,"Civil War",,,,"Rental Library",,,,,,"4k, thriller",,,,,91570426,,,,,2026-09-16,2026-09-16
7f2ou8ohd6,movie,2010000000564,201000000056,Cinderella,,,,"Rental Library",,,,,,"4k, kids-family",,,,,91308282,,,,,2026-09-16,2026-09-16
u34jixwgnz,movie,2010000000571,201000000057,Alien,,,,"Rental Library",,,,,,"4k, sci-fi",,,,,91177210,,,,,2026-09-16,2026-09-16
2oga43ltqt,movie,2010000000595,201000000059,"To Die For",,,,"Rental Library",,,,,,"blu-ray, drama",,,,,18818554,,,,,2026-09-16,2026-09-16
w1e9otpisd,movie,2010000000601,201000000060,"The Thin Blue Line",,,,"Rental Library",,,,,,"blu-ray, documentary",,,,,18621946,,,,,2026-09-16,2026-09-16
qhft82pwe4,movie,2010000000618,201000000061,Streetwise,,,,"Rental Library",,,,,,"blu-ray, documentary",,,,,18392570,,,,,2026-09-16,2026-09-16
6um4rne8dt,movie,2010000000625,201000000062,"The Last Waltz",,,,"Rental Library",,,,,,"blu-ray, musical",,,,,17704442,,,,,2026-09-16,2026-09-16
0cprqy0dcu,movie,2010000000656,201000000065,"Malcom X",,,,"Rental Library",,,,,,"4k, drama",,,,,16492026,,,,,2026-09-16,2026-09-16
ywhe2ejr71,movie,2010000000670,201000000067,"Galaxy Quest",,,,"Rental Library",,,,,,"comedy, vhs",,,,,56477434,,,,,2026-09-16,2026-09-16
cnrihinmmk,movie,2010000000694,201000000069,"Tall Tales & Legends: Annie Oakley",,,,"Rental Library",,,,,,"drama, vhs",,,,,20144890,,,,,2026-09-16,2026-09-16
t0bpkpg93y,movie,2010000000717,201000000071,"The Great Santini",,,,"Rental Library",,,,,,"drama, vhs",,,,,20046586,,,,,2026-09-16,2026-09-16
3kj7z7qarj,movie,2010000000724,201000000072,"The Kitchen Soto",,,,"Rental Library",,,,,,"drama, vhs",,,,,20013818,,,,,2026-09-16,2026-09-16
lsv8d887b9,movie,2010000000748,201000000074,"Far From Heaven",,,,"Rental Library",,,,,,"drama, vhs",,,,,19948282,,,,,2026-09-16,2026-09-16
7f2ouo0hd6,movie,2010000000755,201000000075,"The Prince of Tides",,,,"Rental Library",,,,,,"drama, vhs",,,,,19915514,,,,,2026-09-16,2026-09-16
j7s2629qlq,movie,2010000000762,201000000076,"Gods and Monsters",,,,"Rental Library",,,,,,"drama, vhs",,,,,19882746,,,,,2026-09-16,2026-09-16
obayjyw0an,movie,2010000000786,201000000078,"Isn't She Great",,,,"Rental Library",,,,,,"comedy, vhs",,,,,19817210,,,,,2026-09-16,2026-09-16
e90cack5u2,movie,2010000000793,201000000079,"The Survivors",,,,"Rental Library",,,,,,"comedy, vhs",,,,,19784442,,,,,2026-09-16,2026-09-16
v8u3n3x26q,movie,2010000000809,201000000080,"Eat Drink Man Woman",,,,"Rental Library",,,,,,"comedy, vhs",,,,,19751674,,,,,2026-09-16,2026-09-16
ftob3bye5y,movie,2010000000816,201000000081,"God Said Ha!",,,,"Rental Library",,,,,,"comedy, vhs",,,,,19718906,,,,,2026-09-16,2026-09-16
gakqlqebt4,movie,2010000000823,201000000082,"The Man Who Knew Too Little",,,,"Rental Library",,,,,,"comedy, vhs",,,,,19686138,,,,,2026-09-16,2026-09-16
6um4r4h8dt,movie,2010000000830,201000000083,"Another Stakeout",,,,"Rental Library",,,,,,"comedy, vhs",,,,,19653370,,,,,2026-09-16,2026-09-16
2oga4a7tqt,movie,2010000000847,201000000084,"Oddball Hall",,,,"Rental Library",,,,,,"comedy, vhs",,,,,19587834,,,,,2026-09-16,2026-09-16
w1e9o9nisd,movie,2010000000854,201000000085,"Me Myself I",,,,"Rental Library",,,,,,"comedy, vhs",,,,,19522298,,,,,2026-09-16,2026-09-16
qhft8tnwe4,movie,2010000000861,201000000086,"Legal Eagles",,,,"Rental Library",,,,,,"comedy, vhs",,,,,19489530,,,,,2026-09-16,2026-09-16
6um4r458dt,movie,2010000000878,201000000087,"The Incredibly True Adventures of 2 Girls in Love",,,,"Rental Library",,,,,,"comedy, vhs",,,,,19456762,,,,,2026-09-16,2026-09-16
8g3kxk2ohq,movie,2010000000885,201000000088,"Me, Myself and Irene",,,,"Rental Library",,,,,,"comedy, vhs",,,,,19423994,,,,,2026-09-16,2026-09-16
xlzv9vkjps,movie,2010000000892,201000000089,"Quigley Down Under",,,,"Rental Library",,,,,,"action, vhs",,,,,96093178,,,,,2026-09-16,2026-09-16
56dmpmfv9x,movie,96060410,9606041,"Short Cuts",,,,"Rental Library",,,,,,"comedy, vhs",,,,,96060410,,,,,2026-09-16,2026-09-19
4jls5snkbx,movie,2010000000915,201000000091,"The Dunera Boys",,,,"Rental Library",,,,,,"drama, vhs",,,,,96027642,,,,,2026-09-16,2026-09-16
ri15t5rxoz,movie,2010000000922,201000000092,"Smart Money",,,,"Rental Library",,,,,,"drama, vhs",,,,,95994874,,,,,2026-09-16,2026-09-16
